Query,Gemini Weights,Voyager Weights,Results,Gemini Response,Time Taken (seconds),Average Time,Max Time,Min Time,Error Message
Can a vessel be seized and forfeited to the United States if it is used for conspiring against the U.S. government under Title 18?,0.4,0.6,"{'sections': {'gemini_top_values': [0.0006951650721020997, 0.0006902660243213177], 'gemini_top_indices': [720, 1037], 'voyager_top_values': [0.0008895688806660473, 0.0008311471901834011, 0.0008161042933352292, 0.0008131026988849044, 0.0008118347031995654, 0.0008113187504932284], 'voyager_top_indices': [108, 1033, 1034, 109, 114, 1035]}, 'chapters': {'gemini_top_values': [0.0013961007352918386, 0.0013760816073045135], 'gemini_top_indices': [572, 569], 'voyager_top_values': [0.0017206866759806871, 0.0016078081680461764, 0.0015984621131792665, 0.0015938857104629278, 0.0015872500371187925, 0.0015822650166228414], 'voyager_top_indices': [54, 567, 59, 167, 53, 98]}, 'pages': {'gemini_top_values': [0.0005207147332839668, 0.0005205138586461544], 'gemini_top_indices': [1293, 1133], 'voyager_top_values': [0.0006220972281880677, 0.0006203273660503328, 0.0006059351726435125, 0.0006049035000614822, 0.000603914144448936, 0.000603001972194761], 'voyager_top_indices': [635, 640, 1296, 634, 1287, 637]}}","Yes, a vessel can be subject to seizure and forfeiture to the United States if it is used with the knowledge of the owner, master, or person in charge, as a place of resort for any person conspiring with another or preparing to commit any offense against the United States (18 U.S.C. Ch. 111, § 2274, Voyage model). Additionally, any real or personal property used or intended to be used to commit or facilitate the commission of a violation of section 2280a can be subject to forfeiture (Voyage model).
",2.847489119,5.26886425,10.22000241,2.408817053,
"What are the penalties for attempting to influence, intimidate, or obstruct a federal officer in violation of Title 18?",0.4,0.6,"{'sections': {'gemini_top_values': [0.0006912758690305054, 0.0006841307622380555, 0.0006787230377085507], 'gemini_top_indices': [1289, 1226, 50], 'voyager_top_values': [0.0007923043449409306, 0.0007890982087701559, 0.0007847521337680519, 0.0007597843650728464, 0.0007544974214397371, 0.000753421860281378], 'voyager_top_indices': [293, 1225, 1237, 1245, 1230, 1242]}, 'chapters': {'gemini_top_values': [0.001376361004076898, 0.0013632464688271284, 0.0013572318712249398], 'gemini_top_indices': [136, 137, 675], 'voyager_top_values': [0.001624556491151452, 0.0016030619153752923, 0.0015641459031030536, 0.0015447975602000952, 0.0015434764791280031, 0.0015196104068309069], 'voyager_top_indices': [167, 669, 696, 668, 166, 745]}, 'pages': {'gemini_top_values': [0.000523622496984899, 0.000513542618136853], 'gemini_top_indices': [133, 102], 'voyager_top_values': [0.0006088527152314782, 0.0006047156639397144, 0.0005963037838228047, 0.000578483275603503, 0.0005773169104941189, 0.0005754833109676838], 'voyager_top_indices': [911, 263, 897, 87, 912, 261]}}","Title 18 contains various provisions addressing attempts to influence, intimidate, or obstruct a federal officer, with penalties varying based on the specific offense:

*   **Assaulting, Resisting, or Impeding Certain Officers or Employees (18 U.S.C. § 111):**
    *   Simple assault: Fined under this title, imprisoned for not more than one year, or both.
    *   Acts involving physical contact with the victim or intent to commit another felony: Fined under this title, imprisoned for not more than 8 years, or both.
    *   Use of a deadly or dangerous weapon or inflicting bodily injury: Fined under this title, imprisoned for not more than 20 years, or both (Voyage, Title 18, CHAPTER 7: ASSAULT).
*   **Assault on Process Server (18 U.S.C. § 1501):** Obstructing, resisting, or opposing any officer of the United States in serving or attempting to serve any legal writ, rule, order, process, or warrant can result in a fine under this title, imprisonment of no more than one year, or both (Voyage, TITLE 18, CHAPTER 73: OBSTRUCTION OF JUSTICE).
*   **Conspiracy to Impede or Injure Officer (18 U.S.C. § 372):** Conspiring to prevent, by force, intimidation, or threat, any person from accepting or holding office or discharging duties, or to induce an officer to leave their post, can result in a fine under this title or imprisonment of no more than six years, or both (Voyage, §372. Conspiracy to impede or injure officer).
*   **Obstruction of Proceedings Before Departments, Agencies, and Committees (18 U.S.C. § 1505):** Influencing, obstructing, or impeding the due and proper administration of the law under which any pending proceeding is being had before any department or agency of the United States can result in a fine under this title, imprisonment for not more than 5 years, or both. If the offense involves international or domestic terrorism, the imprisonment can be for not more than 8 years (Voyage, § 1505. Obstruction of proceedings before departments, agencies, and committees).
*   **Influencing or Injuring Officer or Juror Generally (18 U.S.C. § 1503):** Influencing, intimidating, or impeding any officer in the discharge of their duty can result in imprisonment for not more than 10 years, a fine under this title, or both. If the offense occurs in connection with a trial of a criminal case, and involves the threat of physical force or physical force, the maximum term of imprisonment which may be imposed for the offense shall be the higher of that otherwise provided by law or the maximum term that could have been imposed for any offense charged in such case (Voyage, § 1503. Influencing or injuring officer or juror generally).
",5.150025845,5.26886425,10.22000241,2.408817053,
"Under what conditions can DNA testing be ordered in criminal cases involving violent crimes, and how should the results be handled?",0.4,0.6,"{'sections': {'gemini_top_values': [0.00071401905734092, 0.0007127909339033067, 0.0006996839656494558], 'gemini_top_indices': [1604, 1584, 1568], 'voyager_top_values': [0.0008327604155056179, 0.0008001542882993817, 0.0007985569536685944, 0.0007590582245029509, 0.0007488431292586029, 0.0007413036073558033], 'voyager_top_indices': [616, 494, 615, 311, 70, 696]}, 'chapters': {'gemini_top_values': [0.0014118782710283995, 0.0013865476939827204, 0.0013823418412357569], 'gemini_top_indices': [319, 318, 215], 'voyager_top_values': [0.001730912015773356, 0.0016940194182097912, 0.0016472571296617389, 0.0015485037583857775, 0.0015354821225628257, 0.00148584705311805], 'voyager_top_indices': [312, 313, 311, 309, 256, 213]}, 'pages': {'gemini_top_values': [0.0005652201361954212, 0.0005268325330689549], 'gemini_top_indices': [1896, 1890], 'voyager_top_values': [0.0006378668476827443, 0.0006080114981159568, 0.0006034024991095066, 0.0006002801819704473, 0.0005914447829127312, 0.0005738646723330021], 'voyager_top_indices': [1898, 1897, 1895, 1650, 1899, 1676]}}","DNA testing can be ordered by the court upon a written motion by an individual sentenced to imprisonment or death for a federal offense, if the court finds that the applicant asserts actual innocence under penalty of perjury. This applies to the federal offense for which they are sentenced or another federal or state offense if evidence of that offense was admitted during a federal sentencing hearing and exoneration would entitle the applicant to a reduced sentence or new sentencing hearing. For a state offense, the applicant must demonstrate no adequate remedy under state law exists for DNA testing and all state remedies have been exhausted (Voyage model, CHAPTER 228A—POST-CONVICTION DNA TESTING).

The specific evidence to be tested must be related to the investigation or prosecution of the asserted offense, not previously subjected to DNA testing (or a new method is available), in the government's possession with an intact chain of custody, and the proposed testing must be reasonable and scientifically sound (Voyage model, CHAPTER 228A—POST-CONVICTION DNA TESTING). The applicant must present a defense theory not inconsistent with any affirmative defenses from trial, which the DNA testing would support, raising a reasonable probability of innocence, and the applicant must agree to provide a DNA sample for comparison. If convicted after a trial, the perpetrator's identity must have been an issue (Voyage model, CHAPTER 228A—POST-CONVICTION DNA TESTING).

Regarding the handling of results, the results of DNA testing are simultaneously disclosed to the court, the applicant, and the government (Voyage model, section (e)(1)(A)). If the DNA profile excludes the applicant as the source and meets FBI requirements, the court orders submission of the DNA profile to the National DNA Index System (NDIS) to search for matches (Voyage model, section (e)(1)(B)(i)). The government submits all test results related to the applicant's DNA to NDIS (Voyage model, section (e)(2)).

If the test results are inconclusive or show the applicant was the source, the DNA sample may be retained in NDIS (Voyage model, section (e)(3)(A)). If the results exclude the applicant and match another offense, the Attorney General notifies the appropriate agency and preserves the sample (Voyage model, section (e)(3)(B)). If there is no match to another offense, the Attorney General destroys the sample and ensures it is not retained in NDIS, unless there is other legal authority to retain it (Voyage model, section (e)(3)(C)).

Inconclusive results may lead to further testing or denial of relief. Inculpatory results (matching the applicant) result in the denial of relief, and the government may move for a determination of whether the applicant's innocence assertion was false, potentially leading to contempt charges, assessment of testing costs, denial of good conduct credit by the Bureau of Prisons, denial of parole by the US Parole Commission, and notification of state officials if the results relate to a state offense (Voyage model, section (f)). If the DNA results exclude the applicant, they may file a motion for a new trial or resentencing (Voyage model, section (g)(1)).
",5.650325775,5.26886425,10.22000241,2.408817053,
"What constitutes 'economic damage' under Title 18, and how is it calculated for sentencing purposes?",0.4,0.6,"{'sections': {'gemini_top_values': [0.0006808181060478091, 0.0006721852696500719, 0.000672031135763973, 0.0006716030766256154], 'gemini_top_indices': [1600, 1568, 1628, 46], 'voyager_top_values': [0.0007593402988277376, 0.0007454966544173658, 0.0007408277597278357, 0.0007401143666356802, 0.0007369841332547367, 0.0007339633302763104], 'voyager_top_indices': [666, 668, 1271, 589, 1080, 667]}, 'chapters': {'gemini_top_values': [0.0013967163395136595, 0.0013760927831754088, 0.0013742572627961636], 'gemini_top_indices': [332, 342, 22], 'voyager_top_values': [0.0015657716430723667, 0.0015189452096819878, 0.0015139005845412612, 0.0014966987073421478, 0.001489731715992093, 0.0014785741223022342], 'voyager_top_indices': [338, 721, 506, 309, 174, 89]}, 'pages': {'gemini_top_values': [0.0005244198837317526, 0.0005206718924455345, 0.0005172378732822835, 0.000514763465616852], 'gemini_top_indices': [1983, 1329, 1981, 1984], 'voyager_top_values': [0.000566511123906821, 0.000558846746571362, 0.000558696745429188, 0.000557574036065489, 0.000557528983335942, 0.0005574587848968804], 'voyager_top_indices': [756, 747, 749, 1962, 745, 34]}}","The definition and calculation of ""economic damage"" under Title 18 vary depending on the specific offense. Here's a breakdown:

**1. Animal Enterprise Terrorism Act (18 U.S.C. § 43):**

*   Economic damage is a factor in determining penalties for damaging or interfering with the operations of an animal enterprise.
*   The penalties increase with the amount of economic damage, ranging from a fine and/or imprisonment of not more than 1 year (if the damage does not exceed $10,000) to a fine and/or imprisonment for not more than 20 years (if the damage exceeds $1,000,000) (18 U.S.C. § 43).
*   Restitution under 18 U.S.C. § 3663 or 3663A may include restitution for the reasonable cost of repeating any experimentation that was interrupted or invalidated as a result of the offense, for the loss of food production or farm income reasonably attributable to the offense, and for any other economic damage, including any losses or costs caused by economic disruption, resulting from the offense (18 U.S.C. § 43(c)).

**2. Computer Fraud and Abuse Act (18 U.S.C. § 1030):**

*   ""Loss"" is defined as any reasonable cost to any victim, including the cost of responding to an offense, conducting a damage assessment, and restoring the data, program, system, or information to its condition prior to the offense, and any revenue lost, cost incurred, or other consequential damages incurred because of interruption of service (18 U.S.C. § 1030(e)(11)).
*   A civil action for a violation of 18 U.S.C. § 1030 may be brought only if the conduct involves one of the factors set forth in subclauses (I), (II), (III), (IV), or (V) of subsection (c)(4)(A)(i). Damages for a violation involving only conduct described in subsection (c)(4)(A)(i)(I) are limited to economic damages (18 U.S.C. § 1030(g)).

**3. Trade Secret Theft (18 U.S.C. § 1831 & 1832):**

*   For organizations committing economic espionage (18 U.S.C. § 1831) or theft of trade secrets (18 U.S.C. § 1832), the fine can be up to 3 times the value of the stolen trade secret, including expenses for research and design and other costs of reproducing the trade secret that the organization has thereby avoided (18 U.S.C. § 1831(b), 1832(b)).

**4. Criminal Infringement of Copyright (18 U.S.C. § 2319)**

*   Victims of criminal copyright infringement are permitted to submit a victim impact statement that identifies the victim of the offense and the extent and scope of the injury and loss suffered by the victim, including the estimated economic impact of the offense on that victim (18 U.S.C. § 2319(e)(1)).

**5. Restitution for Victim's Losses (18 U.S.C. § 2248)**

*   Includes any costs incurred by the victim for medical services, therapy or rehabilitation, necessary transportation, temporary housing, child care expenses, lost income, attorney's fees, and any other losses suffered by the victim as a proximate result of the offense (18 U.S.C. § 2248(b)(3)).

",5.859839916,5.26886425,10.22000241,2.408817053,
"What are the legal implications of possessing a firearm as a convicted felon under Title 18, particularly after May 19, 1986?",0.4,0.6,"{'sections': {'gemini_top_values': [0.0006616541650146246, 0.0006616415339522064], 'gemini_top_indices': [1012, 1018], 'voyager_top_values': [0.0008485112921334803, 0.0007966074626892805, 0.0007579269586130977, 0.000743428769055754, 0.0007430444820784032, 0.0007401668699458241], 'voyager_top_indices': [1539, 1538, 999, 1003, 1015, 1004]}, 'chapters': {'gemini_top_values': [0.0013635781360790133, 0.0013511644210666418], 'gemini_top_indices': [557, 553], 'voyager_top_values': [0.0017378146294504404, 0.0015359562821686268, 0.0015222866786643863, 0.0014939444372430444, 0.00148213398642838, 0.0014766274252906442], 'voyager_top_indices': [800, 560, 346, 550, 354, 559]}, 'pages': {'gemini_top_values': [0.000516743864864111, 0.0005120204878039658, 0.0005088223260827363], 'gemini_top_indices': [597, 583, 614], 'voyager_top_values': [0.0006223360542207956, 0.00061107671353966, 0.0006029737996868789, 0.0005905245197936893, 0.0005813943571411073, 0.0005803952808491886], 'voyager_top_indices': [604, 522, 596, 529, 526, 603]}}","Under Title 18, specifically section 922(g)(1), it is unlawful for any person who has been convicted in any court of a crime punishable by imprisonment for a term exceeding one year to ship or transport in interstate or foreign commerce, or possess in or affecting commerce, any firearm or ammunition; or to receive any firearm or ammunition which has been shipped or transported in interstate or foreign commerce (Voyage model, Chapter ""TITLE 18 - CRIMES AND CRIMINAL PROCEDURE"").

Former sections 1201 to 1203 of Title 18 Appendix, which addressed unlawful possession or receipt of firearms, were repealed effective 180 days after May 19, 1986 (Voyage model, Sections). This repeal was part of the amendments made by Pub. L. 99-308, §104(b), May 19, 1986 (Voyage model, Sections). These sections previously related to Congressional findings and policies regarding the possession of firearms by felons, veterans discharged under dishonorable conditions, mental incompetents, illegal aliens, and former citizens who renounced their citizenship (Voyage model, Chapters).
",3.243766308,5.26886425,10.22000241,2.408817053,
What penalties are associated with the unauthorized use of a communication device in the commission of a federal crime under Title 18?,0.4,0.6,"{'sections': {'gemini_top_values': [0.0006776938098482788, 0.0006751870969310403, 0.0006748128798790276], 'gemini_top_indices': [1080, 923, 1600], 'voyager_top_values': [0.0007828500238247216, 0.0007750038639642298, 0.0007719255518168211, 0.0007675255765207112, 0.0007614146452397108, 0.0007541459053754807], 'voyager_top_indices': [399, 1079, 206, 207, 212, 208]}, 'chapters': {'gemini_top_values': [0.0013723213924095035, 0.0013443954521790147], 'gemini_top_indices': [124, 127], 'voyager_top_values': [0.0015579938190057874, 0.0015528473304584622, 0.0015213937731459737, 0.0015185445081442595, 0.0015153364511206746, 0.0015152144478634], 'voyager_top_indices': [146, 118, 210, 123, 121, 470]}, 'pages': {'gemini_top_values': [0.0005217091529630125, 0.0005158298299647868, 0.0005115063977427781], 'gemini_top_indices': [1459, 742, 1448], 'voyager_top_values': [0.0005895221256650984, 0.0005848823930136859, 0.0005827884888276458, 0.0005826352280564606, 0.0005817397614009678, 0.0005788136622868478], 'voyager_top_indices': [734, 735, 1470, 739, 737, 765]}}","The penalties for offenses related to unauthorized use of communication devices are detailed in 18 U.S.C. § 1029(c). The punishment varies based on the specific subsection of 18 U.S.C. § 1029(a) that is violated and whether the offense occurs after a prior conviction under the same section.

For a first-time offense under 18 U.S.C. § 1029(a)(1), (2), (3), (6), (7), or (10), the penalty is a fine under Title 18 or imprisonment for not more than 10 years, or both. For a first-time offense under 18 U.S.C. § 1029(a)(4), (5), (8), or (9), the penalty is a fine under Title 18 or imprisonment for not more than 15 years, or both (18 U.S.C. § 1029(c)(1)(A)).

If the offense occurs after a prior conviction under 18 U.S.C. § 1029, the penalty is a fine under Title 18 or imprisonment for not more than 20 years, or both (18 U.S.C. § 1029(c)(1)(B)). In either case, there is forfeiture to the United States of any personal property used or intended to be used to commit the offense (18 U.S.C. § 1029(c)(1)(C)).
",3.074452877,5.26886425,10.22000241,2.408817053,
"Under Title 18, what specific actions constitute witness tampering and what penalties can individuals face for this crime?",0.4,0.6,"{'sections': {'gemini_top_values': [0.0006760612595826387, 0.0006722919642925262], 'gemini_top_indices': [1568, 1604], 'voyager_top_values': [0.0008161048172041774, 0.00078666239278391, 0.0007583153783343732, 0.0007562720566056669, 0.0007553849718533456, 0.0007501645595766604], 'voyager_top_indices': [1237, 1225, 1230, 1245, 231, 1238]}, 'chapters': {'gemini_top_values': [0.0013604380656033754], 'gemini_top_indices': [291], 'voyager_top_values': [0.0015860804123803973, 0.001549477456137538, 0.0015259312931448221, 0.0015233318554237485, 0.001521519385278225, 0.0015016407705843449], 'voyager_top_indices': [669, 137, 674, 167, 136, 676]}, 'pages': {'gemini_top_values': [0.000510816287714988, 0.0005086962482891977], 'gemini_top_indices': [133, 919], 'voyager_top_values': [0.0006196015165187418, 0.0006075545679777861, 0.0005949336336925626, 0.0005858677322976291, 0.0005826213746331632, 0.0005783074884675443], 'voyager_top_indices': [911, 912, 910, 0, 134, 903]}}","Title 18 addresses witness tampering through several sections, with varying actions and penalties.

*   **§ 201 (Bribery of public officials and witnesses):** This section defines actions related to bribery.

    *   It is illegal to corruptly give, offer, or promise anything of value to any person with intent to influence their testimony under oath in any proceeding before a court, Congress, or a federal agency. Similarly, it is illegal to demand, seek, receive, accept, or agree to receive anything of value in return for being influenced in testimony or for absenting oneself from such proceedings. Violators shall be fined under this title or not more than three times the monetary equivalent of the thing of value, whichever is greater, or imprisoned for not more than fifteen years, or both, and may be disqualified from holding any office of honor, trust, or profit under the United States (18 U.S.C. § 201).
    *   Giving, offering, or promising anything of value to any person for or because of the testimony given or to be given by such person as a witness upon a trial, hearing, or other proceeding or for or because of such person’s absence therefrom, shall be fined under this title or imprisoned for not more than two years, or both (18 U.S.C. § 201).
*   **§ 1512 (Tampering with a witness, victim, or an informant):**

    *   Killing or attempting to kill another person with the intent to prevent their attendance or testimony in an official proceeding, prevent the production of evidence, or prevent communication with law enforcement is a crime. Punishment for killing can result in the death penalty or imprisonment for life, and for attempt, imprisonment for not more than 30 years (18 U.S.C. § 1512(a)).
    *   Using or threatening physical force with the intent to influence, delay, or prevent testimony; cause a person to withhold testimony or evidence; evade legal process; or be absent from an official proceeding can result in a fine under this title or imprisonment for not more than 20 years, or both (18 U.S.C. § 1512(b)).
    *   Intentionally harassing another person to hinder, delay, prevent, or dissuade them from attending or testifying in an official proceeding; reporting a federal offense; or causing or assisting in a criminal prosecution can lead to a fine under this title or imprisonment for not more than 3 years, or both (18 U.S.C. § 1512(d)).
    *   Corruptly altering, destroying, mutilating, or concealing a record, document, or other object with the intent to impair its integrity or availability for use in an official proceeding; or otherwise obstructing, influencing, or impeding any official proceeding, or attempts to do so, shall be fined under this title or imprisoned not more than 20 years, or both (18 U.S.C. § 1512(c)).
    *   Conspiring to commit any offense under this section carries the same penalties as the object offense (18 U.S.C. § 1512(k)).

*   **§ 1513 (Retaliating against a witness, victim, or an informant):**

    *   Killing or attempting to kill another person to retaliate against a witness or party for their attendance or testimony in an official proceeding, or for providing information to law enforcement, is a crime. Killing is punishable as provided in sections 1111 and 1112, and attempt carries imprisonment for not more than 30 years (18 U.S.C. § 1513(a)).
    *   Knowingly engaging in conduct that causes bodily injury or damages property, or threatening to do so, with intent to retaliate against any person for their attendance or testimony in an official proceeding, or for providing information to a law enforcement officer, can result in a fine under this title or imprisonment for not more than 20 years, or both (18 U.S.C. § 1513(b)).
    *   Taking any action harmful to any person, including interference with lawful employment or livelihood, with the intent to retaliate for providing truthful information to a law enforcement officer about a federal offense, can result in a fine under this title or imprisonment for not more than 10 years, or both (18 U.S.C. § 1513(e)).
    *   Conspiring to commit any offense under this section is subject to the same penalties as the object offense (18 U.S.C. § 1513(f)).
",6.93983674,5.26886425,10.22000241,2.408817053,
How does Title 18 define 'serious bodily injury' in the context of federal crimes?,0.4,0.6,"{'sections': {'gemini_top_values': [0.0006859608693048358, 0.0006794889341108501, 0.0006776868249289691, 0.000675452349241823], 'gemini_top_indices': [1568, 1604, 1569, 1600], 'voyager_top_values': [0.0007726381300017238, 0.000755827990360558, 0.0007556372438557446, 0.0007527852430939674, 0.0007461377535946667, 0.0007460241904482245], 'voyager_top_indices': [9, 74, 295, 44, 595, 1284]}, 'chapters': {'gemini_top_values': [0.0013653330970555544, 0.0013580350205302238, 0.0013509782729670405], 'gemini_top_indices': [696, 69, 597], 'voyager_top_values': [0.0015442660078406334, 0.0015240710927173495, 0.0015222125221043825, 0.001520464546047151, 0.0015163542702794075, 0.0014955498045310378], 'voyager_top_indices': [39, 174, 640, 385, 307, 762]}, 'pages': {'gemini_top_values': [0.0005064893048256636, 0.0005043057608418167, 0.000503519200719893, 0.0005034782807342708], 'gemini_top_indices': [1838, 228, 1371, 1161], 'voyager_top_values': [0.000574778183363378, 0.0005740684573538601, 0.0005658220034092665, 0.0005657901638187468, 0.0005653202533721924, 0.0005643630283884704], 'voyager_top_indices': [1365, 1162, 1364, 53, 1430, 99]}}","Title 18 contains multiple definitions of ""serious bodily injury"" depending on the specific context.

*   **Section 111:** Does not have its own definition of serious bodily injury; instead, it references the meaning given to the term in 18 U.S.C. § 1365.
*   **Section 1111:** Defines ""serious bodily injury"" as having the meaning set forth in section 1365.
*   **Section 2246(4):** Defines ""serious bodily injury"" as bodily injury that involves a substantial risk of death, unconsciousness, extreme physical pain, protracted and obvious disfigurement, or protracted loss or impairment of the function of a bodily member, organ, or mental faculty.
*   **Section 2266(6):** States that the term ""serious bodily injury"" has the meaning stated in section 2119(2).
*   **Section 2332b(e)(1):** States that the term ""serious bodily injury"" has the meaning given that term in section 1365(g)(3).
*   **Section 2119(2):** States ""serious bodily injury"" is defined in section 1365 of this title, including any conduct that, if the conduct occurred in the special maritime and territorial jurisdiction of the United States, would violate section 2241 or 2242 of this title.
",3.4122262,5.26886425,10.22000241,2.408817053,
What legal standards must be met to seize and forfeit property connected to organized crime under Title 18?,0.4,0.6,"{'sections': {'gemini_top_values': [0.0006871149525977671, 0.0006828519399277866], 'gemini_top_indices': [384, 1047], 'voyager_top_values': [0.0008145408937707543, 0.0008004241972230375, 0.0007947866106405854, 0.0007866505766287446, 0.0007671028724871576, 0.0007652940112166107], 'voyager_top_indices': [1437, 1621, 1043, 1044, 200, 1042]}, 'chapters': {'gemini_top_values': [0.001391997910104692, 0.0013800902524963021], 'gemini_top_indices': [765, 260], 'voyager_top_values': [0.0016077947802841663, 0.0015787489246577024, 0.0015601475024595857, 0.0015560522442683578, 0.0015542462933808565, 0.0015481734881177545], 'voyager_top_indices': [762, 577, 570, 202, 571, 568]}, 'pages': {'gemini_top_values': [0.0005301180644892156, 0.0005234834970906377, 0.000522130518220365, 0.0005220547318458557], 'gemini_top_indices': [1133, 669, 674, 1134], 'voyager_top_values': [0.0006026537157595158, 0.0005890860338695347, 0.0005873422487638891, 0.0005860285018570721, 0.0005775111494585872, 0.0005774229648523033], 'voyager_top_indices': [643, 1132, 644, 651, 675, 667]}}","To seize and forfeit property connected to organized crime under Title 18, several legal standards must be met, depending on whether it is a civil or criminal forfeiture.

**Criminal Forfeiture:**

*   **Violation of Section 1962:** A person must violate section 1962 of Title 18, which prohibits certain activities related to racketeering and unlawful debt collection (Voyage, Chapter ""Sec. 982. Criminal forfeiture."", Gemini, Chapter ""§ 1963. Criminal penalties."").
*   **Property Subject to Forfeiture:** The person shall forfeit to the United States (Voyage, Chapter ""Sec. 982. Criminal forfeiture."", Gemini, Chapter ""§ 1963. Criminal penalties.""):

    *   Any interest the person has acquired or maintained in violation of section 1962. (Gemini, Chapter ""§ 1963. Criminal penalties."")
    *   Any interest in, security of, claim against, or property/contractual right affording influence over any enterprise the person established, operated, controlled, conducted, or participated in, in violation of section 1962. (Gemini, Chapter ""§ 1963. Criminal penalties."")
    *   Any property constituting or derived from proceeds the person obtained directly or indirectly from racketeering activity or unlawful debt collection in violation of section 1962. (Gemini, Chapter ""§ 1963. Criminal penalties."")
*   **Court Order:** The court, when imposing a sentence, must order the forfeiture of the property (Gemini, Chapter ""§ 1963. Criminal penalties."").
*   **Restraining Order:** Upon application of the United States, the court may enter a restraining order or injunction, require the execution of a satisfactory performance bond, or take any other action to preserve the availability of property described in subsection (a) for forfeiture under this section (Voyage, ""[["")

**Civil Forfeiture:**

*   **Civil Forfeiture of Real Property:** Real property that is the subject of a civil forfeiture action shall not be seized before entry of an order of forfeiture. The owners or occupants of the real property shall not be evicted from, or otherwise deprived of the use and enjoyment of, real property that is the subject of a pending forfeiture action (Gemini, Sections).
*   **Initiation of Action:** The Government shall initiate a civil forfeiture action against real property by filing a complaint for forfeiture, posting a notice of the complaint on the property; and serving notice on the property owner, along with a copy of the complaint (Gemini, Sections).
*   **Pre-Forfeiture Seizure:** Real property may be seized prior to the entry of an order of forfeiture if the Government notifies the court that it intends to seize the property before trial, and the court issues a notice of application for warrant, causes the notice to be served on the property owner and posted on the property, and conducts a hearing in which the property owner has a meaningful opportunity to be heard; or makes an ex parte determination that there is probable cause for the forfeiture and that there are exigent circumstances that permit the Government to seize the property without prior notice and an opportunity for the property owner to be heard (Gemini, Sections).
*   **Exigent Circumstances:** To establish exigent circumstances, the Government shall show that less restrictive measures such as a lis pendens, restraining order, or bond would not suffice to protect the Government’s interests in preventing the sale, destruction, or continued unlawful use of the real property (Gemini, Sections).
*   **Post-Seizure Hearing:** If the court authorizes a seizure of real property under subsection (d)(1)(B)(ii), it shall conduct a prompt post-seizure hearing during which the property owner shall have an opportunity to contest the basis for the seizure (Gemini, Sections).

",5.82949996,5.26886425,10.22000241,2.408817053,
"What are the penalties for a person who knowingly transports a person engaged in terrorism, according to Title 18?",0.4,0.6,"{'sections': {'gemini_top_values': [0.0006810706108808517, 0.0006786629091948271, 0.0006738090887665749], 'gemini_top_indices': [255, 192, 1446], 'voyager_top_values': [0.0008922700653783977, 0.0007953834719955921, 0.0007916592876426876, 0.0007872825372032821, 0.0007796150166541338, 0.0007694160449318588], 'voyager_top_indices': [121, 147, 146, 150, 195, 128]}, 'chapters': {'gemini_top_values': [0.0013590576127171516, 0.0013583529507741332], 'gemini_top_indices': [608, 536], 'voyager_top_values': [0.0016059650806710124, 0.0015606365632265806, 0.001541375881060958, 0.0015331207541748881, 0.0015285235131159425, 0.0015235744649544358], 'voyager_top_indices': [769, 768, 109, 770, 107, 384]}, 'pages': {'gemini_top_values': [0.0005198355065658689, 0.0005143404705449939, 0.0005092336214147508], 'gemini_top_indices': [480, 1296, 452], 'voyager_top_values': [0.0006278780638240278, 0.0006074775592423975, 0.0006065831985324621, 0.0005936062661930919, 0.0005869023152627051, 0.0005769099807366729], 'voyager_top_indices': [1301, 1397, 1365, 1389, 1391, 1364]}}","According to 18 U.S.C. § 2284(a), whoever knowingly and intentionally transports any terrorist aboard any vessel within the United States and on waters subject to the jurisdiction of the United States, or any vessel outside the United States and on the high seas or having United States nationality, knowing that the transported person is a terrorist, shall be fined under this title or imprisoned for any term of years or for life, or both (voyage). The term ""terrorist"" means any person who intends to commit, or is avoiding apprehension after having committed, an offense listed under section 2332b(g)(5)(B) (voyage).
",2.408817053,5.26886425,10.22000241,2.408817053,
