Section,Url,Content,Metadata
111. —Front Matter,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-chapter111-front&num=0&edition=prelim,"18 USC Ch. 111: Front Matter            Result 1 of 1                                      Current2018 Ed. and Supplement V (1/3/2024)2018 Ed. and Supplement IV (1/5/2023)2018 Ed. and Supplement III (1/3/2022)2018 Ed. and Supplement II (1/13/2021)2018 Ed. and Supplement I (1/24/2020)2018 Main Ed. (1/14/2019)2012 Ed. and Supplement V (1/12/2018)2012 Ed. and Supplement IV (1/6/2017)2012 Ed. and Supplement III (1/3/2016)2012 Ed. and Supplement II (1/5/2015)2012 Ed. and Supplement I (1/16/2014)2012 Main Ed. (1/15/2013)2006 Ed. and Supplement V (1/3/2012)2006 Ed. and Supplement IV (1/7/2011)2006 Ed. and Supplement III (2/1/2010)2006 Ed. and Supplement II (1/5/2009)2006 Ed. and Supplement I (1/8/2008)2006 Main Ed. (1/3/2007)2000 Ed. and Supplement V (1/2/2006)2000 Ed. and Supplement IV (1/3/2005)2000 Ed. and Supplement III (1/19/2004)2000 Ed. and Supplement II (1/6/2003)2000 Ed. and Supplement I (1/22/2002)2000 Main Ed. (1/2/2001)1994 Ed. and Supplement V (1/23/2000)1994 Ed. and Supplement IV (1/5/1999)1994 Ed. and Supplement III (1/26/1998)1994 Ed. and Supplement II (1/6/1997)1994 Ed. and Supplement I (1/16/1996)1994 Main Ed. (1/4/1995)                         Back to Original Document << Previous                                 TITLE 18 / PART I / CHAPTER 111 / Front Matter                                 Next >>[Print]                                  [Print selection][OLRC Home]Help 18 USC Ch. 111: Front MatterFrom Title 18-CRIMES AND CRIMINAL PROCEDUREPART I-CRIMESCHAPTER 111-SHIPPINGJump To: MiscellaneousAmendmentsCHAPTER 111-SHIPPINGSec.2271.Conspiracy to destroy vessels.2272.Destruction of vessel by owner.2273.Destruction of vessel by nonowner.2274.Destruction or misuse of vessel by person in charge.2275.Firing or tampering with vessel.1        2276.Breaking and entering vessel.2277.Explosives or dangerous weapons aboard vessels.2278.Explosives on vessels carrying steerage passengers.2279.Boarding vessels before arrival.2280.Violence against maritime navigation.2280a.Violence against maritime navigation and maritime transport involving weapons of mass destruction.2281.Violence against maritime fixed platforms.2281a.Additional offenses against maritime fixed platforms.2282A.Devices or dangerous substances in waters of the United States likely to destroy or damage ships or to interfere with maritime commerce.2282B.Violence against aids to maritime navigation.2283.Transportation of explosive, chemical, biological, or radioactive or nuclear materials.12284.Transportation of terrorists.2285.Operation of submersible vessel or semi-submersible vessel without nationality 2        Editorial NotesAmendments2015-Pub. L. 114–23, title VIII, §§802(b), 804(b), June 2, 2015, 129 Stat. 307, 308, added items 2280a and 2281a.2008-Pub. L. 110–407, title I, §102(b), Oct. 13, 2008, 122 Stat. 4298, added item 2285.2006-Pub. L. 109–177, title III, §§304(b)(2), 305(b), Mar. 9, 2006, 120 Stat. 235, 237, added items 2282B, 2283, and 2284.Pub. L. 109–177, title III, §304(a)(2), Mar. 9, 2006, 120 Stat. 235, which directed amendment of table of sections for this chapter by adding item 2282A after item 2282, was executed by adding item 2282A after item 2281 to reflect the probable intent of Congress, because there is no item 2282.1994-Pub. L. 103–322, title VI, §60019(b), Sept. 13, 1994, 108 Stat. 1979, added items 2280 and 2281.1990-Pub. L. 101–647, title XXXV, §3566, Nov. 29, 1990, 104 Stat. 4928, substituted ""vessels"" for ""vessel"" in item 2271.1 So in original. Does not conform to section catchline.2 So in original. Probably should be followed by a period.","Amendments2015-Pub. L. 114–23, title VIII, §§802(b), 804(b), June 2, 2015, 129 Stat. 307, 308, added items 2280a and 2281a.2008-Pub. L. 110–407, title I, §102(b), Oct. 13, 2008, 122 Stat. 4298, added item 2285.2006-Pub. L. 109–177, title III, §§304(b)(2), 305(b), Mar. 9, 2006, 120 Stat. 235, 237, added items 2282B, 2283, and 2284.Pub. L. 109–177, title III, §304(a)(2), Mar. 9, 2006, 120 Stat. 235, which directed amendment of table of sections for this chapter by adding item 2282A after item 2282, was executed by adding item 2282A after item 2281 to reflect the probable intent of Congress, because there is no item 2282.1994-Pub. L. 103–322, title VI, §60019(b), Sept. 13, 1994, 108 Stat. 1979, added items 2280 and 2281.1990-Pub. L. 101–647, title XXXV, §3566, Nov. 29, 1990, 104 Stat. 4928, substituted ""vessels"" for ""vessel"" in item 2271.1 So in original. Does not conform to section catchline.2 So in original. Probably should be followed by a period."
2271. Conspiracy to destroy vessels,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section2271&num=0&edition=prelim,"Whoever, on the high seas, or within the United States, willfully and corruptly conspires, combines, and confederates with any other person, such other person being either within or without the United States, to cast away or otherwise destroy any vessel, with intent to injure any person that may have underwritten or may thereafter underwrite any policy of insurance thereon or on goods on board thereof, or with intent to injure any person that has lent or advanced, or may lend or advance, any money on such vessel on bottomry or respondentia; orWhoever, within the United States, builds, or fits out any vessel to be cast away or destroyed, with like intent-Shall be fined under this title or imprisoned not more than ten years, or both.(June 25, 1948, ch. 645, 62 Stat. 803; Pub. L. 103–322, title XXXIII, §330016(1)(L), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §487 (Mar. 4, 1909, ch. 321, §296, 35 Stat. 1146).Mandatory punishment provision was rephrased in the alternative.Reference to a person who ""aids in building or fitting out any vessel"" was omitted as unnecessary in view of section 2 making all aiders guilty as principal.Changes in phraseology were made.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $10,000"" in last par.","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $10,000"" in last par."
2272. Destruction of vessel by owner,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section2272&num=0&edition=prelim,"Whoever, upon the high seas or on any other waters within the admiralty and maritime jurisdiction of the United States, willfully and corruptly casts away or otherwise destroys any vessel of which he is owner, in whole or in part, with intent to injure any person that may underwrite any policy of insurance thereon, or any merchant that may have goods thereon, or any other owner of such vessel, shall be imprisoned for life or for any term of years.(June 25, 1948, ch. 645, 62 Stat. 803.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §491 (Mar. 4, 1909, ch. 321, §300, 35 Stat. 1147).","Based on title 18, U.S.C., 1940 ed., §491 (Mar. 4, 1909, ch. 321, §300, 35 Stat. 1147)."
2273. Destruction of vessel by nonowner,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section2273&num=0&edition=prelim,"Whoever, not being an owner, upon the high seas or on any other waters within the admiralty and maritime jurisdiction of the United States, willfully and corruptly casts away or otherwise destroys any vessel of the United States to which he belongs, or willfully attempts the destruction thereof, shall be imprisoned not more than ten years.(June 25, 1948, ch. 645, 62 Stat. 804.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §492 (Mar. 4, 1909, ch. 321, §301, 35 Stat. 1147).Words ""with intent to destroy the same, sets fire to any such vessel, or otherwise"" following ""willfully"" and preceding ""attempts"" were omitted as surplusage.","Based on title 18, U.S.C., 1940 ed., §492 (Mar. 4, 1909, ch. 321, §301, 35 Stat. 1147).Words ""with intent to destroy the same, sets fire to any such vessel, or otherwise"" following ""willfully"" and preceding ""attempts"" were omitted as surplusage."
2274. Destruction or misuse of vessel by person in charge,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section2274&num=0&edition=prelim,"Whoever, being the owner, master or person in charge or command of any private vessel, foreign or domestic, or a member of the crew or other person, within the territorial waters of the United States, willfully causes or permits the destruction or injury of such vessel or knowingly permits said vessel to be used as a place of resort for any person conspiring with another or preparing to commit any offense against the United States, or any offense in violation of the treaties of the United States or of the obligations of the United States under the law of nations, or to defraud the United States; or knowingly permits such vessels to be used in violation of the rights and obligations of the United States under the law of nations, shall be fined under this title or imprisoned not more than ten years, or both.In case such vessels are so used, with the knowledge of the owner or master or other person in charge or command thereof, the vessel, together with her tackle, apparel, furniture, and equipment, shall be subject to seizure and forfeiture to the United States in the same manner as merchandise is forfeited for violation of the customs revenue laws.(June 25, 1948, ch. 645, 62 Stat. 804; Pub. L. 103–322, title XXXIII, §330016(1)(L), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on section 193 of title 50, U.S.C., 1940 ed., War and National Defense (June 15, 1917, ch. 30, title II, §3, 40 Stat. 220; Mar. 28, 1940, ch. 72, §3(b), 54 Stat. 79).Mandatory punishment provision was rephrased in the alternative.Minor changes were made in phraseology.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $10,000"" in first par.","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $10,000"" in first par."
2275. Firing or tampering with vessels,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section2275&num=0&edition=prelim,"Whoever sets fire to any vessel of foreign registry, or any vessel of American registry entitled to engage in commerce with foreign nations, or to any vessel of the United States, or to the cargo of the same, or tampers with the motive power of instrumentalities of navigation of such vessel, or places bombs or explosives in or upon such vessel, or does any other act to or upon such vessel while within the jurisdiction of the United States, or, if such vessel is of American registry, while she is on the high sea, with intent to injure or endanger the safety of the vessel or of her cargo, or of persons on board, whether the injury or danger is so intended to take place within the jurisdiction of the United States, or after the vessel shall have departed therefrom and whoever attempts to do so shall be fined under this title or imprisoned not more than twenty years, or both.(June 25, 1948, ch. 645, 62 Stat. 804; Pub. L. 103–322, title XXXIII, §330016(1)(L), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §502 (June 15, 1917, ch. 30, title III, §1, 40 Stat. 221).Words ""as defined in section 501 of this title,"" were omitted in view of section 9 of this title, defining vessel of the United States.Last sentence of said section 502, defining ""United States"", was incorporated in section 5 of this title.Provision prohibiting conspiracy was deleted as adequately covered by the general conspiracy statute, section 371 of this title.Minor changes were made in phraseology.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $10,000"".","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $10,000""."
2276. Breaking and entering vessel,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section2276&num=0&edition=prelim,"Whoever, upon the high seas or on any other waters within the admiralty and maritime jurisdiction of the United States, and out of the jurisdiction of any particular State, breaks or enters any vessel with intent to commit any felony, or maliciously cuts, spoils, or destroys any cordage, cable, buoys, buoy rope, head fast, or other fast, fixed to the anchor or moorings belonging to any vessel, shall be fined under this title or imprisoned not more than five years, or both.(June 25, 1948, ch. 645, 62 Stat. 804; Pub. L. 103–322, title XXXIII, §330016(1)(H), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §490 (Mar. 4, 1909, ch. 321, §299, 35 Stat. 1147).Mandatory punishment provision was rephrased in the alternative.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $1,000"".","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $1,000""."
2277. Explosives or dangerous weapons aboard vessels,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section2277&num=0&edition=prelim,"(a) Whoever brings, carries, or possesses any dangerous weapon, instrument, or device, or any dynamite, nitroglycerin, or other explosive article or compound on board of any vessel documented under the laws of the United States, or any vessel purchased, requisitioned, chartered, or taken over by the United States pursuant to the provisions of Act June 6, 1941, ch. 174, 55 Stat. 242, as amended, without previously obtaining the permission of the owner or the master of such vessel; orWhoever brings, carries, or possesses any such weapon or explosive on board of any vessel in the possession and under the control of the United States or which has been seized and forfeited by the United States or upon which a guard has been placed by the United States pursuant to the provisions of section 191 1 of Title 50, without previously obtaining the permission of the captain of the port in which such vessel is located, shall be fined under this title or imprisoned not more than one year, or both.(b) This section shall not apply to the personnel of the Armed Forces of the United States or to officers or employees of the United States or of a State or of a political subdivision thereof, while acting in the performance of their duties, who are authorized by law or by rules or regulations to own or possess any such weapon or explosive.(June 25, 1948, ch. 645, 62 Stat. 804; Pub. L. 103–322, title XXXIII, §330016(1)(H), Sept. 13, 1994, 108 Stat. 2147; Pub. L. 109–304, §17(d)(6), Oct. 6, 2006, 120 Stat. 1707.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §§503, 504 (Dec. 31, 1941, ch. 642, §§1, 2, 55 Stat. 876).Section consolidates sections 503 and 504 of title 18, U.S.C., 1940 ed.Words ""This section"" were substituted in subsection (b) for the words ""The provisions of sections 503, 504 of this title"".Minor changes were made in phraseology.Editorial NotesReferences in TextAct June 6, 1941, ch. 174, 55 Stat. 242, referred to in subsec. (a), expired July 1, 1953.Section 191 of Title 50, referred to in subsec. (a), was redesignated and transferred to section 70051 of Title 46, Shipping, by Pub. L. 115–282, title IV, §407(b)(1), (5), Dec. 4, 2018, 132 Stat. 4267.Amendments2006-Subsec. (a). Pub. L. 109–304 substituted ""documented"" for ""registered, enrolled, or licensed"".1994-Subsec. (a). Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $1,000"" in second par.1 See References in Text note below.","References in TextAct June 6, 1941, ch. 174, 55 Stat. 242, referred to in subsec. (a), expired July 1, 1953.Section 191 of Title 50, referred to in subsec. (a), was redesignated and transferred to section 70051 of Title 46, Shipping, by Pub. L. 115–282, title IV, §407(b)(1), (5), Dec. 4, 2018, 132 Stat. 4267.Amendments2006-Subsec. (a). Pub. L. 109–304 substituted ""documented"" for ""registered, enrolled, or licensed"".1994-Subsec. (a). Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $1,000"" in second par.1 See References in Text note below."
2278. Explosives on vessels carrying steerage passengers,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section2278&num=0&edition=prelim,"Whoever, being the master of a steamship or other vessel referred to in section 151 of Title 46, except as otherwise expressly provided by law, takes, carries, or has on board of any such vessel any nitroglycerin, dynamite, or any other explosive article or compound, or any vitriol or like acids, or gunpowder, except for the ship's use, or any article or number of articles, whether as a cargo or ballast, which, by reason of the nature or quantity or mode of storage thereof, shall, either singly or collectively, be likely to endanger the health or lives of the passengers or the safety of the vessel, shall be fined under this title or imprisoned not more than one year, or both.(June 25, 1948, ch. 645, 62 Stat. 805; Pub. L. 103–322, title XXXIII, §330016(1)(H), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on section 171 of title 46, U.S.C., 1940 ed., Shipping (Aug. 2, 1882, ch. 374, §8, 22 Stat. 189).Words ""except as otherwise expressly provided by law"" were inserted to remove obvious inconsistency between sections 831–835 of this title, section 170 of title 46, U.S.C., 1940 ed., Shipping, and this section.Words ""shall be deemed guilty of a misdemeanor and"" were omitted because designation of the offense as a misdemeanor is unnecessary in view of definitive section 1 of this title.Mandatory punishment provision was rephrased in the alternative.Minor changes were made in phraseology.Editorial NotesReferences in TextSection 151 of Title 46, referred to in text, which was based on section 1 of act Aug. 2, 1882, ch. 374, 22 Stat. 186, was repealed by Pub. L. 98–89, Aug. 26, 1983, §4(b), 97 Stat. 599.Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $1,000"".","References in TextSection 151 of Title 46, referred to in text, which was based on section 1 of act Aug. 2, 1882, ch. 374, 22 Stat. 186, was repealed by Pub. L. 98–89, Aug. 26, 1983, §4(b), 97 Stat. 599.Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $1,000""."
2279. Boarding vessels before arrival,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section2279&num=0&edition=prelim,"Whoever, not being in the United States service, and not being duly authorized by law for the purpose, goes on board any vessel about to arrive at the place of her destination, before her actual arrival, and before she has been completely moored, shall be fined under this title or imprisoned not more than six months, or both.The master of such vessel may take any such person into custody, and deliver him up forthwith to any law enforcement officer, to be by him taken before any committing magistrate, to be dealt with according to law.(June 25, 1948, ch. 645, 62 Stat. 805; Pub. L. 103–322, title XXXIII, §330016(1)(D), Sept. 13, 1994, 108 Stat. 2146.)Historical and Revision NotesBased on section 708 of title 46, U.S.C., 1940 ed., Shipping (R.S. §4606).""Law enforcement officer"" was substituted for ""constable or police officer"" and ""committing magistrate"" for ""justice of the peace."" The phraseology used in the statute was archaic. It originated when the government had few law enforcement officers and magistrates of its own.References to specific sections were made to read: ""according to law"" to achieve brevity.Mandatory punishment provision was rephrased in the alternative.The words ""without permission of the master"" were deleted to remove an inconsistency with the provisions of section 163 of title 46, U.S.C., 1940 ed., and customs regulations. Customs regulations, 1943, section 4.1c, prohibit any person ""with or without consent of the master"" from boarding vessel, with specific enumerated exceptions. Said section 163 prescribes a ""penalty of not more than $100 or imprisonment not to exceed six months, or both"" for violating regulations. The revised section increases the fine from $100 to $200 for boarding the vessel ""with the consent of the master.""Minor changes were made in phraseology.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $200"" in first par.","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $200"" in first par."
