Section,Url,Content,Metadata
205. —Front Matter,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-chapter205-front&num=0&edition=prelim,"18 USC Ch. 205: Front Matter            Result 1 of 1                                      Current2018 Ed. and Supplement V (1/3/2024)2018 Ed. and Supplement IV (1/5/2023)2018 Ed. and Supplement III (1/3/2022)2018 Ed. and Supplement II (1/13/2021)2018 Ed. and Supplement I (1/24/2020)2018 Main Ed. (1/14/2019)2012 Ed. and Supplement V (1/12/2018)2012 Ed. and Supplement IV (1/6/2017)2012 Ed. and Supplement III (1/3/2016)2012 Ed. and Supplement II (1/5/2015)2012 Ed. and Supplement I (1/16/2014)2012 Main Ed. (1/15/2013)2006 Ed. and Supplement V (1/3/2012)2006 Ed. and Supplement IV (1/7/2011)2006 Ed. and Supplement III (2/1/2010)2006 Ed. and Supplement II (1/5/2009)2006 Ed. and Supplement I (1/8/2008)2006 Main Ed. (1/3/2007)2000 Ed. and Supplement V (1/2/2006)2000 Ed. and Supplement IV (1/3/2005)2000 Ed. and Supplement III (1/19/2004)2000 Ed. and Supplement II (1/6/2003)2000 Ed. and Supplement I (1/22/2002)2000 Main Ed. (1/2/2001)1994 Ed. and Supplement V (1/23/2000)1994 Ed. and Supplement IV (1/5/1999)1994 Ed. and Supplement III (1/26/1998)1994 Ed. and Supplement II (1/6/1997)1994 Ed. and Supplement I (1/16/1996)1994 Main Ed. (1/4/1995)                         Back to Original Document << Previous                                 TITLE 18 / PART II / CHAPTER 205 / Front Matter                                 Next >>[Print]                                  [Print selection][OLRC Home]Help 18 USC Ch. 205: Front MatterFrom Title 18-CRIMES AND CRIMINAL PROCEDUREPART II-CRIMINAL PROCEDURECHAPTER 205-SEARCHES AND SEIZURESJump To: MiscellaneousCodificationAmendmentsChange of NameCHAPTER 205-SEARCHES AND SEIZURESSec.3101.Effect of rules of court-Rule.3102.Authority to issue search warrant-Rule.3103.Grounds for issuing search warrant-Rule.3103a.Additional grounds for issuing warrant.3104.Issuance of search warrant; contents-Rule.3105.Persons authorized to serve search warrant.3106.Officer authorized to serve search warrant-Rule.3107.Service of warrants and seizures by Federal Bureau of Investigation.3108.Execution, service, and return-Rule.3109.Breaking doors or windows for entry or exit.3110.Property defined-Rule.3111.Property seizable on search warrant-Rule.[3112.Repealed.]3113.Liquor violations in Indian country.3114.Return of seized property and suppression of evidence; motion-Rule.3115.Inventory upon execution and return of search warrant-Rule.3116.Records of examining magistrate judge; return to clerk of court-Rule.3117.Mobile tracking devices.3118.Implied consent for certain tests.        Editorial NotesCodificationPub. L. 90–351 enacted section 3103a of this title as part of chapter 204, and Pub. L. 90–462, §3, Aug. 8, 1968, 82 Stat. 638, corrected the chapter designation from 204 to 205.Amendments1990-Pub. L. 101–647, title XXXV, §3573(d), Nov. 29, 1990, 104 Stat. 4929, struck out item 3112 ""Search warrants for seizure of animals, birds, or eggs"" and renumbered item 3117, ""Implied consent for certain tests"", as 3118.1988-Pub. L. 100–690, title VI, §6477(b)(2), Nov. 18, 1988, 102 Stat. 4381, added item 3117 ""Implied consent for certain tests"".1986-Pub. L. 99–508, title I, §108(b), Oct. 21, 1986, 100 Stat. 1858, added item 3117 ""Mobile tracking devices"".1968-Pub. L. 90–351, title IX, §1401(b), June 19, 1968, 82 Stat. 238, added item 3103a.Statutory Notes and Related SubsidiariesChange of NameWords ""magistrate judge"" substituted for ""magistrate"" in item 3116 pursuant to section 321 of Pub. L. 101–650, set out as a note under section 631 of Title 28, Judiciary and Judicial Procedure.","CodificationPub. L. 90–351 enacted section 3103a of this title as part of chapter 204, and Pub. L. 90–462, §3, Aug. 8, 1968, 82 Stat. 638, corrected the chapter designation from 204 to 205.Amendments1990-Pub. L. 101–647, title XXXV, §3573(d), Nov. 29, 1990, 104 Stat. 4929, struck out item 3112 ""Search warrants for seizure of animals, birds, or eggs"" and renumbered item 3117, ""Implied consent for certain tests"", as 3118.1988-Pub. L. 100–690, title VI, §6477(b)(2), Nov. 18, 1988, 102 Stat. 4381, added item 3117 ""Implied consent for certain tests"".1986-Pub. L. 99–508, title I, §108(b), Oct. 21, 1986, 100 Stat. 1858, added item 3117 ""Mobile tracking devices"".1968-Pub. L. 90–351, title IX, §1401(b), June 19, 1968, 82 Stat. 238, added item 3103a.Statutory Notes and Related SubsidiariesChange of NameWords ""magistrate judge"" substituted for ""magistrate"" in item 3116 pursuant to section 321 of Pub. L. 101–650, set out as a note under section 631 of Title 28, Judiciary and Judicial Procedure."
3101. Effect of rules of court-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3101&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureRules generally applicable throughout United States, Rule 54.Acts of Congress superseded, Rule 41(g).(June 25, 1948, ch. 645, 62 Stat. 819.)Editorial NotesReferences in TextRule 41(g), referred to in text, was relettered 41(h) by 1972 amendment eff. Oct. 1, 1972.","References in TextRule 41(g), referred to in text, was relettered 41(h) by 1972 amendment eff. Oct. 1, 1972."
3102. Authority to issue search warrant-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3102&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureFederal, State or Territorial Judges, or U.S. magistrate judges authorized to issue search warrants, Rule 41(a).(June 25, 1948, ch. 645, 62 Stat. 819; Pub. L. 90–578, title III, §301(a)(4), Oct. 17, 1968, 82 Stat. 1115; Pub. L. 101–650, title III, §321, Dec. 1, 1990, 104 Stat. 5117.)Editorial NotesAmendments1968-Pub. L. 90–578 substituted ""magistrates"" for ""Commissioners"".Statutory Notes and Related SubsidiariesChange of Name""U.S. magistrate judges"" substituted for ""U.S. magistrates"" in text pursuant to section 321 of Pub. L. 101–650, set out as a note under section 631 of Title 28, Judiciary and Judicial Procedure.Effective Date of 1968 AmendmentAmendment by Pub. L. 90–578 effective Oct. 17, 1968, except when a later effective date is applicable, which is the earlier of date when implementation of amendment by appointment of magistrates [now United States magistrate judges] and assumption of office takes place or third anniversary of enactment of Pub. L. 90–578 on Oct. 17, 1968, see section 403 of Pub. L. 90–578, set out as a note under section 631 of Title 28, Judiciary and Judicial Procedure.","Amendments1968-Pub. L. 90–578 substituted ""magistrates"" for ""Commissioners"".Statutory Notes and Related SubsidiariesChange of Name""U.S. magistrate judges"" substituted for ""U.S. magistrates"" in text pursuant to section 321 of Pub. L. 101–650, set out as a note under section 631 of Title 28, Judiciary and Judicial Procedure.Effective Date of 1968 AmendmentAmendment by Pub. L. 90–578 effective Oct. 17, 1968, except when a later effective date is applicable, which is the earlier of date when implementation of amendment by appointment of magistrates [now United States magistrate judges] and assumption of office takes place or third anniversary of enactment of Pub. L. 90–578 on Oct. 17, 1968, see section 403 of Pub. L. 90–578, set out as a note under section 631 of Title 28, Judiciary and Judicial Procedure."
3103. Grounds for issuing search warrant-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3103&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureGrounds prescribed for issuance of search warrant, Rule 41(b).(June 25, 1948, ch. 645, 62 Stat. 819.)",
3103. a. Additional grounds for issuing warrant,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3103a&num=0&edition=prelim,"18 USC 3103a: Additional grounds for issuing warrant            Result 1 of 1                                      Current2018 Ed. and Supplement V (1/3/2024)2018 Ed. and Supplement IV (1/5/2023)2018 Ed. and Supplement III (1/3/2022)2018 Ed. and Supplement II (1/13/2021)2018 Ed. and Supplement I (1/24/2020)2018 Main Ed. (1/14/2019)2012 Ed. and Supplement V (1/12/2018)2012 Ed. and Supplement IV (1/6/2017)2012 Ed. and Supplement III (1/3/2016)2012 Ed. and Supplement II (1/5/2015)2012 Ed. and Supplement I (1/16/2014)2012 Main Ed. (1/15/2013)2006 Ed. and Supplement V (1/3/2012)2006 Ed. and Supplement IV (1/7/2011)2006 Ed. and Supplement III (2/1/2010)2006 Ed. and Supplement II (1/5/2009)2006 Ed. and Supplement I (1/8/2008)2006 Main Ed. (1/3/2007)2000 Ed. and Supplement V (1/2/2006)2000 Ed. and Supplement IV (1/3/2005)2000 Ed. and Supplement III (1/19/2004)2000 Ed. and Supplement II (1/6/2003)2000 Ed. and Supplement I (1/22/2002)2000 Main Ed. (1/2/2001)1994 Ed. and Supplement V (1/23/2000)1994 Ed. and Supplement IV (1/5/1999)1994 Ed. and Supplement III (1/26/1998)1994 Ed. and Supplement II (1/6/1997)1994 Ed. and Supplement I (1/16/1996)1994 Main Ed. (1/4/1995)                         Back to Original Document << Previous                                 TITLE 18 / PART II / CHAPTER 205 / § 3103a                                 Next >>[Print]                                  [Print selection][OLRC Home]Help 18 USC 3103a: Additional grounds for issuing warrantText contains those laws in effect on September 28, 2024From Title 18-CRIMES AND CRIMINAL PROCEDUREPART II-CRIMINAL PROCEDURECHAPTER 205-SEARCHES AND SEIZURESJump To: Source CreditMiscellaneousCodificationAmendments§3103a. Additional grounds for issuing warrant(a) In General.-In addition to the grounds for issuing a warrant in section 3103 of this title, a warrant may be issued to search for and seize any property that constitutes evidence of a criminal offense in violation of the laws of the United States.(b) Delay.-With respect to the issuance of any warrant or court order under this section, or any other rule of law, to search for and seize any property or material that constitutes evidence of a criminal offense in violation of the laws of the United States, any notice required, or that may be required, to be given may be delayed if-(1) the court finds reasonable cause to believe that providing immediate notification of the execution of the warrant may have an adverse result (as defined in section 2705, except if the adverse results consist only of unduly delaying a trial) 1 ;(2) the warrant prohibits the seizure of any tangible property, any wire or electronic communication (as defined in section 2510), or, except as expressly provided in chapter 121, any stored wire or electronic information, except where the court finds reasonable necessity for the seizure; and(3) the warrant provides for the giving of such notice within a reasonable period not to exceed 30 days after the date of its execution, or on a later date certain if the facts of the case justify a longer period of delay.(c) Extensions of Delay.-Any period of delay authorized by this section may be extended by the court for good cause shown, subject to the condition that extensions should only be granted upon an updated showing of the need for further delay and that each additional delay should be limited to periods of 90 days or less, unless the facts of the case justify a longer period of delay.(d) Reports.-(1) Report by judge.-Not later than 30 days after the expiration of a warrant authorizing delayed notice (including any extension thereof) entered under this section, or the denial of such warrant (or request for extension), the issuing or denying judge shall report to the Administrative Office of the United States Courts-(A) the fact that a warrant was applied for;(B) the fact that the warrant or any extension thereof was granted as applied for, was modified, or was denied;(C) the period of delay in the giving of notice authorized by the warrant, and the number and duration of any extensions; and(D) the offense specified in the warrant or application.(2) Report by administrative office of the united states courts.-Beginning with the fiscal year ending September 30, 2007, the Director of the Administrative Office of the United States Courts shall transmit to Congress annually a full and complete report summarizing the data required to be filed with the Administrative Office by paragraph (1), including the number of applications for warrants and extensions of warrants authorizing delayed notice, and the number of such warrants and extensions granted or denied during the preceding fiscal year.(3) Regulations.-The Director of the Administrative Office of the United States Courts, in consultation with the Attorney General, is authorized to issue binding regulations dealing with the content and form of the reports required to be filed under paragraph (1).(Added Pub. L. 90–351, title IX, §1401(a), June 19, 1968, 82 Stat. 238; amended Pub. L. 107–56, title II, §213, Oct. 26, 2001, 115 Stat. 285; Pub. L. 109–177, title I, §114, Mar. 9, 2006, 120 Stat. 210.)Editorial NotesCodificationPub. L. 90–351 enacted section 3103a of this title as part of chapter 204, and Pub. L. 90–462, §3, Aug. 8, 1968, 82 Stat. 638, corrected the chapter designation from 204 to 205.Amendments2006-Subsec. (b)(1). Pub. L. 109–177, §114(b), inserted "", except if the adverse results consist only of unduly delaying a trial"" after ""2705"".Subsec. (b)(3). Pub. L. 109–177, §114(a)(1), added par. (3) and struck out former par. (3) which read as follows: ""the warrant provides for the giving of such notice within a reasonable period of its execution, which period may thereafter be extended by the court for good cause shown.""Subsecs. (c), (d). Pub. L. 109–177, §114(a)(2), (c), added subsecs. (c) and (d).2001-Pub. L. 107–56 designated existing provisions as subsec. (a), inserted heading, and added subsec. (b).1 So in original. The closing parenthesis probably should follow ""section 2705"".","CodificationPub. L. 90–351 enacted section 3103a of this title as part of chapter 204, and Pub. L. 90–462, §3, Aug. 8, 1968, 82 Stat. 638, corrected the chapter designation from 204 to 205.Amendments2006-Subsec. (b)(1). Pub. L. 109–177, §114(b), inserted "", except if the adverse results consist only of unduly delaying a trial"" after ""2705"".Subsec. (b)(3). Pub. L. 109–177, §114(a)(1), added par. (3) and struck out former par. (3) which read as follows: ""the warrant provides for the giving of such notice within a reasonable period of its execution, which period may thereafter be extended by the court for good cause shown.""Subsecs. (c), (d). Pub. L. 109–177, §114(a)(2), (c), added subsecs. (c) and (d).2001-Pub. L. 107–56 designated existing provisions as subsec. (a), inserted heading, and added subsec. (b).1 So in original. The closing parenthesis probably should follow ""section 2705""."
3104. Issuance of search warrant; contents-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3104&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureIssuance of search warrant on affidavit; contents to identify persons or place; command to search forthwith, Rule 41(c).(June 25, 1948, ch. 645, 62 Stat. 819.)",
3105. Persons authorized to serve search warrant,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3105&num=0&edition=prelim,"A search warrant may in all cases be served by any of the officers mentioned in its direction or by an officer authorized by law to serve such warrant, but by no other person, except in aid of the officer on his requiring it, he being present and acting in its execution.(June 25, 1948, ch. 645, 62 Stat. 819.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §617 (June 15, 1917, ch. 30, title XI, §7, 40 Stat. 229).Minor change was made in phraseology.","Based on title 18, U.S.C., 1940 ed., §617 (June 15, 1917, ch. 30, title XI, §7, 40 Stat. 229).Minor change was made in phraseology."
3106. Officer authorized to serve search warrant-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3106&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureOfficer to whom search warrant shall be directed, Rule 41(c).(June 25, 1948, ch. 645, 62 Stat. 819.)",
3107. Service of warrants and seizures by Federal Bureau of Investigation,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3107&num=0&edition=prelim,"The Director, Associate Director, Assistant to the Director, Assistant Directors, agents, and inspectors of the Federal Bureau of Investigation of the Department of Justice are empowered to make seizures under warrant for violation of the laws of the United States.(June 25, 1948, ch. 645, 62 Stat. 819; Jan. 10, 1951, ch. 1221, §2, 64 Stat. 1239.)Historical and Revision NotesBased on section 300a of title 5, U.S.C., 1940 ed., Executive Departments and Government Officers and Employees (June 18, 1934, ch. 595, 48 Stat. 1008; Mar. 22, 1935, ch. 39, title II, 49 Stat. 77).Section 300a of title 5, U.S.C., 1940 ed., Executive Departments and Government Officers and Employees, was used as the basis for this section and section 3052 of this title.Editorial NotesAmendments1951-Act Jan. 10, 1951, included within its provisions the Associate Director and the Assistant to the Director.Executive DocumentsTransfer of FunctionsFunctions of all other officers of Department of Justice and functions of all agencies and employees of such Department, with a few exceptions, transferred to Attorney General, with power vested in him to authorize their performance or performance of any of his functions by any of such officers, agencies, and employees, by Reorg. Plan No. 2 of 1950, §§1, 2, eff. May 24, 1950, 15 F.R. 3173, 64 Stat. 1261, set out in the Appendix to Title 5, Government Organization and Employees.","Amendments1951-Act Jan. 10, 1951, included within its provisions the Associate Director and the Assistant to the Director.Executive DocumentsTransfer of FunctionsFunctions of all other officers of Department of Justice and functions of all agencies and employees of such Department, with a few exceptions, transferred to Attorney General, with power vested in him to authorize their performance or performance of any of his functions by any of such officers, agencies, and employees, by Reorg. Plan No. 2 of 1950, §§1, 2, eff. May 24, 1950, 15 F.R. 3173, 64 Stat. 1261, set out in the Appendix to Title 5, Government Organization and Employees."
"3108. Execution, service, and return-(Rule)",https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3108&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureMethod and time for execution, service and return of search warrant, Rule 41(c), (d).(June 25, 1948, ch. 645, 62 Stat. 819.)",
