Section,Url,Content,Metadata
211. —Front Matter,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-chapter211-front&num=0&edition=prelim,"18 USC Ch. 211: Front Matter            Result 1 of 1                                      Current2018 Ed. and Supplement V (1/3/2024)2018 Ed. and Supplement IV (1/5/2023)2018 Ed. and Supplement III (1/3/2022)2018 Ed. and Supplement II (1/13/2021)2018 Ed. and Supplement I (1/24/2020)2018 Main Ed. (1/14/2019)2012 Ed. and Supplement V (1/12/2018)2012 Ed. and Supplement IV (1/6/2017)2012 Ed. and Supplement III (1/3/2016)2012 Ed. and Supplement II (1/5/2015)2012 Ed. and Supplement I (1/16/2014)2012 Main Ed. (1/15/2013)2006 Ed. and Supplement V (1/3/2012)2006 Ed. and Supplement IV (1/7/2011)2006 Ed. and Supplement III (2/1/2010)2006 Ed. and Supplement II (1/5/2009)2006 Ed. and Supplement I (1/8/2008)2006 Main Ed. (1/3/2007)2000 Ed. and Supplement V (1/2/2006)2000 Ed. and Supplement IV (1/3/2005)2000 Ed. and Supplement III (1/19/2004)2000 Ed. and Supplement II (1/6/2003)2000 Ed. and Supplement I (1/22/2002)2000 Main Ed. (1/2/2001)1994 Ed. and Supplement V (1/23/2000)1994 Ed. and Supplement IV (1/5/1999)1994 Ed. and Supplement III (1/26/1998)1994 Ed. and Supplement II (1/6/1997)1994 Ed. and Supplement I (1/16/1996)1994 Main Ed. (1/4/1995)                         Back to Original Document << Previous                                 TITLE 18 / PART II / CHAPTER 211 / Front Matter                                 Next >>[Print]                                  [Print selection][OLRC Home]Help 18 USC Ch. 211: Front MatterFrom Title 18-CRIMES AND CRIMINAL PROCEDUREPART II-CRIMINAL PROCEDURECHAPTER 211-JURISDICTION AND VENUEJump To: MiscellaneousAmendmentsCHAPTER 211-JURISDICTION AND VENUESec.3231.District courts.3232.District of offense-Rule.3233.Transfer within district-Rule.3234.Change of venue to another district-Rule.3235.Venue in capital cases.3236.Murder or manslaughter.3237.Offenses begun in one district and completed in another.3238.Offenses not committed in any district.3239.Optional venue for espionage and related offenses.3240.Creation of new district or division.3241.Jurisdiction of offenses under certain sections.3242.Indians committing certain offenses; acts on reservations.3243.Jurisdiction of State of Kansas over offenses committed by or against Indians on Indian reservations.3244.Jurisdiction of proceedings relating to transferred offenders.        Editorial NotesAmendments1994-Pub. L. 103–322, title XXXII, §320909(b), Sept. 13, 1994, 108 Stat. 2127, added item 3239.1984-Pub. L. 98–473, title II, §1204(b), Oct. 12, 1984, 98 Stat. 2152, struck out item 3239 ""Threatening communications"".1978-Pub. L. 95–598, title III, §314(j)(2), Nov. 6, 1978, 92 Stat. 2678, added item 3244.","Amendments1994-Pub. L. 103–322, title XXXII, §320909(b), Sept. 13, 1994, 108 Stat. 2127, added item 3239.1984-Pub. L. 98–473, title II, §1204(b), Oct. 12, 1984, 98 Stat. 2152, struck out item 3239 ""Threatening communications"".1978-Pub. L. 95–598, title III, §314(j)(2), Nov. 6, 1978, 92 Stat. 2678, added item 3244."
3231. District courts,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3231&num=0&edition=prelim,"The district courts of the United States shall have original jurisdiction, exclusive of the courts of the States, of all offenses against the laws of the United States.Nothing in this title shall be held to take away or impair the jurisdiction of the courts of the several States under the laws thereof.(June 25, 1948, ch. 645, 62 Stat. 826.)Historical and Revision NotesBased on section 588d of title 12, U.S.C., 1940 ed., Banks and Banking; title 18, U.S.C., 1940 ed., §§546, 547 (Mar. 4, 1909, ch. 321, §§326, 340, 35 Stat. 1151, 1153; Mar. 3, 1911, ch. 231, §291, 36 Stat. 1167; May 18, 1934, ch. 304, §4, 48 Stat. 783).This section was formed by combining sections 546 and 547 of title 18, U.S.C., 1940 ed., with section 588d of title 12, U.S.C., Banks and Banking, with no change of substance.The language of said section 588d of title 12, U.S.C., 1940 ed., which related to bank robbery, or killing or kidnapping as an incident thereto (see section 2113, of this title), and which read ""Jurisdiction over any offense defined by sections 588b and 588c of this title shall not be reserved exclusively to courts of the United States"" was omitted as adequately covered by this section.Senate Revision AmendmentThe text of this section was changed by Senate amendment. See Senate Report No. 1620, amendment No. 10, 80th Cong.","Based on section 588d of title 12, U.S.C., 1940 ed., Banks and Banking; title 18, U.S.C., 1940 ed., §§546, 547 (Mar. 4, 1909, ch. 321, §§326, 340, 35 Stat. 1151, 1153; Mar. 3, 1911, ch. 231, §291, 36 Stat. 1167; May 18, 1934, ch. 304, §4, 48 Stat. 783).This section was formed by combining sections 546 and 547 of title 18, U.S.C., 1940 ed., with section 588d of title 12, U.S.C., Banks and Banking, with no change of substance.The language of said section 588d of title 12, U.S.C., 1940 ed., which related to bank robbery, or killing or kidnapping as an incident thereto (see section 2113, of this title), and which read ""Jurisdiction over any offense defined by sections 588b and 588c of this title shall not be reserved exclusively to courts of the United States"" was omitted as adequately covered by this section.Senate Revision AmendmentThe text of this section was changed by Senate amendment. See Senate Report No. 1620, amendment No. 10, 80th Cong."
3232. District of offense-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3232&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureProceedings to be in district and division in which offense committed, Rule 18.(June 25, 1948, ch. 645, 62 Stat. 826.)",
3233. Transfer within district-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3233&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureArraignment, plea, trial, sentence in district of more than one division, Rule 19.(June 25, 1948, ch. 645, 62 Stat. 826.)Editorial NotesReferences in TextRule 19 of the Federal Rules of Criminal Procedure, referred to in text, was rescinded Feb. 28, 1966, eff. July 1, 1966.","References in TextRule 19 of the Federal Rules of Criminal Procedure, referred to in text, was rescinded Feb. 28, 1966, eff. July 1, 1966."
3234. Change of venue to another district-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3234&num=0&edition=prelim,"See Federal Rules of Criminal ProcedurePlea or disposal of case in district other than that in which defendant was arrested, Rule 20.(June 25, 1948, ch. 645, 62 Stat. 826.)",
3235. Venue in capital cases,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3235&num=0&edition=prelim,"The trial of offenses punishable with death shall be had in the county where the offense was committed, where that can be done without great inconvenience.(June 25, 1948, ch. 645, 62 Stat. 826.)Historical and Revision NotesBased on section 101 of title 28, U.S.C., 1940 ed., Judicial Code and Judiciary (Mar. 3, 1911, ch. 231, §40, 36 Stat. 1100).","Based on section 101 of title 28, U.S.C., 1940 ed., Judicial Code and Judiciary (Mar. 3, 1911, ch. 231, §40, 36 Stat. 1100)."
3236. Murder or manslaughter,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3236&num=0&edition=prelim,"In all cases of murder or manslaughter, the offense shall be deemed to have been committed at the place where the injury was inflicted, or the poison administered or other means employed which caused the death, without regard to the place where the death occurs.(June 25, 1948, ch. 645, 62 Stat. 826.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §553 (Mar. 4, 1909, ch. 321, §336, 35 Stat. 1152).","Based on title 18, U.S.C., 1940 ed., §553 (Mar. 4, 1909, ch. 321, §336, 35 Stat. 1152)."
3237. Offenses begun in one district and completed in another,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3237&num=0&edition=prelim,"(a) Except as otherwise expressly provided by enactment of Congress, any offense against the United States begun in one district and completed in another, or committed in more than one district, may be inquired of and prosecuted in any district in which such offense was begun, continued, or completed.Any offense involving the use of the mails, transportation in interstate or foreign commerce, or the importation of an object or person into the United States is a continuing offense and, except as otherwise expressly provided by enactment of Congress, may be inquired of and prosecuted in any district from, through, or into which such commerce, mail matter, or imported object or person moves.(b) Notwithstanding subsection (a), where an offense is described in section 7203 of the Internal Revenue Code of 1986, or where venue for prosecution of an offense described in section 7201 or 7206(1), (2), or (5) of such Code (whether or not the offense is also described in another provision of law) is based solely on a mailing to the Internal Revenue Service, and prosecution is begun in a judicial district other than the judicial district in which the defendant resides, he may upon motion filed in the district in which the prosecution is begun, elect to be tried in the district in which he was residing at the time the alleged offense was committed: Provided, That the motion is filed within twenty days after arraignment of the defendant upon indictment or information.(June 25, 1948, ch. 645, 62 Stat. 826; Pub. L. 85–595, Aug. 6, 1958, 72 Stat. 512; Pub. L. 89–713, §2, Nov. 2, 1966, 80 Stat. 1108; Pub. L. 98–369, div. A, title I, §162, July 18, 1984, 98 Stat. 697; Pub. L. 98–473, title II, §1204(a), Oct. 12, 1984, 98 Stat. 2152; Pub. L. 99–514, §2, Oct. 22, 1986, 100 Stat. 2095.)Historical and Revision NotesBased on section 103 of title 28, U.S.C., 1940 ed., Judicial Code and Judiciary (Mar. 3, 1911, ch. 231, §42, 36 Stat. 1100).Section was completely rewritten to clarify legislative intent and in order to omit special venue provisions from many sections.The phrase ""committed in more than one district"" may be comprehensive enough to include ""begun in one district and completed in another"", but the use of both expressions precludes any doubt as to legislative intent.Rules 18–22 of the Federal Rules of Criminal Procedure are in accord with this section.The last paragraph of the revised section was added to meet the situation created by the decision of the Supreme Court of the United States in United States v. Johnson, 1944, 65 S. Ct. 249, 89 L. Ed. 236, which turned on the absence of a special venue provision in the Dentures Act, section 1821 of this revision. The revised section removes all doubt as to the venue of continuing offenses and makes unnecessary special venue provisions except in cases where Congress desires to restrict the prosecution of offenses to particular districts as in section 1073 of this revision.Editorial NotesReferences in TextSection 7203 of the Internal Revenue Code of 1986, referred to in subsec. (b), is classified to section 7203 of Title 26, Internal Revenue Code.Section 7201 or 7206(1), (2), or (5) of such Code, referred to in subsec. (b), are classified respectively to sections 7201 and 7206(1), (2), (5) of Title 26.Amendments1986-Subsec. (b). Pub. L. 99–514 substituted ""Internal Revenue Code of 1986"" for ""Internal Revenue Code of 1954"".1984-Subsec. (a). Pub. L. 98–473 inserted ""or the importation of an object or person into the United States"" and "", or imported object or person"" in second par.Subsec. (b). Pub. L. 98–369 substituted ""venue for prosecution of an offense"" for ""an offense involves use of the mails and is an offense"" and inserted ""is based solely on a mailing to the Internal Revenue Service"".1966-Subsec. (b). Pub. L. 89–713 inserted reference to offenses described in section 7203 of the Internal Revenue Code of 1954.1958-Pub. L. 85–595 designated existing provisions as subsec. (a) and added subsec. (b).Statutory Notes and Related SubsidiariesEffective Date of 1966 AmendmentAmendment by Pub. L. 89–713 effective Nov. 2, 1966, see section 6 of Pub. L. 89–713, set out as a note under section 6091 of Title 26, Internal Revenue Code.","References in TextSection 7203 of the Internal Revenue Code of 1986, referred to in subsec. (b), is classified to section 7203 of Title 26, Internal Revenue Code.Section 7201 or 7206(1), (2), or (5) of such Code, referred to in subsec. (b), are classified respectively to sections 7201 and 7206(1), (2), (5) of Title 26.Amendments1986-Subsec. (b). Pub. L. 99–514 substituted ""Internal Revenue Code of 1986"" for ""Internal Revenue Code of 1954"".1984-Subsec. (a). Pub. L. 98–473 inserted ""or the importation of an object or person into the United States"" and "", or imported object or person"" in second par.Subsec. (b). Pub. L. 98–369 substituted ""venue for prosecution of an offense"" for ""an offense involves use of the mails and is an offense"" and inserted ""is based solely on a mailing to the Internal Revenue Service"".1966-Subsec. (b). Pub. L. 89–713 inserted reference to offenses described in section 7203 of the Internal Revenue Code of 1954.1958-Pub. L. 85–595 designated existing provisions as subsec. (a) and added subsec. (b).Statutory Notes and Related SubsidiariesEffective Date of 1966 AmendmentAmendment by Pub. L. 89–713 effective Nov. 2, 1966, see section 6 of Pub. L. 89–713, set out as a note under section 6091 of Title 26, Internal Revenue Code."
3238. Offenses not committed in any district,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3238&num=0&edition=prelim,"The trial of all offenses begun or committed upon the high seas, or elsewhere out of the jurisdiction of any particular State or district, shall be in the district in which the offender, or any one of two or more joint offenders, is arrested or is first brought; but if such offender or offenders are not so arrested or brought into any district, an indictment or information may be filed in the district of the last known residence of the offender or of any one of two or more joint offenders, or if no such residence is known the indictment or information may be filed in the District of Columbia.(June 25, 1948, ch. 645, 62 Stat. 826; Pub. L. 88–27, May 23, 1963, 77 Stat. 48.)Historical and Revision NotesBased on section 102 of title 28, U.S.C., 1940 ed., Judicial Code and Judiciary (Mar. 3, 1911, ch. 231, §41, 36 Stat. 1100).Words ""begun or"" were inserted to clarify scope of this section and section 3237 of this title.This section is similar to section 219 of title 22, U.S.C., 1940 ed., Foreign Relations and Intercourse, providing in part that unlawful issuance of passports may be prosecuted in the district where the offender may be arrested or in custody. Said provision is therefore omitted as covered by this section. The remaining provisions of said section 219 are incorporated in section 1541 of this title.Editorial NotesAmendments1963-Pub. L. 88–27 authorized the trial of offenses not committed in any district in the district in which the offender, or any one of two or more joint offenders, is arrested; an indictment or information to be filed in the district of the last known residence of the offender or of any one of two or more joint offenders where the offender or offenders are not arrested or brought into any district; and an indictment or information to be filed in the District of Columbia where there is no knowledge of the residence of the offender or of any one of two or more joint offenders.","Amendments1963-Pub. L. 88–27 authorized the trial of offenses not committed in any district in the district in which the offender, or any one of two or more joint offenders, is arrested; an indictment or information to be filed in the district of the last known residence of the offender or of any one of two or more joint offenders where the offender or offenders are not arrested or brought into any district; and an indictment or information to be filed in the District of Columbia where there is no knowledge of the residence of the offender or of any one of two or more joint offenders."
3239. Optional venue for espionage and related offenses,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3239&num=0&edition=prelim,"The trial for any offense involving a violation, begun or committed upon the high seas or elsewhere out of the jurisdiction of any particular State or district, of-(1) section 793, 794, 798, or section 1030(a)(1) of this title;(2) section 601 of the National Security Act of 1947 (50 U.S.C. 421); 1 or(3) section 4(b) or 4(c) of the Subversive Activities Control Act of 1950 (50 U.S.C. 783(b) or (c));may be in the District of Columbia or in any other district authorized by law.(Added Pub. L. 103–322, title XXXII, §320909(a), Sept. 13, 1994, 108 Stat. 2127.)Editorial NotesReferences in TextThe National Security Act of 1947, referred to in par. (2), is act July 26, 1947, ch. 343, 61 Stat. 495, which was formerly classified principally to chapter 15 (§401 et seq.) of Title 50, War and National Defense, prior to editorial reclassification in chapter 44 (§3001 et seq.) of Title 50. Section 601 of this Act is now classified to section 3121 of Title 50. For complete classification of this Act to the Code, see Tables.Prior ProvisionsA prior section 3239, act June 25, 1948, ch. 645, 62 Stat. 827, related to threatening communications, prior to repeal by Pub. L. 98–473, title II, §1204(b), Oct. 12, 1984, 98 Stat. 2152.1 See References in Text note below.","References in TextThe National Security Act of 1947, referred to in par. (2), is act July 26, 1947, ch. 343, 61 Stat. 495, which was formerly classified principally to chapter 15 (§401 et seq.) of Title 50, War and National Defense, prior to editorial reclassification in chapter 44 (§3001 et seq.) of Title 50. Section 601 of this Act is now classified to section 3121 of Title 50. For complete classification of this Act to the Code, see Tables.Prior ProvisionsA prior section 3239, act June 25, 1948, ch. 645, 62 Stat. 827, related to threatening communications, prior to repeal by Pub. L. 98–473, title II, §1204(b), Oct. 12, 1984, 98 Stat. 2152.1 See References in Text note below."
