Section,Url,Content,Metadata
29. —Front Matter,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-chapter29-front&num=0&edition=prelim,"18 USC Ch. 29: Front Matter            Result 1 of 1                                      Current2018 Ed. and Supplement V (1/3/2024)2018 Ed. and Supplement IV (1/5/2023)2018 Ed. and Supplement III (1/3/2022)2018 Ed. and Supplement II (1/13/2021)2018 Ed. and Supplement I (1/24/2020)2018 Main Ed. (1/14/2019)2012 Ed. and Supplement V (1/12/2018)2012 Ed. and Supplement IV (1/6/2017)2012 Ed. and Supplement III (1/3/2016)2012 Ed. and Supplement II (1/5/2015)2012 Ed. and Supplement I (1/16/2014)2012 Main Ed. (1/15/2013)2006 Ed. and Supplement V (1/3/2012)2006 Ed. and Supplement IV (1/7/2011)2006 Ed. and Supplement III (2/1/2010)2006 Ed. and Supplement II (1/5/2009)2006 Ed. and Supplement I (1/8/2008)2006 Main Ed. (1/3/2007)2000 Ed. and Supplement V (1/2/2006)2000 Ed. and Supplement IV (1/3/2005)2000 Ed. and Supplement III (1/19/2004)2000 Ed. and Supplement II (1/6/2003)2000 Ed. and Supplement I (1/22/2002)2000 Main Ed. (1/2/2001)1994 Ed. and Supplement V (1/23/2000)1994 Ed. and Supplement IV (1/5/1999)1994 Ed. and Supplement III (1/26/1998)1994 Ed. and Supplement II (1/6/1997)1994 Ed. and Supplement I (1/16/1996)1994 Main Ed. (1/4/1995)                         Back to Original Document << Previous                                 TITLE 18 / PART I / CHAPTER 29 / Front Matter                                 Next >>[Print]                                  [Print selection][OLRC Home]Help 18 USC Ch. 29: Front MatterFrom Title 18-CRIMES AND CRIMINAL PROCEDUREPART I-CRIMESCHAPTER 29-ELECTIONS AND POLITICAL ACTIVITIESJump To: AmendmentsMiscellaneousCHAPTER 29-ELECTIONS AND POLITICAL ACTIVITIESSec.[591.Repealed.]592.Troops at polls.593.Interference by armed forces.594.Intimidation of voters.595.Interference by administrative employees of Federal, State, or Territorial Governments.596.Polling armed forces.597.Expenditures to influence voting.598.Coercion by means of relief appropriations.599.Promise of appointment by candidate.600.Promise of employment or other benefit for political activity.601.Deprivation of employment or other benefit for political contribution.602.Solicitation of political contributions.603.Making political contributions.604.Solicitation from persons on relief.605.Disclosure of names of persons on relief.606.Intimidation to secure political contributions.607.Place of solicitation.608.Absent uniformed services voters and overseas voters.609.Use of military authority to influence vote of member of Armed Forces.610.Coercion of political activity.611.Voting by aliens.[612 to 617. Repealed.]        Senate Revision AmendmentBy Senate amendment, item 610 was changed to read, ""610. Contributions or expenditures by national banks, corporations, or labor organizations"". See Senate Report No. 1620, amendment Nos. 4 and 5, 80th Cong.Editorial NotesAmendments1996-Pub. L. 104–208, div. C, title II, §216(b), Sept. 30, 1996, 110 Stat. 3009–573, added item 611.1993-Pub. L. 103–94, §4(c)(2), Oct. 6, 1993, 107 Stat. 1005, added item 610.1990-Pub. L. 101–647, title XXXV, §3516, Nov. 29, 1990, 104 Stat. 4923, substituted ""Making political contributions"" for ""Place of solicitation"" in item 603 and ""Place of solicitation"" for ""Making political contributions"" in item 607.1986-Pub. L. 99–410, title II, §202(b), Aug. 28, 1986, 100 Stat. 929, added items 608 and 609.1980-Pub. L. 96–187, title II, §201(a)(2), Jan. 8, 1980, 93 Stat. 1367, struck out item 591 ""Definitions"".1976-Pub. L. 94–453, §2, Oct. 2, 1976, 90 Stat. 1517, substituted ""political contribution"" for ""political activity"" in item 601.Pub. L. 94–283 title II, §201(b), May 11, 1976, 90 Stat. 496, struck out items ""608. Limitations on contributions and expenditures"", ""610. Contributions or expenditures by national banks, corporations or labor organizations"", ""611. Contributions by Government contractors"", ""612. Publication or distribution of political statements"", ""613. Contributions by foreign nationals"", ""614. Prohibition of contributions in name of another"", ""615. Limitation on contributions of currency"", ""616. Acceptance of excessive honorariums"", and ""617. Fraudulent misrepresentation of campaign authority"".1974-Pub. L. 93–443, title I, §101(d)(4)(B), (f)(3), Oct. 15, 1974, 88 Stat. 1267, 1268, substituted ""Contributions by foreign nationals"" for ""Contributions by agents of foreign principals"" in item 613, and added items 614 to 617.1972-Pub. L. 92–225, title II, §207, Feb. 7, 1972, 86 Stat. 11, substituted ""contributions and expenditures"" for ""political contributions and purchases"" in item 608, ""Repealed"" for ""Maximum contributions and expenditures"" in item 609, and ""Government contractors"" for ""firms or individuals contracting with the United States"" in item 611.1966-Pub. L. 89–486, §8(c)(1), July 4, 1966, 80 Stat. 249, added item 613.Statutory Notes and Related SubsidiariesState Laws Affected; DefinitionsPub. L. 93–443, title I, §104, Oct. 15, 1974, 88 Stat. 1272, provided that:""(a) The provisions of chapter 29 of title 18, United States Code, relating to elections and political activities, supersede and preempt any provision of State law with respect to election to Federal office.""(b) For purposes of this section, the terms 'election', 'Federal office', and 'State' have the meanings given them by section 591 of title 18, United States Code.""","Amendments1996-Pub. L. 104–208, div. C, title II, §216(b), Sept. 30, 1996, 110 Stat. 3009–573, added item 611.1993-Pub. L. 103–94, §4(c)(2), Oct. 6, 1993, 107 Stat. 1005, added item 610.1990-Pub. L. 101–647, title XXXV, §3516, Nov. 29, 1990, 104 Stat. 4923, substituted ""Making political contributions"" for ""Place of solicitation"" in item 603 and ""Place of solicitation"" for ""Making political contributions"" in item 607.1986-Pub. L. 99–410, title II, §202(b), Aug. 28, 1986, 100 Stat. 929, added items 608 and 609.1980-Pub. L. 96–187, title II, §201(a)(2), Jan. 8, 1980, 93 Stat. 1367, struck out item 591 ""Definitions"".1976-Pub. L. 94–453, §2, Oct. 2, 1976, 90 Stat. 1517, substituted ""political contribution"" for ""political activity"" in item 601.Pub. L. 94–283 title II, §201(b), May 11, 1976, 90 Stat. 496, struck out items ""608. Limitations on contributions and expenditures"", ""610. Contributions or expenditures by national banks, corporations or labor organizations"", ""611. Contributions by Government contractors"", ""612. Publication or distribution of political statements"", ""613. Contributions by foreign nationals"", ""614. Prohibition of contributions in name of another"", ""615. Limitation on contributions of currency"", ""616. Acceptance of excessive honorariums"", and ""617. Fraudulent misrepresentation of campaign authority"".1974-Pub. L. 93–443, title I, §101(d)(4)(B), (f)(3), Oct. 15, 1974, 88 Stat. 1267, 1268, substituted ""Contributions by foreign nationals"" for ""Contributions by agents of foreign principals"" in item 613, and added items 614 to 617.1972-Pub. L. 92–225, title II, §207, Feb. 7, 1972, 86 Stat. 11, substituted ""contributions and expenditures"" for ""political contributions and purchases"" in item 608, ""Repealed"" for ""Maximum contributions and expenditures"" in item 609, and ""Government contractors"" for ""firms or individuals contracting with the United States"" in item 611.1966-Pub. L. 89–486, §8(c)(1), July 4, 1966, 80 Stat. 249, added item 613.Statutory Notes and Related SubsidiariesState Laws Affected; DefinitionsPub. L. 93–443, title I, §104, Oct. 15, 1974, 88 Stat. 1272, provided that:""(a) The provisions of chapter 29 of title 18, United States Code, relating to elections and political activities, supersede and preempt any provision of State law with respect to election to Federal office.""(b) For purposes of this section, the terms 'election', 'Federal office', and 'State' have the meanings given them by section 591 of title 18, United States Code."""
"591. Repealed. Pub. L. 96-187, title II, §201(a)(1), Jan. 8, 1980, 93 Stat. 1367",https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section591&num=0&edition=prelim,"18 USC 591: Repealed. Pub. L. 96-187, title II, §201(a)(1), Jan. 8, 1980, 93 Stat. 1367            Result 1 of 1                                      Current2018 Ed. and Supplement V (1/3/2024)2018 Ed. and Supplement IV (1/5/2023)2018 Ed. and Supplement III (1/3/2022)2018 Ed. and Supplement II (1/13/2021)2018 Ed. and Supplement I (1/24/2020)2018 Main Ed. (1/14/2019)2012 Ed. and Supplement V (1/12/2018)2012 Ed. and Supplement IV (1/6/2017)2012 Ed. and Supplement III (1/3/2016)2012 Ed. and Supplement II (1/5/2015)2012 Ed. and Supplement I (1/16/2014)2012 Main Ed. (1/15/2013)2006 Ed. and Supplement V (1/3/2012)2006 Ed. and Supplement IV (1/7/2011)2006 Ed. and Supplement III (2/1/2010)2006 Ed. and Supplement II (1/5/2009)2006 Ed. and Supplement I (1/8/2008)2006 Main Ed. (1/3/2007)2000 Ed. and Supplement V (1/2/2006)2000 Ed. and Supplement IV (1/3/2005)2000 Ed. and Supplement III (1/19/2004)2000 Ed. and Supplement II (1/6/2003)2000 Ed. and Supplement I (1/22/2002)2000 Main Ed. (1/2/2001)1994 Ed. and Supplement V (1/23/2000)1994 Ed. and Supplement IV (1/5/1999)1994 Ed. and Supplement III (1/26/1998)1994 Ed. and Supplement II (1/6/1997)1994 Ed. and Supplement I (1/16/1996)1994 Main Ed. (1/4/1995)                         Back to Original Document << Previous                                 TITLE 18 / PART I / CHAPTER 29 / § 591                                 Next >>[Print]                                  [Print selection][OLRC Home]Help 18 USC 591: Repealed. Pub. L. 96-187, title II, §201(a)(1), Jan. 8, 1980, 93 Stat. 1367Text contains those laws in effect on September 27, 2024From Title 18-CRIMES AND CRIMINAL PROCEDUREPART I-CRIMESCHAPTER 29-ELECTIONS AND POLITICAL ACTIVITIESJump To: Miscellaneous[§591. Repealed. Pub. L. 96–187, title II, §201(a)(1), Jan. 8, 1980, 93 Stat. 1367]Section, acts June 25, 1948, ch. 645, 62 Stat. 719; May 24, 1949, ch. 139, §9, 63 Stat. 90; Sept. 22, 1970, Pub. L. 91–405, title II, §204(d)(4), 84 Stat. 853; Feb. 7, 1972, Pub. L. 92–225, title II, §201, 86 Stat. 8; Oct. 15, 1974, Pub. L. 93–443, title I, §§101(f)(2), 102, 88 Stat. 1268, 1269; May 11, 1976, Pub. L. 94–283, title I, §115(g), title II, §202, 90 Stat. 496, 497, defined terms applicable to prohibitions respecting elections and political activities.Statutory Notes and Related SubsidiariesEffective Date of RepealRepeal effective Jan. 8, 1980, see section 301(a) of Pub. L. 96–187, set out as an Effective Date of 1980 Amendment note under section 30101 of Title 52, Voting and Elections.",
592. Troops at polls,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section592&num=0&edition=prelim,"Whoever, being an officer of the Army or Navy, or other person in the civil, military, or naval service of the United States, orders, brings, keeps, or has under his authority or control any troops or armed men at any place where a general or special election is held, unless such force be necessary to repel armed enemies of the United States, shall be fined under this title or imprisoned not more than five years, or both; and be disqualified from holding any office of honor, profit, or trust under the United States.This section shall not prevent any officer or member of the armed forces of the United States from exercising the right of suffrage in any election district to which he may belong, if otherwise qualified according to the laws of the State in which he offers to vote.(June 25, 1948, ch. 645, 62 Stat. 719; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §§55 and 59 (Mar. 4, 1909, ch. 321, §§22, 26, 35 Stat. 1092, 1093).This section consolidates sections 55 and 59 of title 18, U.S.C., 1940 ed.Mandatory punishment provision was rephrased in the alternative.In second paragraph, words ""or member of the Armed Forces of the United States"" were substituted for ""soldier, sailor, or marine"" so as to cover those auxiliaries which are now component parts of the Army and Navy.Changes in phraseology were also made.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000""."
593. Interference by armed forces,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section593&num=0&edition=prelim,"Whoever, being an officer or member of the Armed Forces of the United States, prescribes or fixes or attempts to prescribe or fix, whether by proclamation, order or otherwise, the qualifications of voters at any election in any State; orWhoever, being such officer or member, prevents or attempts to prevent by force, threat, intimidation, advice or otherwise any qualified voter of any State from fully exercising the right of suffrage at any general or special election; orWhoever, being such officer or member, orders or compels or attempts to compel any election officer in any State to receive a vote from a person not legally qualified to vote; orWhoever, being such officer or member, imposes or attempts to impose any regulations for conducting any general or special election in a State, different from those prescribed by law; orWhoever, being such officer or member, interferes in any manner with an election officer's discharge of his duties-Shall be fined under this title or imprisoned not more than five years, or both; and disqualified from holding any office of honor, profit or trust under the United States.This section shall not prevent any officer or member of the Armed Forces from exercising the right of suffrage in any district to which he may belong, if otherwise qualified according to the laws of the State of such district.(June 25, 1948, ch. 645, 62 Stat. 719; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §§56–59 (Mar. 4, 1909, ch. 321, §§23–26, 35 Stat. 1092, 1093).Four sections were consolidated with only such changes of phraseology as were necessary to effect the consolidation.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"" in sixth par.","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"" in sixth par."
594. Intimidation of voters,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section594&num=0&edition=prelim,"Whoever intimidates, threatens, coerces, or attempts to intimidate, threaten, or coerce, any other person for the purpose of interfering with the right of such other person to vote or to vote as he may choose, or of causing such other person to vote for, or not to vote for, any candidate for the office of President, Vice President, Presidential elector, Member of the Senate, Member of the House of Representatives, Delegate from the District of Columbia, or Resident Commissioner, at any election held solely or in part for the purpose of electing such candidate, shall be fined under this title or imprisoned not more than one year, or both.(June 25, 1948, ch. 645, 62 Stat. 720; Pub. L. 91–405, title II, §204(d)(5), Sept. 22, 1970, 84 Stat. 853; Pub. L. 103–322, title XXXIII, §330016(1)(H), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §§61, 61g (Aug. 2, 1939, 11:50 a.m. E.S.T., ch. 410, §§1, 8, 53 Stat. 1147, 1148).This section consolidates sections 61 and 61g of title 18, U.S.C., 1940 ed., with changes in phraseology only.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $1,000"".1970-Pub. L. 91–405 substituted ""Delegate from the District of Columbia, or Resident Commissioner"" for ""Delegates or Commissioners from the Territories and possessions"".Statutory Notes and Related SubsidiariesEffective Date of 1970 AmendmentAmendment by Pub. L. 91–405 effective Sept. 22, 1970, see section 206(b) of Pub. L. 91–405, set out as an Effective Date note under section 25a of Title 2, The Congress.","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $1,000"".1970-Pub. L. 91–405 substituted ""Delegate from the District of Columbia, or Resident Commissioner"" for ""Delegates or Commissioners from the Territories and possessions"".Statutory Notes and Related SubsidiariesEffective Date of 1970 AmendmentAmendment by Pub. L. 91–405 effective Sept. 22, 1970, see section 206(b) of Pub. L. 91–405, set out as an Effective Date note under section 25a of Title 2, The Congress."
"595. Interference by administrative employees of Federal, State, or Territorial Governments",https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section595&num=0&edition=prelim,"Whoever, being a person employed in any administrative position by the United States, or by any department or agency thereof, or by the District of Columbia or any agency or instrumentality thereof, or by any State, Territory, or Possession of the United States, or any political subdivision, municipality, or agency thereof, or agency of such political subdivision or municipality (including any corporation owned or controlled by any State, Territory, or Possession of the United States or by any such political subdivision, municipality, or agency), in connection with any activity which is financed in whole or in part by loans or grants made by the United States, or any department or agency thereof, uses his official authority for the purpose of interfering with, or affecting, the nomination or the election of any candidate for the office of President, Vice President, Presidential elector, Member of the Senate, Member of the House of Representatives, Delegate from the District of Columbia, or Resident Commissioner, shall be fined under this title or imprisoned not more than one year, or both.This section shall not prohibit or make unlawful any act by any officer or employee of any educational or research institution, establishment, agency, or system which is supported in whole or in part by any state or political subdivision thereof, or by the District of Columbia or by any Territory or Possession of the United States; or by any recognized religious, philanthropic or cultural organization.(June 25, 1948, ch. 645, 62 Stat. 720; Pub. L. 91–405, title II, §204(d)(6), Sept. 22, 1970, 84 Stat. 853; Pub. L. 103–322, title XXXIII, §330016(1)(H), (L), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §§61a, 61g, 61n, 61s, 61u (Aug. 2, 1939, 11:50 a.m., E.S.T., ch. 410, §§2, 8, 53 Stat. 1147, 1148; July 19, 1940, ch. 640, §1, 54 Stat. 767; Aug. 2, 1939, ch. 410, §§14, 19, as added July 19, 1940, ch. 640, §4, 54 Stat. 767; Aug. 2, 1939, ch. 410, §21, as added Oct. 24, 1942, ch. 620, 56 Stat. 986).This section consolidates sections 61s, 61n, and 61g with 61a, all of title 18, U.S.C., 1940 ed., in first paragraph, and incorporates section 61u as second paragraph.Words ""or agency thereof"" and words ""or any department or agency thereof"" were inserted to remove any possible ambiguity as to scope of section. (See definitions of department and agency in section 6 of this title.)Words ""or by the District of Columbia or any agency or instrumentality thereof"" were inserted upon authority of section 61n of title 18, U.S.C., 1940 ed., which provided that for the purposes of this section, ""persons employed in the government of the District of Columbia shall be deemed to be employed in the executive branch of the Government of the United States.""After ""State"" the words ""Territory, or Possession of the United States"" were inserted in two places upon authority of section 61s of title 18, U.S.C., 1940 ed., which defined ""State,"" as used in this section, as ""any State, Territory, or possession of the United States.""The punishment provision was derived from section 61g of title 18, U.S.C., 1940 ed., which, by reference, made this punishment applicable to this section.The second paragraph was derived from section 61u of title 18, U.S.C., 1940 ed., which made its provisions applicable to this section by reference.Changes were made in phraseology.Editorial NotesAmendments1994-Pub. L. 103–322, §330016(1)(L), which directed the amendment of this section by substituting ""under this title"" for ""not more than $10,000"", could not be executed because the phrase ""not more than $10,000"" does not appear in text.Pub. L. 103–322, §330016(1)(H), substituted ""fined under this title"" for ""fined not more than $1,000"" in first par.1970-Pub. L. 91–405 substituted reference to Delegate from District of Columbia or Resident Commissioner for Delegate or Resident Commissioner from any Territory or Possession.Statutory Notes and Related SubsidiariesEffective Date of 1970 AmendmentAmendment by Pub. L. 91–405 effective Sept. 22, 1970, see section 206(b) of Pub. L. 91–405, set out as an Effective Date note under section 25a of Title 2, The Congress.","Amendments1994-Pub. L. 103–322, §330016(1)(L), which directed the amendment of this section by substituting ""under this title"" for ""not more than $10,000"", could not be executed because the phrase ""not more than $10,000"" does not appear in text.Pub. L. 103–322, §330016(1)(H), substituted ""fined under this title"" for ""fined not more than $1,000"" in first par.1970-Pub. L. 91–405 substituted reference to Delegate from District of Columbia or Resident Commissioner for Delegate or Resident Commissioner from any Territory or Possession.Statutory Notes and Related SubsidiariesEffective Date of 1970 AmendmentAmendment by Pub. L. 91–405 effective Sept. 22, 1970, see section 206(b) of Pub. L. 91–405, set out as an Effective Date note under section 25a of Title 2, The Congress."
596. Polling armed forces,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section596&num=0&edition=prelim,"Whoever, within or without the Armed Forces of the United States, polls any member of such forces, either within or without the United States, either before or after he executes any ballot under any Federal or State law, with reference to his choice of or his vote for any candidate, or states, publishes, or releases any result of any purported poll taken from or among the members of the Armed Forces of the United States or including within it the statement of choice for such candidate or of such votes cast by any member of the Armed Forces of the United States, shall be fined under this title or imprisoned for not more than one year, or both.The word ""poll"" means any request for information, verbal or written, which by its language or form of expression requires or implies the necessity of an answer, where the request is made with the intent of compiling the result of the answers obtained, either for the personal use of the person making the request, or for the purpose of reporting the same to any other person, persons, political party, unincorporated association or corporation, or for the purpose of publishing the same orally, by radio, or in written or printed form.(June 25, 1948, ch. 645, 62 Stat. 720; Pub. L. 103–322, title XXXIII, §330016(1)(H), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on section 344 of title 50, U.S.C., 1940 ed., War and National Defense (Sept. 16, 1942, ch. 561, title III, §314, as added Apr. 1, 1944, ch. 150, 58 Stat. 146).Changes in phraseology were made.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $1,000"" in first par.","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $1,000"" in first par."
597. Expenditures to influence voting,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section597&num=0&edition=prelim,"Whoever makes or offers to make an expenditure to any person, either to vote or withhold his vote, or to vote for or against any candidate; andWhoever solicits, accepts, or receives any such expenditure in consideration of his vote or the withholding of his vote-Shall be fined under this title or imprisoned not more than one year, or both; and if the violation was willful, shall be fined under this title or imprisoned not more than two years, or both.(June 25, 1948, ch. 645, 62 Stat. 721; Pub. L. 103–322, title XXXIII, §330016(1)(H), Sept. 13, 1994, 108 Stat. 2147; Pub. L. 104–294, title VI, §601(a)(12), Oct. 11, 1996, 110 Stat. 3498.)Historical and Revision NotesBased on sections 250, 252, of title 2, U.S.C., 1940 ed., The Congress (Feb. 28, 1925, ch. 368, title III, §§311, 314, 43 Stat. 1073, 1074).This section consolidates the provisions of sections 250 and 252 of title 2, U.S.C., 1940 ed., The Congress.Reference to persons causing or procuring was omitted as unnecessary in view of definition of ""principal"" in section 2 of this title.The punishment provisions of section 252 of title 2, U.S.C., 1940 ed., The Congress, were incorporated at end of section upon authority of reference in such section making them applicable to this section.Words ""or both"" were added to conform to the almost universal formula of the punishment provisions of this title.Changes were made in phraseology.Editorial NotesAmendments1996-Pub. L. 104–294 substituted ""shall be fined under this title"" for ""shall be fined not more than $10,000"" in last par.1994-Pub. L. 103–322 substituted ""shall be fined under this title"" for ""shall be fined not more than $1,000"" in last par.","Amendments1996-Pub. L. 104–294 substituted ""shall be fined under this title"" for ""shall be fined not more than $10,000"" in last par.1994-Pub. L. 103–322 substituted ""shall be fined under this title"" for ""shall be fined not more than $1,000"" in last par."
598. Coercion by means of relief appropriations,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section598&num=0&edition=prelim,"Whoever uses any part of any appropriation made by Congress for work relief, relief, or for increasing employment by providing loans and grants for public-works projects, or exercises or administers any authority conferred by any Appropriation Act for the purpose of interfering with, restraining, or coercing any individual in the exercise of his right to vote at any election, shall be fined under this title or imprisoned not more than one year, or both.(June 25, 1948, ch. 645, 62 Stat. 721; Pub. L. 103–322, title XXXIII, §330016(1)(H), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §§61f, 61g (Aug. 2, 1939, 11:50 a.m., E.S.T., ch. 410. §§7, 8, 53 Stat. 1148).This section consolidates sections 61f and 61g of title 18, U.S.C., 1940 ed., with changes of phraseology necessary to effect consolidation.The punishment provision was derived from section 61g of title 18, U.S.C., 1940 ed., which, by reference, was made applicable to this section.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $1,000"".","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $1,000""."
599. Promise of appointment by candidate,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section599&num=0&edition=prelim,"Whoever, being a candidate, directly or indirectly promises or pledges the appointment, or the use of his influence or support for the appointment of any person to any public or private position or employment, for the purpose of procuring support in his candidacy shall be fined under this title or imprisoned not more than one year, or both; and if the violation was willful, shall be fined under this title or imprisoned not more than two years, or both.(June 25, 1948, ch. 645, 62 Stat. 721; Pub. L. 103–322, title XXXIII, §330016(1)(H), (L), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on sections 249, 252, of title 2, U.S.C., 1940 ed., The Congress (Feb. 28, 1925, ch. 368, title III, §§310, 314, 43 Stat. 1073, 1074).This section consolidates the provisions of sections 249 and 252 of title 2, U.S.C., 1940 ed., The Congress, with changes in arrangement and phraseology necessary to effect consolidation.Words ""or both"" were added to conform to the almost universal formula of the punishment provisions of this title.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $1,000"" after ""candidacy shall be"" and for ""fined not more than $10,000"" after ""willful, shall be"".","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $1,000"" after ""candidacy shall be"" and for ""fined not more than $10,000"" after ""willful, shall be""."
