Section,Url,Content,Metadata
45. —Front Matter,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-chapter45-front&num=0&edition=prelim,"18 USC Ch. 45: Front Matter            Result 1 of 1                                      Current2018 Ed. and Supplement V (1/3/2024)2018 Ed. and Supplement IV (1/5/2023)2018 Ed. and Supplement III (1/3/2022)2018 Ed. and Supplement II (1/13/2021)2018 Ed. and Supplement I (1/24/2020)2018 Main Ed. (1/14/2019)2012 Ed. and Supplement V (1/12/2018)2012 Ed. and Supplement IV (1/6/2017)2012 Ed. and Supplement III (1/3/2016)2012 Ed. and Supplement II (1/5/2015)2012 Ed. and Supplement I (1/16/2014)2012 Main Ed. (1/15/2013)2006 Ed. and Supplement V (1/3/2012)2006 Ed. and Supplement IV (1/7/2011)2006 Ed. and Supplement III (2/1/2010)2006 Ed. and Supplement II (1/5/2009)2006 Ed. and Supplement I (1/8/2008)2006 Main Ed. (1/3/2007)2000 Ed. and Supplement V (1/2/2006)2000 Ed. and Supplement IV (1/3/2005)2000 Ed. and Supplement III (1/19/2004)2000 Ed. and Supplement II (1/6/2003)2000 Ed. and Supplement I (1/22/2002)2000 Main Ed. (1/2/2001)1994 Ed. and Supplement V (1/23/2000)1994 Ed. and Supplement IV (1/5/1999)1994 Ed. and Supplement III (1/26/1998)1994 Ed. and Supplement II (1/6/1997)1994 Ed. and Supplement I (1/16/1996)1994 Main Ed. (1/4/1995)                         Back to Original Document << Previous                                 TITLE 18 / PART I / CHAPTER 45 / Front Matter                                 Next >>[Print]                                  [Print selection][OLRC Home]Help 18 USC Ch. 45: Front MatterFrom Title 18-CRIMES AND CRIMINAL PROCEDUREPART I-CRIMESCHAPTER 45-FOREIGN RELATIONSJump To: MiscellaneousAmendmentsCHAPTER 45-FOREIGN RELATIONSSec.951.Agents of foreign governments.952.Diplomatic codes and correspondence.953.Private correspondence with foreign governments.954.False statements influencing foreign government.955.Financial transactions with foreign governments.956.Conspiracy to kill, kidnap, maim, or injure persons or damage property in a foreign country.957.Possession of property in aid of foreign government.958.Commission to serve against friendly nation.959.Enlistment in foreign service.960.Expedition against friendly nation.961.Strengthening armed vessel of foreign nation.962.Arming vessel against friendly nation.963.Detention of armed vessel.964.Delivering armed vessel to belligerent nation.965.Verified statements as prerequisite to vessel's departure.966.Departure of vessel forbidden for false statements.967.Departure of vessel forbidden in aid of neutrality.[968, 969.Repealed.]970.Protection of property occupied by foreign governments.        Editorial NotesAmendments1996-Pub. L. 104–132, title VII, §704(b), Apr. 24, 1996, 110 Stat. 1295, substituted ""Conspiracy to kill, kidnap, maim, or injure persons or damage property in a foreign country"" for ""Conspiracy to injure property of foreign government"" in item 956.1990-Pub. L. 101–647, title XII, §1207(a), title XXXV, §3530, Nov. 29, 1990, 104 Stat. 4832, 4924, struck out item 968 ""Exportation of war materials to certain countries"" and item 969 ""Exportation of arms, liquors and narcotics to Pacific Islands"".1972-Pub. L. 92–539, title IV, §402, Oct. 24, 1972, 86 Stat. 1073, added item 970.","Amendments1996-Pub. L. 104–132, title VII, §704(b), Apr. 24, 1996, 110 Stat. 1295, substituted ""Conspiracy to kill, kidnap, maim, or injure persons or damage property in a foreign country"" for ""Conspiracy to injure property of foreign government"" in item 956.1990-Pub. L. 101–647, title XII, §1207(a), title XXXV, §3530, Nov. 29, 1990, 104 Stat. 4832, 4924, struck out item 968 ""Exportation of war materials to certain countries"" and item 969 ""Exportation of arms, liquors and narcotics to Pacific Islands"".1972-Pub. L. 92–539, title IV, §402, Oct. 24, 1972, 86 Stat. 1073, added item 970."
951. Agents of foreign governments,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section951&num=0&edition=prelim,"(a) Whoever, other than a diplomatic or consular officer or attaché, acts in the United States as an agent of a foreign government without prior notification to the Attorney General if required in subsection (b), shall be fined under this title or imprisoned not more than ten years, or both.(b) The Attorney General shall promulgate rules and regulations establishing requirements for notification.(c) The Attorney General shall, upon receipt, promptly transmit one copy of each notification statement filed under this section to the Secretary of State for such comment and use as the Secretary of State may determine to be appropriate from the point of view of the foreign relations of the United States. Failure of the Attorney General to do so shall not be a bar to prosecution under this section.(d) For purposes of this section, the term ""agent of a foreign government"" means an individual who agrees to operate within the United States subject to the direction or control of a foreign government or official, except that such term does not include-(1) a duly accredited diplomatic or consular officer of a foreign government, who is so recognized by the Department of State;(2) any officially and publicly acknowledged and sponsored official or representative of a foreign government;(3) any officially and publicly acknowledged and sponsored member of the staff of, or employee of, an officer, official, or representative described in paragraph (1) or (2), who is not a United States citizen; or(4) any person engaged in a legal commercial transaction.(e) Notwithstanding paragraph (d)(4), any person engaged in a legal commercial transaction shall be considered to be an agent of a foreign government for purposes of this section if-(1) such person agrees to operate within the United States subject to the direction or control of a foreign government or official; and(2) such person-(A) is an agent of Cuba or any other country that the President determines (and so reports to the Congress) poses a threat to the national security interest of the United States for purposes of this section, unless the Attorney General, after consultation with the Secretary of State, determines and so reports to the Congress that the national security or foreign policy interests of the United States require that the provisions of this section do not apply in specific circumstances to agents of such country; or(B) has been convicted of, or has entered a plea of nolo contendere with respect to, any offense under section 792 through 799, 831, or 2381 of this title or under section 11 1 of the Export Administration Act of 1979, except that the provisions of this subsection shall not apply to a person described in this clause for a period of more than five years beginning on the date of the conviction or the date of entry of the plea of nolo contendere, as the case may be.(June 25, 1948, ch. 645, 62 Stat. 743; Pub. L. 97–462, §6, Jan. 12, 1983, 96 Stat. 2530; Pub. L. 98–473, title II, §1209, Oct. 12, 1984, 98 Stat. 2164; Pub. L. 99–569, title VII, §703, Oct. 27, 1986, 100 Stat. 3205; Pub. L. 103–199, title II, §202, Dec. 17, 1993, 107 Stat. 2321; Pub. L. 103–322, title XXXIII, §330016(1)(R), Sept. 13, 1994, 108 Stat. 2148.)Historical and Revision NotesBased on section 601 of title 22, U.S.C., 1940 ed., Foreign Relations and Intercourse (June 15, 1917, ch. 30, title VIII, §3, 40 Stat. 226; Mar. 28, 1940, ch. 72, §6, 54 Stat. 80).Mandatory punishment provision was rephrased in the alternative.Minor changes in phraseology were made.Editorial NotesReferences in TextSection 11 of the Export Administration Act of 1979, referred to in subsec. (e)(2)(B), was classified to section 4610 of Title 50, War and National Defense, prior to repeal by Pub. L. 115–232, div. A, title XVII, §1766(a), Aug. 13, 2018, 132 Stat. 2232. Provisions relating to penalties are covered generally in section 4819 of Title 50, as enacted by Pub. L. 115–232.Amendments1994-Subsec. (a). Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $75,000"".1993-Subsec. (e)(2)(A). Pub. L. 103–199 substituted ""Cuba or any other country that the President determines (and so reports to the Congress) poses a threat to the national security interest of the United States for purposes of this section"" for ""the Soviet Union, the German Democratic Republic, Hungary, Czechoslovakia, Poland, Bulgaria, Romania, or Cuba"".1986-Subsec. (e). Pub. L. 99–569 added subsec. (e).1984-Pub. L. 98–473 designated existing provisions as subsec. (a), substituted ""Attorney General if required in subsection (b)"" for ""Secretary of State"", and added subsecs. (b) to (d).1983-Pub. L. 97–462 increased limitation on fines to $75,000 from $5,000.Statutory Notes and Related SubsidiariesEffective Date of 1983 AmendmentAmendment by Pub. L. 97–462 effective 45 days after Jan. 12, 1983, see section 4 of Pub. L. 97–462, set out as a note under section 2071 of Title 28, Judiciary and Judicial Procedure.1 See References in Text note below.","References in TextSection 11 of the Export Administration Act of 1979, referred to in subsec. (e)(2)(B), was classified to section 4610 of Title 50, War and National Defense, prior to repeal by Pub. L. 115–232, div. A, title XVII, §1766(a), Aug. 13, 2018, 132 Stat. 2232. Provisions relating to penalties are covered generally in section 4819 of Title 50, as enacted by Pub. L. 115–232.Amendments1994-Subsec. (a). Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $75,000"".1993-Subsec. (e)(2)(A). Pub. L. 103–199 substituted ""Cuba or any other country that the President determines (and so reports to the Congress) poses a threat to the national security interest of the United States for purposes of this section"" for ""the Soviet Union, the German Democratic Republic, Hungary, Czechoslovakia, Poland, Bulgaria, Romania, or Cuba"".1986-Subsec. (e). Pub. L. 99–569 added subsec. (e).1984-Pub. L. 98–473 designated existing provisions as subsec. (a), substituted ""Attorney General if required in subsection (b)"" for ""Secretary of State"", and added subsecs. (b) to (d).1983-Pub. L. 97–462 increased limitation on fines to $75,000 from $5,000.Statutory Notes and Related SubsidiariesEffective Date of 1983 AmendmentAmendment by Pub. L. 97–462 effective 45 days after Jan. 12, 1983, see section 4 of Pub. L. 97–462, set out as a note under section 2071 of Title 28, Judiciary and Judicial Procedure.1 See References in Text note below."
952. Diplomatic codes and correspondence,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section952&num=0&edition=prelim,"Whoever, by virtue of his employment by the United States, obtains from another or has or has had custody of or access to, any official diplomatic code or any matter prepared in any such code, or which purports to have been prepared in any such code, and without authorization or competent authority, willfully publishes or furnishes to another any such code or matter, or any matter which was obtained while in the process of transmission between any foreign government and its diplomatic mission in the United States, shall be fined under this title or imprisoned not more than ten years, or both.(June 25, 1948, ch. 645, 62 Stat. 743; Pub. L. 103–322, title XXXIII, §330016(1)(L), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on section 135 of title 22, U.S.C., 1940 ed., Foreign Relations and Intercourse (June 10, 1933, ch. 57, 48 Stat. 122).Minor changes of phraseology were made.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $10,000"".","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $10,000""."
953. Private correspondence with foreign governments,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section953&num=0&edition=prelim,"Any citizen of the United States, wherever he may be, who, without authority of the United States, directly or indirectly commences or carries on any correspondence or intercourse with any foreign government or any officer or agent thereof, with intent to influence the measures or conduct of any foreign government or of any officer or agent thereof, in relation to any disputes or controversies with the United States, or to defeat the measures of the United States, shall be fined under this title or imprisoned not more than three years, or both.This section shall not abridge the right of a citizen to apply, himself or his agent, to any foreign government or the agents thereof for redress of any injury which he may have sustained from such government or any of its agents or subjects.(June 25, 1948, ch. 645, 62 Stat. 744; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §5 (Mar. 4, 1909, ch. 321, §5, 35 Stat. 1088; Apr. 22, 1932, ch. 126, 47 Stat. 132).The reference to any citizen or resident within the jurisdiction of the United States not duly authorized ""who counsels, advises or assists in such correspondence with such intent"" was omitted as unnecessary in view of definition of principal in section 2.Mandatory punishment provision was rephrased in the alternative.Minor changes of arrangement and in phraseology were made.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"" in first par.","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"" in first par."
954. False statements influencing foreign government,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section954&num=0&edition=prelim,"Whoever, in relation to any dispute or controversy between a foreign government and the United States, willfully and knowingly makes any untrue statement, either orally or in writing, under oath before any person authorized and empowered to administer oaths, which the affiant has knowledge or reason to believe will, or may be used to influence the measures or conduct of any foreign government, or of any officer or agent of any foreign government, to the injury of the United States, or with a view or intent to influence any measure of or action by the United States or any department or agency thereof, to the injury of the United States, shall be fined under this title or imprisoned not more than ten years, or both.(June 25, 1948, ch. 645, 62 Stat. 744; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on section 231 of title 22, U.S.C., 1940 ed., Foreign Relations and Intercourse (June 15, 1917, ch. 30, title VIII, §1, 40 Stat. 226; Mar. 28, 1940, ch. 72, §6, 54 Stat. 80).Mandatory punishment provision was rephrased in the alternative.Words ""department or agency"" were added to eliminate any possible ambiguity as to scope of section. (See definitive section 6 of this title.)Minor changes were made in phraseology.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000""."
955. Financial transactions with foreign governments,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section955&num=0&edition=prelim,"Whoever, within the United States, purchases or sells the bonds, securities, or other obligations of any foreign government or political subdivision thereof or any organization or association acting for or on behalf of a foreign government or political subdivision thereof, issued after April 13, 1934, or makes any loan to such foreign government, political subdivision, organization or association, except a renewal or adjustment of existing indebtedness, while such government, political subdivision, organization or association, is in default in the payment of its obligations, or any part thereof, to the United States, shall be fined under this title or imprisoned for not more than five years, or both.This section is applicable to individuals, partnerships, corporations, or associations other than public corporations created by or pursuant to special authorizations of Congress, or corporations in which the United States has or exercises a controlling interest through stock ownership or otherwise. While any foreign government is a member both of the International Monetary Fund and of the International Bank for Reconstruction and Development, this section shall not apply to the sale or purchase of bonds, securities, or other obligations of such government or any political subdivision thereof or of any organization or association acting for or on behalf of such government or political subdivision, or to making of any loan to such government, political subdivision, organization, or association.(June 25, 1948, ch. 645, 62 Stat. 744; Pub. L. 103–322, title XXXIII, §330016(1)(L), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on section 804a of title 31, U.S.C., 1940 ed., Money and Finance (Apr. 13, 1934, ch. 112, §§1, 2, 48 Stat. 574).Words ""within the United States"" were substituted for ""within the jurisdiction"" etc., in view of the definition of United States in section 5 of this title.Words ""upon conviction thereof"" were omitted from first paragraph as surplusage since punishment cannot be imposed until a conviction is secured.Minor changes were made in phraseology.Senate Revision AmendmentAn additional paragraph was added to the text of this section by Senate amendment, which was taken from section 804b of Title 31, U.S.C., Money and Finance. Therefore, as finally enacted, such section 804b and the Acts from which it was derived (Act Apr. 13, 1934, ch. 112, §3, as added July 31, 1945, ch. 339, §9, 59 Stat. 516), were an additional source of this section. See Senate Report No. 1620, amendment No. 9, 80th Cong.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $10,000"" in first par.Statutory Notes and Related SubsidiariesApplicability of SectionPub. L. 102–511, title IX, §902, Oct. 24, 1992, 106 Stat. 3355, provided that: ""Section 955 of title 18, United States Code, shall not apply with respect to any obligations of the former Soviet Union, or any of the independent states of the former Soviet Union, or any political subdivision, organization, or association thereof.""","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $10,000"" in first par.Statutory Notes and Related SubsidiariesApplicability of SectionPub. L. 102–511, title IX, §902, Oct. 24, 1992, 106 Stat. 3355, provided that: ""Section 955 of title 18, United States Code, shall not apply with respect to any obligations of the former Soviet Union, or any of the independent states of the former Soviet Union, or any political subdivision, organization, or association thereof."""
"956. Conspiracy to kill, kidnap, maim, or injure persons or damage property in a foreign country",https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section956&num=0&edition=prelim,"(a)(1) Whoever, within the jurisdiction of the United States, conspires with one or more other persons, regardless of where such other person or persons are located, to commit at any place outside the United States an act that would constitute the offense of murder, kidnapping, or maiming if committed in the special maritime and territorial jurisdiction of the United States shall, if any of the conspirators commits an act within the jurisdiction of the United States to effect any object of the conspiracy, be punished as provided in subsection (a)(2).(2) The punishment for an offense under subsection (a)(1) of this section is-(A) imprisonment for any term of years or for life if the offense is conspiracy to murder or kidnap; and(B) imprisonment for not more than 35 years if the offense is conspiracy to maim.(b) Whoever, within the jurisdiction of the United States, conspires with one or more persons, regardless of where such other person or persons are located, to damage or destroy specific property situated within a foreign country and belonging to a foreign government or to any political subdivision thereof with which the United States is at peace, or any railroad, canal, bridge, airport, airfield, or other public utility, public conveyance, or public structure, or any religious, educational, or cultural property so situated, shall, if any of the conspirators commits an act within the jurisdiction of the United States to effect any object of the conspiracy, be imprisoned not more than 25 years.(June 25, 1948, ch. 645, 62 Stat. 744; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147; Pub. L. 104–132, title VII, §704(a), Apr. 24, 1996, 110 Stat. 1294.)Historical and Revision NotesBased on section 234 of title 22, U.S.C., 1940 ed., Foreign Relations and Intercourse (June 15, 1917, ch. 30, title VIII, §5, 40 Stat. 226).Editorial NotesAmendments1996-Pub. L. 104–132 substituted ""Conspiracy to kill, kidnap, maim, or injure persons or damage property in a foreign country"" for ""Conspiracy to injure property of foreign government"" as section catchline and amended text generally. Prior to amendment, text read as follows:""(a) If two or more persons within the jurisdiction of the United States conspire to injure or destroy specific property situated within a foreign country and belonging to a foreign government or to any political subdivision thereof with which the United States is at peace, or any railroad, canal, bridge, or other public utility so situated, and if one or more such persons commits an act within the jurisdiction of the United States to effect the object of the conspiracy, each of the parties to the conspiracy shall be fined under this title or imprisoned not more than three years, or both.""(b) Any indictment or information under this section shall describe the specific property which it was the object of the conspiracy to injure or destroy.""1994-Subsec. (a). Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".","Amendments1996-Pub. L. 104–132 substituted ""Conspiracy to kill, kidnap, maim, or injure persons or damage property in a foreign country"" for ""Conspiracy to injure property of foreign government"" as section catchline and amended text generally. Prior to amendment, text read as follows:""(a) If two or more persons within the jurisdiction of the United States conspire to injure or destroy specific property situated within a foreign country and belonging to a foreign government or to any political subdivision thereof with which the United States is at peace, or any railroad, canal, bridge, or other public utility so situated, and if one or more such persons commits an act within the jurisdiction of the United States to effect the object of the conspiracy, each of the parties to the conspiracy shall be fined under this title or imprisoned not more than three years, or both.""(b) Any indictment or information under this section shall describe the specific property which it was the object of the conspiracy to injure or destroy.""1994-Subsec. (a). Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000""."
957. Possession of property in aid of foreign government,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section957&num=0&edition=prelim,"Whoever, in aid of any foreign government, knowingly and willfully possesses or controls any property or papers used or designed or intended for use in violating any penal statute, or any of the rights or obligations of the United States under any treaty or the law of nations, shall be fined under this title or imprisoned not more than ten years, or both.(June 25, 1948, ch. 645, 62 Stat. 745; Pub. L. 103–322, title XXXIII, §330016(1)(H), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed. §98 (June 15, 1917, ch. 30, title XI, §22, 40 Stat. 230; Mar. 28, 1940, ch. 72, §8, 54 Stat. 80).Definition of ""foreign government"" was omitted and is incorporated in section 11 of this title.Mandatory punishment provision was rephrased in the alternative.Minor changes were made in phraseology.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $1,000"".","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $1,000""."
958. Commission to serve against friendly nation,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section958&num=0&edition=prelim,"Any citizen of the United States who, within the jurisdiction thereof, accepts and exercises a commission to serve a foreign prince, state, colony, district, or people, in war, against any prince, state, colony, district, or people, with whom the United States is at peace, shall be fined under this title or imprisoned not more than three years, or both.(June 25, 1948, ch. 645, 62 Stat. 745; Pub. L. 103–322, title XXXIII, §330016(1)(I), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §21 (Mar. 4, 1909, ch. 321, §9, 35 Stat. 1089).Mandatory punishment provision was rephrased in the alternative.Minor changes in phraseology were made.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $2,000"".","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $2,000""."
959. Enlistment in foreign service,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section959&num=0&edition=prelim,"(a) Whoever, within the United States, enlists or enters himself, or hires or retains another to enlist or enter himself, or to go beyond the jurisdiction of the United States with intent to be enlisted or entered in the service of any foreign prince, state, colony, district, or people as a soldier or as a marine or seaman on board any vessel of war, letter of marque, or privateer, shall be fined under this title or imprisoned not more than three years, or both.(b) This section shall not apply to citizens or subjects of any country engaged in war with a country with which the United States is at war, unless such citizen or subject of such foreign country shall hire or solicit a citizen of the United States to enlist or go beyond the jurisdiction of the United States with intent to enlist or enter the service of a foreign country. Enlistments under this subsection shall be under regulations prescribed by the Secretary of the Army.(c) This section and sections 960 and 961 of this title shall not apply to any subject or citizen of any foreign prince, state, colony, district, or people who is transiently within the United States and enlists or enters himself on board any vessel of war, letter of marque, or privateer, which at the time of its arrival within the United States was fitted and equipped as such, or hires or retains another subject or citizen of the same foreign prince, state, colony, district, or people who is transiently within the United States to enlist or enter himself to serve such foreign prince, state, colony, district, or people on board such vessel of war, letter of marque, or privateer, if the United States shall then be at peace with such foreign prince, state, colony, district, or people.(June 25, 1948, ch. 645, 62 Stat. 745; Pub. L. 103–322, title XXXIII, §330016(1)(H), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §§22, 30 (Mar. 4, 1909, ch. 321, §§10, 18, 35 Stat. 1089, 1091; May 7, 1917, ch. 11, 40 Stat. 39).Section consolidates said sections of title 18, U.S.C., 1940 ed. Last sentence of section 30 of title 18, U.S.C., 1940 ed., relating to piracy and treason, was omitted as unnecessary.Words ""within the United States"" were substituted for ""within the jurisdiction"" etc., in view of the definition of United States in section 5 of this title.References in subsection (c) to sections 960 and 961 of this title are to the only other sections to which the subsection can apply.Mandatory punishment provision was rephrased in the alternative.Minor changes were made in phraseology.Editorial NotesAmendments1994-Subsec. (a). Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $1,000"".","Amendments1994-Subsec. (a). Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $1,000""."
