Section,Url,Content,Metadata
221. —Front Matter,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-chapter221-front&num=0&edition=prelim,"18 USC Ch. 221: Front Matter            Result 1 of 1                                      Current2018 Ed. and Supplement V (1/3/2024)2018 Ed. and Supplement IV (1/5/2023)2018 Ed. and Supplement III (1/3/2022)2018 Ed. and Supplement II (1/13/2021)2018 Ed. and Supplement I (1/24/2020)2018 Main Ed. (1/14/2019)2012 Ed. and Supplement V (1/12/2018)2012 Ed. and Supplement IV (1/6/2017)2012 Ed. and Supplement III (1/3/2016)2012 Ed. and Supplement II (1/5/2015)2012 Ed. and Supplement I (1/16/2014)2012 Main Ed. (1/15/2013)2006 Ed. and Supplement V (1/3/2012)2006 Ed. and Supplement IV (1/7/2011)2006 Ed. and Supplement III (2/1/2010)2006 Ed. and Supplement II (1/5/2009)2006 Ed. and Supplement I (1/8/2008)2006 Main Ed. (1/3/2007)2000 Ed. and Supplement V (1/2/2006)2000 Ed. and Supplement IV (1/3/2005)2000 Ed. and Supplement III (1/19/2004)2000 Ed. and Supplement II (1/6/2003)2000 Ed. and Supplement I (1/22/2002)2000 Main Ed. (1/2/2001)1994 Ed. and Supplement V (1/23/2000)1994 Ed. and Supplement IV (1/5/1999)1994 Ed. and Supplement III (1/26/1998)1994 Ed. and Supplement II (1/6/1997)1994 Ed. and Supplement I (1/16/1996)1994 Main Ed. (1/4/1995)                         Back to Original Document << Previous                                 TITLE 18 / PART II / CHAPTER 221 / Front Matter                                 Next >>[Print]                                  [Print selection][OLRC Home]Help 18 USC Ch. 221: Front MatterFrom Title 18-CRIMES AND CRIMINAL PROCEDUREPART II-CRIMINAL PROCEDURECHAPTER 221-ARRAIGNMENT, PLEAS AND TRIALCHAPTER 221-ARRAIGNMENT, PLEAS AND TRIALSec.3431.Term of court; power of court unaffected by expiration-Rule.3432.Indictment and list of jurors and witnesses for prisoner in capital cases.3433.Arraignment-Rule.3434.Presence of defendant-Rule.3435.Receiver of stolen property triable before or after principal.3436.Consolidation of indictments or informations-Rule.3437.Severance-Rule.3438.Pleas-Rule.3439.Demurrers and special pleas in bar or abatement abolished; relief on motion-Rule.3440.Defenses and objections determined on motion-Rule.3441.Jury; number of jurors; waiver-Rule.3442.Jurors, examination, peremptory challenges; alternates-Rule.3443.Instructions to jury-Rule.3444.Disability of judge-Rule.3445.Motion for judgment of acquittal-Rule.3446.New trial-Rule.",
3431. Term of court; power of court unaffected by expiration-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3431&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureExpiration of term without significance in criminal cases, Rule 45(c).(June 25, 1948, ch. 645, 62 Stat. 831.)Editorial NotesReferences in TextRule 45(c) of the Federal Rules of Criminal Procedure, referred to in text, was rescinded Feb. 28, 1966, eff. July 1, 1966.","References in TextRule 45(c) of the Federal Rules of Criminal Procedure, referred to in text, was rescinded Feb. 28, 1966, eff. July 1, 1966."
3432. Indictment and list of jurors and witnesses for prisoner in capital cases,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3432&num=0&edition=prelim,"A person charged with treason or other capital offense shall at least three entire days before commencement of trial, excluding intermediate weekends and holidays, be furnished with a copy of the indictment and a list of the veniremen, and of the witnesses to be produced on the trial for proving the indictment, stating the place of abode of each venireman and witness, except that such list of the veniremen and witnesses need not be furnished if the court finds by a preponderance of the evidence that providing the list may jeopardize the life or safety of any person.(June 25, 1948, ch. 645, 62 Stat. 831; Pub. L. 103–322, title VI, §60025, Sept. 13, 1994, 108 Stat. 1982; Pub. L. 111–16, §3(10), May 7, 2009, 123 Stat. 1608.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §562 (R.S. §1033).Words ""or other capital offense"" inserted after ""treason"" and ""jurors"" substituted for ""jury"". The concluding sentence ""When any person is indicted for any other capital offense, such copy of the indictment and list of the jurors and witnesses shall be delivered to him at least two entire days before the trial"" was omitted. The change made by the revisers, permitting an additional day's preparation for trial in homicide, kidnapping, rape, and other capital cases seemed not unreasonable.Words ""shall be delivered to him"", at end of section, were omitted as unnecessary.Rule 10 of the Federal Rules of Criminal Procedure requires that the defendant in every case be given a copy of the indictment or information before he is called upon to plead. Thus there is no conflict between the rule and the revised section.Minor changes in phraseology were made.Editorial NotesAmendments2009-Pub. L. 111–16 inserted "", excluding intermediate weekends and holidays,"" after ""commencement of trial"".1994-Pub. L. 103–322 inserted before period at end "", except that such list of the veniremen and witnesses need not be furnished if the court finds by a preponderance of the evidence that providing the list may jeopardize the life or safety of any person"".Statutory Notes and Related SubsidiariesEffective Date of 2009 AmendmentAmendment by Pub. L. 111–16 effective Dec. 1, 2009, see section 7 of Pub. L. 111–16, set out as a note under section 109 of Title 11, Bankruptcy.","Amendments2009-Pub. L. 111–16 inserted "", excluding intermediate weekends and holidays,"" after ""commencement of trial"".1994-Pub. L. 103–322 inserted before period at end "", except that such list of the veniremen and witnesses need not be furnished if the court finds by a preponderance of the evidence that providing the list may jeopardize the life or safety of any person"".Statutory Notes and Related SubsidiariesEffective Date of 2009 AmendmentAmendment by Pub. L. 111–16 effective Dec. 1, 2009, see section 7 of Pub. L. 111–16, set out as a note under section 109 of Title 11, Bankruptcy."
3433. Arraignment-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3433&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureReading and furnishing copy of indictment to accused, Rule 10.(June 25, 1948, ch. 645, 62 Stat. 831.)",
3434. Presence of defendant-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3434&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureRight of defendant to be present generally; corporation; waiver, Rule 43.(June 25, 1948, ch. 645, 62 Stat. 831.)",
3435. Receiver of stolen property triable before or after principal,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3435&num=0&edition=prelim,"A person charged with receiving or concealing stolen property may be tried either before or after the trial of the principal offender.(June 25, 1948, ch. 645, 62 Stat. 831.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §§101, 467 (Mar. 4, 1909, ch. 321, §§48, 288, 35 Stat. 1098, 1145).Other provisions of sections 101 and 467 of title 18, U.S.C., 1940 ed., were incorporated in sections 641 and 662 of this title.Necessary changes were made in phraseology.","Based on title 18, U.S.C., 1940 ed., §§101, 467 (Mar. 4, 1909, ch. 321, §§48, 288, 35 Stat. 1098, 1145).Other provisions of sections 101 and 467 of title 18, U.S.C., 1940 ed., were incorporated in sections 641 and 662 of this title.Necessary changes were made in phraseology."
3436. Consolidation of indictments or informations-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3436&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureTwo or more indictments or informations triable together, Rule 13.(June 25, 1948, ch. 645, 62 Stat. 832.)",
3437. Severance-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3437&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureRelief from prejudicial joinder of defendants or offenses, Rule 14.(June 25, 1948, ch. 645, 62 Stat. 832.)",
3438. Pleas-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3438&num=0&edition=prelim,"See Federal Rules of Criminal ProcedurePlea of guilty, not guilty, or nolo contendere; acceptance by court; refusal to plead; corporation failing to appear, Rule 11.Withdrawal of plea of guilty, Rule 32.(June 25, 1948, ch. 645, 62 Stat. 832.)",
3439. Demurrers and special pleas in bar or abatement abolished; relief on motion-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3439&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureMotion to dismiss or for appropriate relief substituted for demurrer or dilatory plea or motion to quash, Rule 12.(June 25, 1948, ch. 645, 62 Stat. 832.)",
