Section,Url,Content,Metadata
235. —Front Matter,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-chapter235-front&num=0&edition=prelim,"18 USC Ch. 235: Front Matter            Result 1 of 1                                      Current2018 Ed. and Supplement V (1/3/2024)2018 Ed. and Supplement IV (1/5/2023)2018 Ed. and Supplement III (1/3/2022)2018 Ed. and Supplement II (1/13/2021)2018 Ed. and Supplement I (1/24/2020)2018 Main Ed. (1/14/2019)2012 Ed. and Supplement V (1/12/2018)2012 Ed. and Supplement IV (1/6/2017)2012 Ed. and Supplement III (1/3/2016)2012 Ed. and Supplement II (1/5/2015)2012 Ed. and Supplement I (1/16/2014)2012 Main Ed. (1/15/2013)2006 Ed. and Supplement V (1/3/2012)2006 Ed. and Supplement IV (1/7/2011)2006 Ed. and Supplement III (2/1/2010)2006 Ed. and Supplement II (1/5/2009)2006 Ed. and Supplement I (1/8/2008)2006 Main Ed. (1/3/2007)2000 Ed. and Supplement V (1/2/2006)2000 Ed. and Supplement IV (1/3/2005)2000 Ed. and Supplement III (1/19/2004)2000 Ed. and Supplement II (1/6/2003)2000 Ed. and Supplement I (1/22/2002)2000 Main Ed. (1/2/2001)1994 Ed. and Supplement V (1/23/2000)1994 Ed. and Supplement IV (1/5/1999)1994 Ed. and Supplement III (1/26/1998)1994 Ed. and Supplement II (1/6/1997)1994 Ed. and Supplement I (1/16/1996)1994 Main Ed. (1/4/1995)                         Back to Original Document << Previous                                 TITLE 18 / PART II / CHAPTER 235 / Front Matter                                 Next >>[Print]                                  [Print selection][OLRC Home]Help 18 USC Ch. 235: Front MatterFrom Title 18-CRIMES AND CRIMINAL PROCEDUREPART II-CRIMINAL PROCEDURECHAPTER 235-APPEALJump To: MiscellaneousAmendmentsCHAPTER 235-APPEALSec.3731.Appeal by United States.3732.Taking of appeal; notice; time-Rule.3733.Assignment of errors-Rule.3734.Bill of exceptions abolished-Rule.3735.Bail on appeal or certiorari-Rule.3736.Certiorari-Rule.3737.Record-Rule.3738.Docketing appeal and record-Rule.3739.Supervision-Rule.3740.Argument-Rule.3741.Harmless error and plain error-Rule.3742.Review of a sentence.        Editorial NotesAmendments1984-Pub. L. 98–473, title II, §213(b), Oct. 12, 1984, 98 Stat. 2013, added item 3742.","Amendments1984-Pub. L. 98–473, title II, §213(b), Oct. 12, 1984, 98 Stat. 2013, added item 3742."
3731. Appeal by United States,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3731&num=0&edition=prelim,"In a criminal case an appeal by the United States shall lie to a court of appeals from a decision, judgment, or order of a district court dismissing an indictment or information or granting a new trial after verdict or judgment, as to any one or more counts, or any part thereof, except that no appeal shall lie where the double jeopardy clause of the United States Constitution prohibits further prosecution.An appeal by the United States shall lie to a court of appeals from a decision or order of a district court suppressing or excluding evidence or requiring the return of seized property in a criminal proceeding, not made after the defendant has been put in jeopardy and before the verdict or finding on an indictment or information, if the United States attorney certifies to the district court that the appeal is not taken for purpose of delay and that the evidence is a substantial proof of a fact material in the proceeding.An appeal by the United States shall lie to a court of appeals from a decision or order, entered by a district court of the United States, granting the release of a person charged with or convicted of an offense, or denying a motion for revocation of, or modification of the conditions of, a decision or order granting release.The appeal in all such cases shall be taken within thirty days after the decision, judgment or order has been rendered and shall be diligently prosecuted.The provisions of this section shall be liberally construed to effectuate its purposes.(June 25, 1948, ch. 645, 62 Stat. 844; May 24, 1949, ch. 139, §58, 63 Stat. 97; Pub. L. 90–351, title VIII, §1301, June 19, 1968, 82 Stat. 237; Pub. L. 91–644, title III, §14(a), Jan. 2, 1971, 84 Stat. 1890; Pub. L. 98–473, title II, §§205, 1206, Oct. 12, 1984, 98 Stat. 1986, 2153; Pub. L. 99–646, §32, Nov. 10, 1986, 100 Stat. 3598; Pub. L. 103–322, title XXXIII, §330008(4), Sept. 13, 1994, 108 Stat. 2142; Pub. L. 107–273, div. B, title III, §3004, Nov. 2, 2002, 116 Stat. 1805.)Historical and Revision Notes1948 ActBased on title 18, U.S.C., 1940 ed., §682 (Mar. 2, 1907, ch. 2564, 34 Stat. 1246; Mar. 3, 1911, ch. 231, §291, 36 Stat. 1167; Jan. 31, 1928, ch. 14, §1, 45 Stat. 54; May 9, 1942, ch. 295, §1, 56 Stat. 271).The word ""dismissing"" was substituted for ""sustaining a motion to dismiss"" in two places for conciseness and clarity, there being no difference in effect of a decision of dismissal whether made on motion or by the court sua sponte.Minor changes were made to conform to Rule 12 of the Federal Rules of Criminal Procedure. The final sentence authorizing promulgation of rules is omitted as redundant.1949 ActThis section [section 58] corrects a typographical error in the second paragraph of section 3731 of title 18, U.S.C., and conforms the language of the fifth, tenth, and eleventh paragraphs of such section 3731 with the changed nomenclature of title 28, U.S.C., Judiciary and Judicial Procedure. See sections 41, 43, and 451 of the latter title.Editorial NotesAmendments2002-First par. Pub. L. 107–273 inserted "", or any part thereof"" after ""as to any one or more counts"".1994-Second par. Pub. L. 103–322 substituted ""order of a district court"" for ""order of a district courts"".1986-Fifth par. Pub. L. 99–646 struck out fifth par. which read as follows: ""Pending the prosecution and determination of the appeal in the foregoing instances, the defendant shall be released in accordance with chapter 207 of this title.""1984-First par. Pub. L. 98–473, §1206, inserted ""or granting a new trial after verdict or judgment,"" after ""indictment or information"".Third par. Pub. L. 98–473, §205, inserted third par. relating to appeals from a decision or order, entered by a district court of the United States, granting the release of a person charged with or convicted of an offense, or denying a motion for revocation of, or modification of the conditions of, a decision or order granting release.1971-First par. Pub. L. 91–644, §14(a)(1), enacted provision for appeal to a court of appeals from decision, judgment, or order of district court dismissing an indictment or information as to any one or more counts, except that no appeal shall lie where double jeopardy prohibits further prosecution.Second par. Pub. L. 91–644, §14(a)(1), enacted provision for appeal to a court of appeals from decision or order of district court suppressing or excluding evidence or requiring the return of seized property in a criminal proceeding, not made after the defendant has been put in jeopardy and before the verdict or finding on an indictment or information, if the United States attorney certifies to the district court that the appeal is not taken for purpose of delay and that the evidence is a substantial proof of a fact material in the proceeding.Such first and second pars. superseded former first eight pars. Pars. one through four had provided for appeal from district courts to Supreme Court from decision or judgment setting aside, or dismissing any indictment or information, or any count thereof and from decision arresting judgment of conviction for insufficiency of indictment or information, where such decision or judgment was based upon invalidity or construction of the statute upon which the indictment or information was founded and for an appeal from decision or judgment sustaining a motion in bar, where defendant had not been put in jeopardy. Pars. five through eight provided for appeal from district courts to a court of appeals where there were no provisions for direct appeal to Supreme Court from decision or judgment setting aside, or dismissing any indictment or information, or any count thereof and from decision arresting a judgment of conviction, and from an order, granting a motion for return of seized property or a motion to suppress evidence, made before trial of a person charged with violation of a Federal law, if the United States attorney certified to the judge who granted the motion that the appeal was not taken for purpose of delay and that the evidence was a substantial proof of the charge pending against the defendant.Third par. Pub. L. 91–644, §14(a)(2), authorized within third par., formerly ninth, an appeal within thirty days after order has been rendered.Fourth par. Pub. L. 91–644, §14(a), in revising the provisions, had the effect of designating former tenth par. as fourth par.Fifth par. Pub. L. 91–644, §14(a)(3), substituted as a fifth par. provision for liberal construction of this section for prior eleventh par. provision respecting remand of case by Supreme Court to court of appeals that should have been taken to such court and treatment of the court's jurisdiction to hear and determine the case as if the appeal were so taken in the first instance and for prior twelfth par. provision respecting certification of case to Supreme Court that should have been taken directly to such Court and treatment of the Court's jurisdiction to hear and determine the case as if the appeal were taken directly to such Court.1968-Pub. L. 90–351 inserted eighth par. providing for an appeal by the United States from decisions sustaining motions to suppress evidence and substituted in tenth par. ""defendant shall be released in accordance with chapter 207 of this title"" for ""defendant shall be admitted to bail on his own recognizance"", respectively.1949-Act May 24, 1949, substituted ""invalidity"" for ""validity"" after ""upon the"" in second par., and conformed language of fifth, tenth, and eleventh pars. to the changed nomenclature of the courts.Statutory Notes and Related SubsidiariesSavings ProvisionPub. L. 91–644, title III, §14(b), Jan. 2, 1971, 84 Stat. 1890, provided that: ""The amendments made by this section [amending this section] shall not apply with respect to any criminal case begun in any district court before the effective date of this section [Jan. 2, 1971].""","Amendments2002-First par. Pub. L. 107–273 inserted "", or any part thereof"" after ""as to any one or more counts"".1994-Second par. Pub. L. 103–322 substituted ""order of a district court"" for ""order of a district courts"".1986-Fifth par. Pub. L. 99–646 struck out fifth par. which read as follows: ""Pending the prosecution and determination of the appeal in the foregoing instances, the defendant shall be released in accordance with chapter 207 of this title.""1984-First par. Pub. L. 98–473, §1206, inserted ""or granting a new trial after verdict or judgment,"" after ""indictment or information"".Third par. Pub. L. 98–473, §205, inserted third par. relating to appeals from a decision or order, entered by a district court of the United States, granting the release of a person charged with or convicted of an offense, or denying a motion for revocation of, or modification of the conditions of, a decision or order granting release.1971-First par. Pub. L. 91–644, §14(a)(1), enacted provision for appeal to a court of appeals from decision, judgment, or order of district court dismissing an indictment or information as to any one or more counts, except that no appeal shall lie where double jeopardy prohibits further prosecution.Second par. Pub. L. 91–644, §14(a)(1), enacted provision for appeal to a court of appeals from decision or order of district court suppressing or excluding evidence or requiring the return of seized property in a criminal proceeding, not made after the defendant has been put in jeopardy and before the verdict or finding on an indictment or information, if the United States attorney certifies to the district court that the appeal is not taken for purpose of delay and that the evidence is a substantial proof of a fact material in the proceeding.Such first and second pars. superseded former first eight pars. Pars. one through four had provided for appeal from district courts to Supreme Court from decision or judgment setting aside, or dismissing any indictment or information, or any count thereof and from decision arresting judgment of conviction for insufficiency of indictment or information, where such decision or judgment was based upon invalidity or construction of the statute upon which the indictment or information was founded and for an appeal from decision or judgment sustaining a motion in bar, where defendant had not been put in jeopardy. Pars. five through eight provided for appeal from district courts to a court of appeals where there were no provisions for direct appeal to Supreme Court from decision or judgment setting aside, or dismissing any indictment or information, or any count thereof and from decision arresting a judgment of conviction, and from an order, granting a motion for return of seized property or a motion to suppress evidence, made before trial of a person charged with violation of a Federal law, if the United States attorney certified to the judge who granted the motion that the appeal was not taken for purpose of delay and that the evidence was a substantial proof of the charge pending against the defendant.Third par. Pub. L. 91–644, §14(a)(2), authorized within third par., formerly ninth, an appeal within thirty days after order has been rendered.Fourth par. Pub. L. 91–644, §14(a), in revising the provisions, had the effect of designating former tenth par. as fourth par.Fifth par. Pub. L. 91–644, §14(a)(3), substituted as a fifth par. provision for liberal construction of this section for prior eleventh par. provision respecting remand of case by Supreme Court to court of appeals that should have been taken to such court and treatment of the court's jurisdiction to hear and determine the case as if the appeal were so taken in the first instance and for prior twelfth par. provision respecting certification of case to Supreme Court that should have been taken directly to such Court and treatment of the Court's jurisdiction to hear and determine the case as if the appeal were taken directly to such Court.1968-Pub. L. 90–351 inserted eighth par. providing for an appeal by the United States from decisions sustaining motions to suppress evidence and substituted in tenth par. ""defendant shall be released in accordance with chapter 207 of this title"" for ""defendant shall be admitted to bail on his own recognizance"", respectively.1949-Act May 24, 1949, substituted ""invalidity"" for ""validity"" after ""upon the"" in second par., and conformed language of fifth, tenth, and eleventh pars. to the changed nomenclature of the courts.Statutory Notes and Related SubsidiariesSavings ProvisionPub. L. 91–644, title III, §14(b), Jan. 2, 1971, 84 Stat. 1890, provided that: ""The amendments made by this section [amending this section] shall not apply with respect to any criminal case begun in any district court before the effective date of this section [Jan. 2, 1971]."""
3732. Taking of appeal; notice; time-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3732&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureTaking appeal; notice, contents, signing; time, Rule 37(a).(June 25, 1948, ch. 645, 62 Stat. 845.)Editorial NotesReferences in TextRule 37 of the Federal Rules of Criminal Procedure was abrogated Dec. 4, 1967, eff. July 1, 1968, and is covered by Rule 3, Federal Rules of Appellate Procedure, set out in the Appendix to Title 28, Judiciary and Judicial Procedure.","References in TextRule 37 of the Federal Rules of Criminal Procedure was abrogated Dec. 4, 1967, eff. July 1, 1968, and is covered by Rule 3, Federal Rules of Appellate Procedure, set out in the Appendix to Title 28, Judiciary and Judicial Procedure."
3733. Assignment of errors-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3733&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureAssignments of error on appeal abolished, Rule 37(a)(1).Necessity of specific objection in order to assign error in instructions, Rule 30.(June 25, 1948, ch. 645, 62 Stat. 845.)Editorial NotesReferences in TextRule 37 of the Federal Rules of Criminal Procedure was abrogated Dec. 4, 1947, eff. July 1, 1968, and is covered by Rule 3, Federal Rules of Appellate Procedure, set out in the Appendix to Title 28, Judiciary and Judicial Procedure.","References in TextRule 37 of the Federal Rules of Criminal Procedure was abrogated Dec. 4, 1947, eff. July 1, 1968, and is covered by Rule 3, Federal Rules of Appellate Procedure, set out in the Appendix to Title 28, Judiciary and Judicial Procedure."
3734. Bill of exceptions abolished-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3734&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureExceptions abolished, Rule 51.Bill of exceptions not required, Rule 37(a)(1).(June 25, 1948, ch. 645, 62 Stat. 845.)Editorial NotesReferences in TextRule 37 of the Federal Rules of Criminal Procedure was abrogated Dec. 4, 1967, eff. July 1, 1968, and is covered by Rule 3, Federal Rules of Appellate Procedure, set out in the Appendix to Title 28, Judiciary and Judicial Procedure.","References in TextRule 37 of the Federal Rules of Criminal Procedure was abrogated Dec. 4, 1967, eff. July 1, 1968, and is covered by Rule 3, Federal Rules of Appellate Procedure, set out in the Appendix to Title 28, Judiciary and Judicial Procedure."
3735. Bail on appeal or certiorari-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3735&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureBail on appeal or certiorari; application, Rules 38(c) and 46(a)(2).(June 25, 1948, ch. 645, 62 Stat. 845.)Editorial NotesReferences in TextRule 38(c) of the Federal Rules of Criminal Procedure was abrogated Dec. 4, 1967, eff. July 1, 1968, and is covered by rule 9, Federal Rules of Appellate Procedure, set out in the Appendix to Title 28, Judiciary and Judicial Procedure.Rule 46 was amended as part of the Bail Reform Act in 1966 and in 1972, and some provisions originally contained in Rule 46 are covered by this chapter, see Notes of Advisory Committee on Rules and Amendment notes under Rule 46, this Appendix.","References in TextRule 38(c) of the Federal Rules of Criminal Procedure was abrogated Dec. 4, 1967, eff. July 1, 1968, and is covered by rule 9, Federal Rules of Appellate Procedure, set out in the Appendix to Title 28, Judiciary and Judicial Procedure.Rule 46 was amended as part of the Bail Reform Act in 1966 and in 1972, and some provisions originally contained in Rule 46 are covered by this chapter, see Notes of Advisory Committee on Rules and Amendment notes under Rule 46, this Appendix."
3736. Certiorari-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3736&num=0&edition=prelim,"See Federal Rules of Criminal ProcedurePetition to Supreme Court, time, Rule 37(b).(June 25, 1948, ch. 645, 62 Stat. 845.)Editorial NotesReferences in TextRule 37 of the Federal Rules of Criminal Procedure was abrogated Dec. 4, 1967, eff. July 1, 1968. Provisions of such former rule for certiorari are covered by rule 19 et seq. of the Rules of the United States Supreme Court.","References in TextRule 37 of the Federal Rules of Criminal Procedure was abrogated Dec. 4, 1967, eff. July 1, 1968. Provisions of such former rule for certiorari are covered by rule 19 et seq. of the Rules of the United States Supreme Court."
3737. Record-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3737&num=0&edition=prelim,"See Federal Rules of Criminal ProcedurePreparation, form; typewritten record, Rule 39(b).Exceptions abolished, Rule 51.Bill of exceptions unnecessary, Rule 37(a)(1).(June 25, 1948, ch. 645, 62 Stat. 846.)Editorial NotesReferences in TextRules 37 and 39 of the Federal Rules of Criminal Procedure were abrogated Dec. 4, 1967, eff. July 1, 1968, and are covered by Rule 10, Federal Rules of Appellate Procedure, set out in the Appendix to Title 28, Judiciary and Judicial Procedure.","References in TextRules 37 and 39 of the Federal Rules of Criminal Procedure were abrogated Dec. 4, 1967, eff. July 1, 1968, and are covered by Rule 10, Federal Rules of Appellate Procedure, set out in the Appendix to Title 28, Judiciary and Judicial Procedure."
3738. Docketing appeal and record-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3738&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureFiling record on appeal and docketing proceeding; time, Rule 39(c).(June 25, 1948, ch. 645, 62 Stat. 846.)Editorial NotesReferences in TextRule 39 of the Federal Rules of Criminal Procedure was abrogated Dec. 4, 1967, eff. July 1, 1968, and is covered by Rules 10 to 12, Federal Rules of Appellate Procedure, set out in the Appendix to Title 28, Judiciary and Judicial Procedure.","References in TextRule 39 of the Federal Rules of Criminal Procedure was abrogated Dec. 4, 1967, eff. July 1, 1968, and is covered by Rules 10 to 12, Federal Rules of Appellate Procedure, set out in the Appendix to Title 28, Judiciary and Judicial Procedure."
3739. Supervision-(Rule),https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section3739&num=0&edition=prelim,"See Federal Rules of Criminal ProcedureControl and supervision in appellate court, Rule 39(a).(June 25, 1948, ch. 645, 62 Stat. 846.)Editorial NotesReferences in TextRule 39 of the Federal Rules of Criminal Procedure was abrogated Dec. 4, 1967, eff. July 1, 1968, and is covered by Rule 27, Federal Rules of Appellate Procedure, set out in the Appendix to Title 28, Judiciary and Judicial Procedure.","References in TextRule 39 of the Federal Rules of Criminal Procedure was abrogated Dec. 4, 1967, eff. July 1, 1968, and is covered by Rule 27, Federal Rules of Appellate Procedure, set out in the Appendix to Title 28, Judiciary and Judicial Procedure."
