Section,Url,Content,Metadata
27. —Front Matter,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-chapter27-front&num=0&edition=prelim,"18 USC Ch. 27: Front Matter            Result 1 of 1                                      Current2018 Ed. and Supplement V (1/3/2024)2018 Ed. and Supplement IV (1/5/2023)2018 Ed. and Supplement III (1/3/2022)2018 Ed. and Supplement II (1/13/2021)2018 Ed. and Supplement I (1/24/2020)2018 Main Ed. (1/14/2019)2012 Ed. and Supplement V (1/12/2018)2012 Ed. and Supplement IV (1/6/2017)2012 Ed. and Supplement III (1/3/2016)2012 Ed. and Supplement II (1/5/2015)2012 Ed. and Supplement I (1/16/2014)2012 Main Ed. (1/15/2013)2006 Ed. and Supplement V (1/3/2012)2006 Ed. and Supplement IV (1/7/2011)2006 Ed. and Supplement III (2/1/2010)2006 Ed. and Supplement II (1/5/2009)2006 Ed. and Supplement I (1/8/2008)2006 Main Ed. (1/3/2007)2000 Ed. and Supplement V (1/2/2006)2000 Ed. and Supplement IV (1/3/2005)2000 Ed. and Supplement III (1/19/2004)2000 Ed. and Supplement II (1/6/2003)2000 Ed. and Supplement I (1/22/2002)2000 Main Ed. (1/2/2001)1994 Ed. and Supplement V (1/23/2000)1994 Ed. and Supplement IV (1/5/1999)1994 Ed. and Supplement III (1/26/1998)1994 Ed. and Supplement II (1/6/1997)1994 Ed. and Supplement I (1/16/1996)1994 Main Ed. (1/4/1995)                         Back to Original Document << Previous                                 TITLE 18 / PART I / CHAPTER 27 / Front Matter                                 Next >>[Print]                                  [Print selection][OLRC Home]Help 18 USC Ch. 27: Front MatterFrom Title 18-CRIMES AND CRIMINAL PROCEDUREPART I-CRIMESCHAPTER 27-CUSTOMSJump To: MiscellaneousAmendmentsCHAPTER 27-CUSTOMSSec.541.Entry of goods falsely classified.542.Entry of goods by means of false statements.543.Entry of goods for less than legal duty.544.Relanding of goods.545.Smuggling goods into the United States.546.Smuggling goods into foreign countries.547.Depositing goods in buildings on boundaries.548.Removing or repacking goods in warehouses.549.Removing goods from customs custody; breaking seals.550.False claim for refund of duties.551.Concealing or destroying invoices or other papers.552.Officers aiding importation of obscene or treasonous books and articles.553.Importation or exportation of stolen motor vehicles, off-highway mobile equipment, vessels, or aircraft.554.Smuggling goods from the United States.555.Border tunnels and passages.        Editorial NotesAmendments2007-Pub. L. 110–161, div. E, title V, §553(a)(2), Dec. 26, 2007, 121 Stat. 2082, added item 555 and struck out item 554 ""Border tunnels and passages"".2006-Pub. L. 109–295, title V, §551(b), Oct. 4, 2006, 120 Stat. 1390, added item 554 ""Border tunnels and passages"".Pub. L. 109–177, title III, §311(b), Mar. 9, 2006, 120 Stat. 242, added item 554 ""Smuggling goods from the United States"".1984-Pub. L. 98–547, title III, §301(b), Oct. 25, 1984, 98 Stat. 2771, added item 553.","Amendments2007-Pub. L. 110–161, div. E, title V, §553(a)(2), Dec. 26, 2007, 121 Stat. 2082, added item 555 and struck out item 554 ""Border tunnels and passages"".2006-Pub. L. 109–295, title V, §551(b), Oct. 4, 2006, 120 Stat. 1390, added item 554 ""Border tunnels and passages"".Pub. L. 109–177, title III, §311(b), Mar. 9, 2006, 120 Stat. 242, added item 554 ""Smuggling goods from the United States"".1984-Pub. L. 98–547, title III, §301(b), Oct. 25, 1984, 98 Stat. 2771, added item 553."
541. Entry of goods falsely classified,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section541&num=0&edition=prelim,"Whoever knowingly effects any entry of goods, wares, or merchandise, at less than the true weight or measure thereof, or upon a false classification as to quality or value, or by the payment of less than the amount of duty legally due, shall be fined under this title or imprisoned not more than two years, or both.(June 25, 1948, ch. 645, 62 Stat. 715; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §126 (Mar. 4, 1909, ch. 321, §69, 35 Stat. 1101).Reference to persons aiding, contained in words ""or aid in effecting,"" was omitted as unnecessary as such persons are made principals by section 2 of this title.Changes were made in phraseology.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000""."
542. Entry of goods by means of false statements,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section542&num=0&edition=prelim,"Whoever enters or introduces, or attempts to enter or introduce, into the commerce of the United States any imported merchandise by means of any fraudulent or false invoice, declaration, affidavit, letter, paper, or by means of any false statement, written or verbal, or by means of any false or fraudulent practice or appliance, or makes any false statement in any declaration without reasonable cause to believe the truth of such statement, or procures the making of any such false statement as to any matter material thereto without reasonable cause to believe the truth of such statement, whether or not the United States shall or may be deprived of any lawful duties; orWhoever is guilty of any willful act or omission whereby the United States shall or may be deprived of any lawful duties accruing upon merchandise embraced or referred to in such invoice, declaration, affidavit, letter, paper, or statement, or affected by such act or omission-Shall be fined for each offense under this title or imprisoned not more than two years, or both.Nothing in this section shall be construed to relieve imported merchandise from forfeiture under other provisions of law.The term ""commerce of the United States"", as used in this section, shall not include commerce with the Virgin Islands, American Samoa, Wake Island, Midway Islands, Kingman Reef, Johnston Island, or Guam.(June 25, 1948, ch. 645, 62 Stat. 715; June 30, 1955, ch. 258, §2(c), 69 Stat. 242; Pub. L. 103–322, title XXXIII, §§330004(18), 330016(1)(K), Sept. 13, 1994, 108 Stat. 2142, 2147; Pub. L. 104–294, title VI, §604(b)(23), Oct. 11, 1996, 110 Stat. 3508.)Historical and Revision NotesBased on section 1591 of title 19, U.S.C., 1940 ed., Customs Duties (June 17, 1930, ch. 497, title IV, §591, 46 Stat. 750; Aug. 5, 1935, ch. 438, title III, §304(a), 49 Stat. 527).The reference in the first paragraph to persons aiding, contained in the phrase ""or aids,"" was omitted as unnecessary as such persons are made principals by section 2 of this title.Words ""upon conviction"" before ""be fined"" were omitted as surplusage since punishment cannot be imposed until conviction is secured.Enumeration of persons at beginning of section and provision preserving forfeitures where authorized by law were omitted as surplusage.The fourth paragraph was added to the revised section to make clear the intent of Congress that forfeiture is an additional consequence independent of the criminal punishment.The final paragraph was added to conform with section 1709 of title 19, U.S.C., 1940 ed.Changes in phraseology were also made.Editorial NotesAmendments1996-Pub. L. 104–294 amended Pub. L. 103–322, §330004(18). See 1994 Amendment note below.1994-Pub. L. 103–322, §330016(1)(K), substituted ""fined under this title"" for ""fined not more than $5,000"" in third par.Pub. L. 103–322, §330004(18), as amended by Pub. L. 104–294, §604(b)(23), struck out ""Philippine Islands,"" before ""Virgin Islands"" in last par.1955-Act June 30, 1955, inserted reference to Johnston Island in last par.Statutory Notes and Related SubsidiariesEffective Date of 1996 AmendmentAmendment by Pub. L. 104–294 effective Sept. 13, 1994, see section 604(d) of Pub. L. 104–294, set out as a note under section 13 of this title.Effective Date of 1955 AmendmentAmendment by act June 30, 1955, effective July 1, 1955, see section 2(d) of act June 30, 1955, set out as a note under section 1401 of Title 19, Customs Duties.","Amendments1996-Pub. L. 104–294 amended Pub. L. 103–322, §330004(18). See 1994 Amendment note below.1994-Pub. L. 103–322, §330016(1)(K), substituted ""fined under this title"" for ""fined not more than $5,000"" in third par.Pub. L. 103–322, §330004(18), as amended by Pub. L. 104–294, §604(b)(23), struck out ""Philippine Islands,"" before ""Virgin Islands"" in last par.1955-Act June 30, 1955, inserted reference to Johnston Island in last par.Statutory Notes and Related SubsidiariesEffective Date of 1996 AmendmentAmendment by Pub. L. 104–294 effective Sept. 13, 1994, see section 604(d) of Pub. L. 104–294, set out as a note under section 13 of this title.Effective Date of 1955 AmendmentAmendment by act June 30, 1955, effective July 1, 1955, see section 2(d) of act June 30, 1955, set out as a note under section 1401 of Title 19, Customs Duties."
543. Entry of goods for less than legal duty,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section543&num=0&edition=prelim,"Whoever, being an officer of the revenue, knowingly admits to entry, any goods, wares, or merchandise, upon payment of less than the amount of duty legally due, shall be fined under this title or imprisoned not more than two years, or both, and removed from office.(June 25, 1948, ch. 645, 62 Stat. 716; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §125 (Mar. 4, 1909, ch. 321, §68, 35 Stat. 1101).Reference to persons aiding, contained in words ""or aid in admitting,"" was omitted as unnecessary as such persons are made principals by section 2 of this title.Changes were made in phraseology.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000""."
544. Relanding of goods,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section544&num=0&edition=prelim,"If any merchandise entered or withdrawn for exportation without payment of the duties thereon, or with intent to obtain a drawback of the duties paid, or of any other allowances given by law on the exportation thereof, is relanded at any place in the United States without entry having been made, such merchandise shall be considered as having been imported into the United States contrary to law, and each person concerned shall be fined under this title or imprisoned not more than two years, or both; and such merchandise shall be forfeited.The term ""any place in the United States"", as used in this section, shall not include the Virgin Islands, American Samoa, Wake Island, Midway Islands, Kingman Reef, Johnston Island, or Guam.(June 25, 1948, ch. 645, 62 Stat. 716; June 30, 1955, ch. 258, §2(c), 69 Stat. 242; Pub. L. 103–322, title XXXIII, §§330004(18), 330016(1)(K), Sept. 13, 1994, 108 Stat. 2142, 2147; Pub. L. 104–294, title VI, §604(b)(23), Oct. 11, 1996, 110 Stat. 3508.)Historical and Revision NotesBased on section 1589 of title 19, U.S.C., 1940 ed., Customs Duties (June 17, 1930, ch. 497, title IV, §589, 46 Stat. 750).The final paragraph was added to conform with section 1709 of title 19, U.S.C., 1940 ed.Minor changes were made in phraseology.Editorial NotesAmendments1996-Pub. L. 104–294 amended Pub. L. 103–322, §330004(18). See 1994 Amendment note below.1994-Pub. L. 103–322, §330016(1)(K), substituted ""fined under this title"" for ""fined not more than $5,000"" in first par.Pub. L. 103–322, §330004(18), as amended by Pub. L. 104–294, §604(b)(23), struck out ""Philippine Islands,"" before ""Virgin Islands"" in last par.1955-Act June 30, 1955, inserted reference to Johnston Island in last par.Statutory Notes and Related SubsidiariesEffective Date of 1996 AmendmentAmendment by Pub. L. 104–294 effective Sept. 13, 1994, see section 604(d) of Pub. L. 104–294, set out as a note under section 13 of this title.Effective Date of 1955 AmendmentAmendment by act June 30, 1955, effective July 1, 1955, see section 2(d) of act June 30, 1955, set out as a note under section 1401 of Title 19, Customs Duties.","Amendments1996-Pub. L. 104–294 amended Pub. L. 103–322, §330004(18). See 1994 Amendment note below.1994-Pub. L. 103–322, §330016(1)(K), substituted ""fined under this title"" for ""fined not more than $5,000"" in first par.Pub. L. 103–322, §330004(18), as amended by Pub. L. 104–294, §604(b)(23), struck out ""Philippine Islands,"" before ""Virgin Islands"" in last par.1955-Act June 30, 1955, inserted reference to Johnston Island in last par.Statutory Notes and Related SubsidiariesEffective Date of 1996 AmendmentAmendment by Pub. L. 104–294 effective Sept. 13, 1994, see section 604(d) of Pub. L. 104–294, set out as a note under section 13 of this title.Effective Date of 1955 AmendmentAmendment by act June 30, 1955, effective July 1, 1955, see section 2(d) of act June 30, 1955, set out as a note under section 1401 of Title 19, Customs Duties."
545. Smuggling goods into the United States,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section545&num=0&edition=prelim,"Whoever knowingly and willfully, with intent to defraud the United States, smuggles, or clandestinely introduces or attempts to smuggle or clandestinely introduce into the United States any merchandise which should have been invoiced, or makes out or passes, or attempts to pass, through the customhouse any false, forged, or fraudulent invoice, or other document or paper; orWhoever fraudulently or knowingly imports or brings into the United States, any merchandise contrary to law, or receives, conceals, buys, sells, or in any manner facilitates the transportation, concealment, or sale of such merchandise after importation, knowing the same to have been imported or brought into the United States contrary to law-Shall be fined under this title or imprisoned not more than 20 years, or both.Proof of defendant's possession of such goods, unless explained to the satisfaction of the jury, shall be deemed evidence sufficient to authorize conviction for violation of this section.Merchandise introduced into the United States in violation of this section, or the value thereof, to be recovered from any person described in the first or second paragraph of this section, shall be forfeited to the United States.The term ""United States"", as used in this section, shall not include the Virgin Islands, American Samoa, Wake Island, Midway Islands, Kingman Reef, Johnston Island, or Guam.(June 25, 1948, ch. 645, 62 Stat. 716; Aug. 24, 1954, ch. 890, §1, 68 Stat. 782; Sept. 1, 1954, ch. 1213, title V, §507, 68 Stat. 1141; June 30, 1955, ch. 258, §2(c), 69 Stat. 242; Pub. L. 103–322, title XXXII, §320903(c), title XXXIII, §§330004(18), 330016(1)(L), Sept. 13, 1994, 108 Stat. 2125, 2142, 2147; Pub. L. 104–294, title VI, §604(b)(23), Oct. 11, 1996, 110 Stat. 3508; Pub. L. 109–177, title III, §310, Mar. 9, 2006, 120 Stat. 242.)Historical and Revision NotesBased on section 1593 of title 19, U.S.C., 1940 ed., Customs Duties (June 17, 1930, ch. 497, title IV, §593, 46 Stat. 751).Reference in first paragraph to aiders, contained in words ""his, her, or their aiders and abettors"" was omitted as unnecessary since such persons are made principals by section 2 of this title. For the same reason words ""or assists in so doing"" in second paragraph were deleted.Words ""shall be deemed guilty of a misdemeanor,"" in first paragraph were omitted in view of definition of misdemeanor in section 1 of this title.Conviction provision in first paragraph reading ""and on conviction thereof"" was deleted as surplusage since punishment cannot be imposed until a conviction is secured.Minimum punishment provision ""nor less than $50"" in second paragraph was deleted.Forfeiture provision was rephrased to make it clear that forfeiture was not dependent upon conviction.The final paragraph was added to conform with section 1709 of title 19, U.S.C., 1940 ed.Changes were made in phraseology.Editorial NotesAmendments2006-Pub. L. 109–177, which directed amendment of third par. by substituting ""20 years"" for ""5 years"", was executed by making the substitution for ""five years"", to reflect the probable intent of Congress.1996-Pub. L. 104–294 amended Pub. L. 103–322, §330004(18). See 1994 Amendment note below.1994-Pub. L. 103–322, §330016(1)(L), substituted ""fined under this title"" for ""fined not more than $10,000"" in third par.Pub. L. 103–322, §330004(18), as amended by Pub. L. 104–294, §604(b)(23), struck out ""Philippine Islands,"" before ""Virgin Islands"" in last par.Pub. L. 103–322, §320903(c), inserted ""or attempts to smuggle or clandestinely introduce"" after ""clandestinely introduces"" in first par.1955-Act June 30, 1955, inserted reference to Johnston Island.1954-Act Sept. 1, 1954, permitted forfeiture of value of merchandise imported in violation of section.Act Aug. 24, 1954, increased fine from $5,000 to $10,000 and imprisonment from two years to five years.Statutory Notes and Related SubsidiariesEffective Date of 1996 AmendmentAmendment by Pub. L. 104–294 effective Sept. 13, 1994, see section 604(d) of Pub. L. 104–294, set out as a note under section 13 of this title.Effective Date of 1955 AmendmentAmendment by act June 30, 1955, effective July 1, 1955, see section 2(d) of act June 30, 1955, set out as a note under section 1401 of Title 19, Customs Duties.Effective Date of 1954 AmendmentAct Aug. 24, 1954, ch. 890, §2, 68 Stat. 783, provided that: ""The amendments made by the first section of this Act [amending this section] shall apply only with respect to offenses committed on and after the date of the enactment of this Act [Aug. 24, 1954].""","Amendments2006-Pub. L. 109–177, which directed amendment of third par. by substituting ""20 years"" for ""5 years"", was executed by making the substitution for ""five years"", to reflect the probable intent of Congress.1996-Pub. L. 104–294 amended Pub. L. 103–322, §330004(18). See 1994 Amendment note below.1994-Pub. L. 103–322, §330016(1)(L), substituted ""fined under this title"" for ""fined not more than $10,000"" in third par.Pub. L. 103–322, §330004(18), as amended by Pub. L. 104–294, §604(b)(23), struck out ""Philippine Islands,"" before ""Virgin Islands"" in last par.Pub. L. 103–322, §320903(c), inserted ""or attempts to smuggle or clandestinely introduce"" after ""clandestinely introduces"" in first par.1955-Act June 30, 1955, inserted reference to Johnston Island.1954-Act Sept. 1, 1954, permitted forfeiture of value of merchandise imported in violation of section.Act Aug. 24, 1954, increased fine from $5,000 to $10,000 and imprisonment from two years to five years.Statutory Notes and Related SubsidiariesEffective Date of 1996 AmendmentAmendment by Pub. L. 104–294 effective Sept. 13, 1994, see section 604(d) of Pub. L. 104–294, set out as a note under section 13 of this title.Effective Date of 1955 AmendmentAmendment by act June 30, 1955, effective July 1, 1955, see section 2(d) of act June 30, 1955, set out as a note under section 1401 of Title 19, Customs Duties.Effective Date of 1954 AmendmentAct Aug. 24, 1954, ch. 890, §2, 68 Stat. 783, provided that: ""The amendments made by the first section of this Act [amending this section] shall apply only with respect to offenses committed on and after the date of the enactment of this Act [Aug. 24, 1954]."""
546. Smuggling goods into foreign countries,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section546&num=0&edition=prelim,"Any person owning in whole or in part any vessel of the United States who employs, or participates in, or allows the employment of, such vessel for the purpose of smuggling, or attempting to smuggle, or assisting in smuggling, any merchandise into the territory of any foreign government in violation of the laws there in force, if under the laws of such foreign government any penalty or forfeiture is provided for violation of the laws of the United States respecting the customs revenue, and any citizen of, or person domiciled in, or any corporation incorporated in, the United States, controlling or substantially participating in the control of any such vessel, directly or indirectly, whether through ownership of corporate shares or otherwise, and allowing the employment of said vessel for any such purpose, and any person found, or discovered to have been, on board of any such vessel so employed and participating or assisting in any such purpose, shall be fined under this title or imprisoned not more than two years, or both.It shall constitute an offense under this section to hire out or charter a vessel if the lessor or charterer has knowledge or reasonable grounds for belief that the lessee or person chartering the vessel intends to employ such vessel for any of the purposes described in this section and if such vessel is, during the time such lease or charter is in effect, employed for any such purpose.(June 25, 1948, ch. 645, 62 Stat. 717; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on section 1702 of title 19, U.S.C., 1940 ed., Customs Duties (Aug. 5, 1935, ch. 438, title I, §2, 49 Stat. 518).Changes were made in phraseology.Editorial NotesReferences in TextThe laws of the United States respecting the customs revenue, referred to in text, are classified generally to Title 19, Customs Duties.Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"" in first par.","References in TextThe laws of the United States respecting the customs revenue, referred to in text, are classified generally to Title 19, Customs Duties.Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"" in first par."
547. Depositing goods in buildings on boundaries,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section547&num=0&edition=prelim,"Whoever receives or deposits any merchandise in any building upon the boundary line between the United States and any foreign country, or carries any merchandise through the same, in violation of law, shall be fined under this title or imprisoned not more than two years, or both.(June 25, 1948, ch. 645, 62 Stat. 717; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on section 1596 of title 19, U.S.C., 1940 ed., Customs Duties (June 17, 1930, ch. 497, title IV, §596, 46 Stat. 752).Reference to persons aiding, contained in words ""or aids therein,"" was omitted as such persons are made principals by section 2 of this title.Changes were made in phraseology.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000""."
548. Removing or repacking goods in warehouses,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section548&num=0&edition=prelim,"Whoever fraudulently conceals, removes, or repacks merchandise in any bonded warehouse or fraudulently alters, defaces or obliterates any marks or numbers placed upon packages deposited in such warehouse, shall be fined under this title or imprisoned not more than two years, or both.Merchandise so concealed, removed, or repacked, or packages upon which any marks or numbers have been so altered, defaced, or obliterated, shall be forfeited to the United States.(June 25, 1948, ch. 645, 62 Stat. 717; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on section 1597 of title 19, U.S.C., 1940 ed., Customs Duties (June 17, 1930, ch. 497, title IV, §597, 46 Stat. 752).This section was rewritten to place the criminal provisions ahead of the forfeiture provisions. This did not require any substantive changes except omission of reference to persons aiding. Such persons are made principals by section 2 of this title.The punishment prescribed by section 545 of this title was inserted to make this section complete without reference to another section. In doing so it was necessary to rephrase the punishment provision of section 545 of this title, as originally enacted, without change of substance.Forfeiture provision was rephrased to make it clear that forfeiture was not dependent upon conviction.Changes were made in phraseology.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000""."
549. Removing goods from customs custody; breaking seals,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section549&num=0&edition=prelim,"Whoever, without authority, affixes or attaches a customs seal, fastening, or mark, or any seal, fastening, or mark purporting to be a customs seal, fastening, or mark to any vessel, vehicle, warehouse, or package; orWhoever, without authority, willfully removes, breaks, injures, or defaces any customs seal or other fastening or mark placed upon any vessel, vehicle, warehouse, or package containing merchandise or baggage in bond or in customs custody; orWhoever maliciously enters any bonded warehouse or any vessel or vehicle laden with or containing bonded merchandise with intent unlawfully to remove therefrom any merchandise or baggage therein, or unlawfully removes any merchandise or baggage in such vessel, vehicle, or bonded warehouse or otherwise in customs custody or control; orWhoever receives or transports any merchandise or baggage unlawfully removed from any such vessel, vehicle, or warehouse, knowing the same to have been unlawfully removed-Shall be fined under this title or imprisoned not more than 10 years, or both.(June 25, 1948, ch. 645, 62 Stat. 717; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147; Pub. L. 109–177, title III, §311(e), Mar. 9, 2006, 120 Stat. 242.)Historical and Revision NotesBased on section 1598 of title 19, U.S.C., 1940 ed., Customs Duties (June 17, 1930, ch. 497, title IV, §598, 46 Stat. 752; June 25, 1938, ch. 679, §26, 52 Stat. 1089).Reference to persons causing, procuring, aiding or assisting was omitted as unnecessary in view of definition of ""principal"" in section 2 of this title.In view of definition of felony in section 1 of this title words ""guilty of a felony"" were omitted. (See reviser's note under section 550 of this title.)The punishment prescribed by section 545 of this title was inserted to make this section complete without reference to another section. In doing so it was necessary to rephrase the punishment provision of section 545 of this title, as originally enacted, without change of substance.Forfeiture provision was omitted to conform with current administrative practice.Changes were made in phraseology.Editorial NotesAmendments2006-Pub. L. 109–177 substituted ""10 years"" for ""two years"" in last par.1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"" in last par.","Amendments2006-Pub. L. 109–177 substituted ""10 years"" for ""two years"" in last par.1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"" in last par."
