Section,Url,Content,Metadata
69. —Front Matter,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-chapter69-front&num=0&edition=prelim,18 USC Ch. 69: Front Matter            Result 1 of 1                                      Current2018 Ed. and Supplement V (1/3/2024)2018 Ed. and Supplement IV (1/5/2023)2018 Ed. and Supplement III (1/3/2022)2018 Ed. and Supplement II (1/13/2021)2018 Ed. and Supplement I (1/24/2020)2018 Main Ed. (1/14/2019)2012 Ed. and Supplement V (1/12/2018)2012 Ed. and Supplement IV (1/6/2017)2012 Ed. and Supplement III (1/3/2016)2012 Ed. and Supplement II (1/5/2015)2012 Ed. and Supplement I (1/16/2014)2012 Main Ed. (1/15/2013)2006 Ed. and Supplement V (1/3/2012)2006 Ed. and Supplement IV (1/7/2011)2006 Ed. and Supplement III (2/1/2010)2006 Ed. and Supplement II (1/5/2009)2006 Ed. and Supplement I (1/8/2008)2006 Main Ed. (1/3/2007)2000 Ed. and Supplement V (1/2/2006)2000 Ed. and Supplement IV (1/3/2005)2000 Ed. and Supplement III (1/19/2004)2000 Ed. and Supplement II (1/6/2003)2000 Ed. and Supplement I (1/22/2002)2000 Main Ed. (1/2/2001)1994 Ed. and Supplement V (1/23/2000)1994 Ed. and Supplement IV (1/5/1999)1994 Ed. and Supplement III (1/26/1998)1994 Ed. and Supplement II (1/6/1997)1994 Ed. and Supplement I (1/16/1996)1994 Main Ed. (1/4/1995)                         Back to Original Document << Previous                                 TITLE 18 / PART I / CHAPTER 69 / Front Matter                                 Next >>[Print]                                  [Print selection][OLRC Home]Help 18 USC Ch. 69: Front MatterFrom Title 18-CRIMES AND CRIMINAL PROCEDUREPART I-CRIMESCHAPTER 69-NATIONALITY AND CITIZENSHIPCHAPTER 69-NATIONALITY AND CITIZENSHIPSec.1421.Accounts of court officers.1422.Fees in naturalization proceedings.1423.Misuse of evidence of citizenship or naturalization.1424.Personation or misuse of papers in naturalization proceedings.1425.Procurement of citizenship or naturalization unlawfully.1426.Reproduction of naturalization or citizenship papers.1427.Sale of naturalization or citizenship papers.1428.Surrender of canceled naturalization certificate.1429.Penalties for neglect or refusal to answer subpena.,
1421. Accounts of court officers,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section1421&num=0&edition=prelim,"Whoever, being a clerk or assistant clerk of a court, or other person charged by law with a duty to render true accounts of moneys received in any proceeding relating to citizenship, naturalization, or registration of aliens or to pay over any balance of such moneys due to the United States, willfully neglects to do so within thirty days after said payment shall become due and demand therefor has been made, shall be fined under this title or imprisoned not more than five years, or both.(June 25, 1948, ch. 645, 62 Stat. 766; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on subsections (a)(34), (d) and (l) of section 746 of title 8, U.S.C., 1940 ed., Aliens and Nationality (Oct. 14, 1940, ch. 876, §346(a)(34), (d), (l), 54 Stat. 1167, 1168).Minor changes in phraseology only were made.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000""."
1422. Fees in naturalization proceedings,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section1422&num=0&edition=prelim,"Whoever knowingly demands, charges, solicits, collects, or receives, or agrees to charge, solicit, collect, or receive any other or additional fees or moneys in proceedings relating to naturalization or citizenship or the registry of aliens beyond the fees and moneys authorized by law, shall be fined under this title or imprisoned not more than five years, or both.(June 25, 1948, ch. 645, 62 Stat. 766; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on subsections (a)(33), (d), (l) of section 746 of title 8, U.S.C., 1940 ed., Aliens and Nationality (Oct. 14, 1940, ch. 876, §346(a)(33), (d), (l), 54 Stat. 1167, 1168).Minor changes in phraseology were made.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000""."
1423. Misuse of evidence of citizenship or naturalization,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section1423&num=0&edition=prelim,"Whoever knowingly uses for any purpose any order, certificate, certificate of naturalization, certificate of citizenship, judgment, decree, or exemplification, unlawfully issued or made, or copies or duplicates thereof, showing any person to be naturalized or admitted to be a citizen, shall be fined under this title or imprisoned not more than five years, or both.(June 25, 1948, ch. 645, 62 Stat. 766; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on subsections (a)(14), (b), (d) of section 746 of title 8, U.S.C., 1940 ed., Aliens and Nationality (Oct. 14, 1940, ch. 876, §346(a)(14), (b), (d), 54 Stat. 1165, 1167).Section consolidates subsections (a) paragraph (14), (b), (d), and the general punishment provision of section 746 of title 8, U.S.C., 1940 ed., Aliens and Nationality.The reference ""for the purpose of voting"" was omitted as surplusage being embraced in the all-inclusive phrase ""for any purpose.""Changes in phraseology were made.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000""."
1424. Personation or misuse of papers in naturalization proceedings,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section1424&num=0&edition=prelim,"Whoever, whether as applicant, declarant, petitioner, witness or otherwise, in any naturalization or citizenship proceeding, knowingly personates another or appears falsely in the name of a deceased person or in an assumed or fictitious name; orWhoever knowingly and unlawfully uses or attempts to use, as showing naturalization or citizenship of any person, any order, certificate, certificate of naturalization, certificate of citizenship, judgment, decree, or exemplification, or copies or duplicates thereof, issued to another person, or in a fictitious name or in the name of a deceased person-Shall be fined under this title or imprisoned not more than five years, or both.(June 25, 1948, ch. 645, 62 Stat. 766; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on subsection (a) pars. (6)(a), (b), (15), (b), (d) of section 746 of title 8, U.S.C., 1940 ed., Aliens and Nationality (Oct. 14, 1940, ch. 876, §346(a), pars. (6), (15), (b), (d), 54 Stat. 1164, 1165, 1167).Section consolidates, with minor verbal changes, subsections (a), pars. (6)(a), (b), (15), (b), (d), and the general punishment provision of section 746 of title 8, U.S.C., 1940 ed., Aliens and Nationality.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"" in last par.","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"" in last par."
1425. Procurement of citizenship or naturalization unlawfully,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section1425&num=0&edition=prelim,"(a) Whoever knowingly procures or attempts to procure, contrary to law, the naturalization of any person, or documentary or other evidence of naturalization or of citizenship; or(b) Whoever, whether for himself or another person not entitled thereto, knowingly issues, procures or obtains or applies for or otherwise attempts to procure or obtain naturalization, or citizenship, or a declaration of intention to become a citizen, or a certificate of arrival or any certificate or evidence of nationalization or citizenship, documentary or otherwise, or duplicates or copies of any of the foregoing-Shall be fined under this title or imprisoned not more than 25 years (if the offense was committed to facilitate an act of international terrorism (as defined in section 2331 of this title)), 20 years (if the offense was committed to facilitate a drug trafficking crime (as defined in section 929(a) of this title)), 10 years (in the case of the first or second such offense, if the offense was not committed to facilitate such an act of international terrorism or a drug trafficking crime), or 15 years (in the case of any other offense), or both.(June 25, 1948, ch. 645, 62 Stat. 766; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147; Pub. L. 104–208, div. C, title II, §211(a)(2), Sept. 30, 1996, 110 Stat. 3009–569; Pub. L. 107–273, div. B, title IV, §4002(a)(3), Nov. 2, 2002, 116 Stat. 1806.)Historical and Revision NotesBased on subsections (a) pars. (2)–(5), (7), (b), and (d) of section 746 of Title 8, U.S.C., 1940 ed., Aliens and Nationality (Oct. 14, 1940, ch. 876, §346(a), pars. (2)–(5), (7), (b), (d), 54 Stat. 1163, 1164, 1167).Section consolidates five similar paragraphs, and the punishment provisions of subsection (d) of said section 746 of title 8, U.S.C., 1940 ed., Aliens and Nationality, with minor necessary changes in translations and phraseology. Numerous references to aiding and assisting were omitted as unnecessary as such persons are principals under definitive section 2 of this title.Words ""a certificate of arrival or"" were inserted before ""any certificate"" in subsection (b), so as to remove any doubt as to scope of section.Editorial NotesAmendments2002-Pub. L. 107–273 substituted ""to facilitate"" for ""to facility"" in last par.1996-Pub. L. 104–208 substituted ""imprisoned not more than 25 years (if the offense was committed to facilitate an act of international terrorism (as defined in section 2331 of this title)), 20 years (if the offense was committed to facilitate a drug trafficking crime (as defined in section 929(a) of this title)), 10 years (in the case of the first or second such offense, if the offense was not committed to facility such an act of international terrorism or a drug trafficking crime), or 15 years (in the case of any other offense)"" for ""imprisoned not more than five years"" in last par.1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"" in last par.Statutory Notes and Related SubsidiariesEffective Date of 1996 AmendmentAmendment by Pub. L. 104–208 applicable with respect to offenses occurring on or after Sept. 30, 1996, see section 211(c) of Pub. L. 104–208, set out as a note under section 1028 of this title.","Amendments2002-Pub. L. 107–273 substituted ""to facilitate"" for ""to facility"" in last par.1996-Pub. L. 104–208 substituted ""imprisoned not more than 25 years (if the offense was committed to facilitate an act of international terrorism (as defined in section 2331 of this title)), 20 years (if the offense was committed to facilitate a drug trafficking crime (as defined in section 929(a) of this title)), 10 years (in the case of the first or second such offense, if the offense was not committed to facility such an act of international terrorism or a drug trafficking crime), or 15 years (in the case of any other offense)"" for ""imprisoned not more than five years"" in last par.1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"" in last par.Statutory Notes and Related SubsidiariesEffective Date of 1996 AmendmentAmendment by Pub. L. 104–208 applicable with respect to offenses occurring on or after Sept. 30, 1996, see section 211(c) of Pub. L. 104–208, set out as a note under section 1028 of this title."
1426. Reproduction of naturalization or citizenship papers,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section1426&num=0&edition=prelim,"(a) Whoever falsely makes, forges, alters or counterfeits any oath, notice, affidavit, certificate of arrival, declaration of intention, certificate or documentary evidence of naturalization or citizenship or any order, record, signature, paper or proceeding or any copy thereof, required or authorized by any law relating to naturalization or citizenship or registry of aliens; or(b) Whoever utters, sells, disposes of or uses as true or genuine, any false, forged, altered, antedated or counterfeited oath, notice, affidavit, certificate of arrival, declaration of intention to become a citizen, certificate or documentary evidence of naturalization or citizenship, or any order, record, signature or other instrument, paper or proceeding required or authorized by any law relating to naturalization or citizenship or registry of aliens, or any copy thereof, knowing the same to be false, forged, altered, antedated or counterfeited; or(c) Whoever, with intent unlawfully to use the same, possesses any false, forged, altered, antedated or counterfeited certificate of arrival, declaration of intention to become a citizen, certificate or documentary evidence of naturalization or citizenship purporting to have been issued under any law of the United States, or copy thereof, knowing the same to be false, forged, altered, antedated or counterfeited; or(d) Whoever, without lawful authority, engraves or possesses, sells or brings into the United States any plate in the likeness or similitude of any plate designed, for the printing of a declaration of intention, or certificate or documentary evidence of naturalization or citizenship; or(e) Whoever, without lawful authority, brings into the United States any document printed therefrom; or(f) Whoever, without lawful authority, possesses any blank certificate of arrival, blank declaration of intention or blank certificate of naturalization or citizenship provided by the Immigration and Naturalization Service, with intent unlawfully to use the same; or(g) Whoever, with intent unlawfully to use the same, possesses a distinctive paper adopted by the proper officer or agency of the United States for the printing or engraving of a declaration of intention to become a citizen, or certificate of naturalization or certificate of citizenship; or(h) Whoever, without lawful authority, prints, photographs, makes or executes any print or impression in the likeness of a certificate of arrival, declaration of intention to become a citizen, or certificate of naturalization or citizenship, or any part thereof-Shall be fined under this title or imprisoned not more than 25 years (if the offense was committed to facilitate an act of international terrorism (as defined in section 2331 of this title)), 20 years (if the offense was committed to facilitate a drug trafficking crime (as defined in section 929(a) of this title)), 10 years (in the case of the first or second such offense, if the offense was not committed to facilitate such an act of international terrorism or a drug trafficking crime), or 15 years (in the case of any other offense), or both.(June 25, 1948, ch. 645, 62 Stat. 767; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147; Pub. L. 104–208, div. C, title II, §211(a)(2), Sept. 30, 1996, 110 Stat. 3009–569; Pub. L. 107–273, div. B, title IV, §4002(a)(3), Nov. 2, 2002, 116 Stat. 1806.)Historical and Revision NotesBased on subsections (a) pars. (8)–(12), (16), (17), (20)–(29), (b), (d), (l) of section 746 of Title 8, U.S.C., 1940 ed., Aliens and Nationality (Oct. 14, 1940, ch. 876, §346(a) pars. (8)–(12), (16), (17), (20)–(29), (b), (d), (l), 54 Stat. 1164–1168).Sections consolidates numerous similar paragraphs with necessary changes in phraseology and translations.References to persons causing, procuring, aiding, abetting, or assisting were omitted as unnecessary, such persons being principals under definitive section 2 of this title.Editorial NotesAmendments2002-Pub. L. 107–273 substituted ""to facilitate"" for ""to facility"" in last par.1996-Pub. L. 104–208 substituted ""imprisoned not more than 25 years (if the offense was committed to facilitate an act of international terrorism (as defined in section 2331 of this title)), 20 years (if the offense was committed to facilitate a drug trafficking crime (as defined in section 929(a) of this title)), 10 years (in the case of the first or second such offense, if the offense was not committed to facility such an act of international terrorism or a drug trafficking crime), or 15 years (in the case of any other offense)"" for ""imprisoned not more than five years"" in last par.1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"" in last par.Statutory Notes and Related SubsidiariesEffective Date of 1996 AmendmentAmendment by Pub. L. 104–208 applicable with respect to offenses occurring on or after Sept. 30, 1996, see section 211(c) of Pub. L. 104–208, set out as a note under section 1028 of this title.Abolition of Immigration and Naturalization Service and Transfer of FunctionsFor abolition of Immigration and Naturalization Service, transfer of functions, and treatment of related references, see note set out under section 1551 of Title 8, Aliens and Nationality.Executive DocumentsTransfer of FunctionsFunctions of all other officers of Department of Justice and functions of all agencies and employees of such Department, with a few exceptions, transferred to Attorney General, with power vested in him to authorize their performance or performance of any of his functions by any of such officers, agencies, and employees, by Reorg. Plan No. 2 of 1950, §§1, 2, eff. May 24, 1950, 15 F.R. 3173, 64 Stat. 1261, set out in the Appendix to Title 5, Government Organization and Employees.","Amendments2002-Pub. L. 107–273 substituted ""to facilitate"" for ""to facility"" in last par.1996-Pub. L. 104–208 substituted ""imprisoned not more than 25 years (if the offense was committed to facilitate an act of international terrorism (as defined in section 2331 of this title)), 20 years (if the offense was committed to facilitate a drug trafficking crime (as defined in section 929(a) of this title)), 10 years (in the case of the first or second such offense, if the offense was not committed to facility such an act of international terrorism or a drug trafficking crime), or 15 years (in the case of any other offense)"" for ""imprisoned not more than five years"" in last par.1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"" in last par.Statutory Notes and Related SubsidiariesEffective Date of 1996 AmendmentAmendment by Pub. L. 104–208 applicable with respect to offenses occurring on or after Sept. 30, 1996, see section 211(c) of Pub. L. 104–208, set out as a note under section 1028 of this title.Abolition of Immigration and Naturalization Service and Transfer of FunctionsFor abolition of Immigration and Naturalization Service, transfer of functions, and treatment of related references, see note set out under section 1551 of Title 8, Aliens and Nationality.Executive DocumentsTransfer of FunctionsFunctions of all other officers of Department of Justice and functions of all agencies and employees of such Department, with a few exceptions, transferred to Attorney General, with power vested in him to authorize their performance or performance of any of his functions by any of such officers, agencies, and employees, by Reorg. Plan No. 2 of 1950, §§1, 2, eff. May 24, 1950, 15 F.R. 3173, 64 Stat. 1261, set out in the Appendix to Title 5, Government Organization and Employees."
1427. Sale of naturalization or citizenship papers,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section1427&num=0&edition=prelim,"Whoever unlawfully sells or disposes of a declaration of intention to become a citizen, certificate of naturalization, certificate of citizenship or copies or duplicates or other documentary evidence of naturalization or citizenship, shall be fined under this title or imprisoned not more than 25 years (if the offense was committed to facilitate an act of international terrorism (as defined in section 2331 of this title)), 20 years (if the offense was committed to facilitate a drug trafficking crime (as defined in section 929(a) of this title)), 10 years (in the case of the first or second such offense, if the offense was not committed to facilitate such an act of international terrorism or a drug trafficking crime), or 15 years (in the case of any other offense), or both.(June 25, 1948, ch. 645, 62 Stat. 767; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147; Pub. L. 104–208, div. C, title II, §211(a)(2), Sept. 30, 1996, 110 Stat. 3009–569; Pub. L. 107–273, div. B, title IV, §4002(a)(3), Nov. 2, 2002, 116 Stat. 1806.)Historical and Revision NotesBased on subsections (a) par. (13), (d) of section 746 of title 8, U.S.C., 1940 ed., Aliens and Nationality (Oct. 14, 1940, ch. 876, §346(a)(13), (d), 54 Stat. 1165, 1167).Minor changes were made in phraseology.Editorial NotesAmendments2002-Pub. L. 107–273 substituted ""to facilitate"" for ""to facility"".1996-Pub. L. 104–208 substituted ""imprisoned not more than 25 years (if the offense was committed to facilitate an act of international terrorism (as defined in section 2331 of this title)), 20 years (if the offense was committed to facilitate a drug trafficking crime (as defined in section 929(a) of this title)), 10 years (in the case of the first or second such offense, if the offense was not committed to facility such an act of international terrorism or a drug trafficking crime), or 15 years (in the case of any other offense)"" for ""imprisoned not more than five years"".1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".Statutory Notes and Related SubsidiariesEffective Date of 1996 AmendmentAmendment by Pub. L. 104–208 applicable with respect to offenses occurring on or after Sept. 30, 1996, see section 211(c) of Pub. L. 104–208, set out as a note under section 1028 of this title.","Amendments2002-Pub. L. 107–273 substituted ""to facilitate"" for ""to facility"".1996-Pub. L. 104–208 substituted ""imprisoned not more than 25 years (if the offense was committed to facilitate an act of international terrorism (as defined in section 2331 of this title)), 20 years (if the offense was committed to facilitate a drug trafficking crime (as defined in section 929(a) of this title)), 10 years (in the case of the first or second such offense, if the offense was not committed to facility such an act of international terrorism or a drug trafficking crime), or 15 years (in the case of any other offense)"" for ""imprisoned not more than five years"".1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".Statutory Notes and Related SubsidiariesEffective Date of 1996 AmendmentAmendment by Pub. L. 104–208 applicable with respect to offenses occurring on or after Sept. 30, 1996, see section 211(c) of Pub. L. 104–208, set out as a note under section 1028 of this title."
1428. Surrender of canceled naturalization certificate,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section1428&num=0&edition=prelim,"Whoever, having in his possession or control a certificate of naturalization or citizenship or a copy thereof which has been canceled as provided by law, fails to surrender the same after at least sixty days' notice by the appropriate court or the Commissioner or Deputy Commissioner of Immigration, shall be fined under this title or imprisoned not more than five years, or both.(June 25, 1948, ch. 645, 62 Stat. 767; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on subsections (a) par. (31), (b), (d) of section 746 of title 8, U.S.C., 1940 ed., Aliens and Nationality (Oct. 14, 1940, ch. 876, §346(a) par. (31), (b), (d), 54 Stat. 1167).Subsection (b) of said section 746 of title 8 is the authority for inserting ""or a copy thereof"" after ""citizenship.""Changes were made in phraseology.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".Statutory Notes and Related SubsidiariesAbolition of Immigration and Naturalization Service and Transfer of FunctionsFor abolition of Immigration and Naturalization Service, transfer of functions, and treatment of related references, see note set out under section 1551 of Title 8, Aliens and Nationality.Executive DocumentsTransfer of FunctionsFunctions of all other officers of Department of Justice and functions of all agencies and employees of such Department, with a few exceptions, transferred to Attorney General, with power vested, in him to authorize their performance or performance of any of his functions by any of such officers, agencies, and employees, by Reorg. Plan No. 2, of 1950, §§1, 2, eff. May 24, 1950, 15 F.R. 3173, 64 Stat. 1261, set out in the Appendix to Title 5, Government Organization and Employees.","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".Statutory Notes and Related SubsidiariesAbolition of Immigration and Naturalization Service and Transfer of FunctionsFor abolition of Immigration and Naturalization Service, transfer of functions, and treatment of related references, see note set out under section 1551 of Title 8, Aliens and Nationality.Executive DocumentsTransfer of FunctionsFunctions of all other officers of Department of Justice and functions of all agencies and employees of such Department, with a few exceptions, transferred to Attorney General, with power vested, in him to authorize their performance or performance of any of his functions by any of such officers, agencies, and employees, by Reorg. Plan No. 2, of 1950, §§1, 2, eff. May 24, 1950, 15 F.R. 3173, 64 Stat. 1261, set out in the Appendix to Title 5, Government Organization and Employees."
1429. Penalties for neglect or refusal to answer subpena,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section1429&num=0&edition=prelim,"Any person who has been subpenaed under the provisions of subsection (d) of section 336 of the Immigration and Nationality Act to appear at the final hearing of an application for naturalization, and who shall neglect or refuse to so appear and to testify, if in the power of such person to do so, shall be fined under this title or imprisoned not more than five years, or both.(Added June 27, 1952, ch. 477, title IV, §402(b), 66 Stat. 276; amended Pub. L. 97–116, §18(u)(1), Dec. 29, 1981, 95 Stat. 1621; Pub. L. 101–649, title IV, §407(c)(21), Nov. 29, 1990, 104 Stat. 5041; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147.)Editorial NotesReferences in TextSubsection (d) of section 336 of the Immigration and Nationality Act, referred to in text, is classified to section 1447(d) of Title 8, Aliens and Nationality.Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".1990-Pub. L. 101–649 substituted ""an application"" for ""a petition"".1981-Pub. L. 97–116 substituted ""subsection (d)"" for ""subsection (e)"".Statutory Notes and Related SubsidiariesEffective Date of 1990 Amendment; Savings ProvisionsAmendment by Pub. L. 101–649 effective Nov. 29, 1990, with general savings provisions, see section 408(a)(3) and (d) of Pub. L. 101–649, set out as a note under section 1421 of Title 8, Aliens and Nationality.Effective Date of 1981 AmendmentAmendment by Pub. L. 97–116 effective Dec. 29, 1981, see section 21(a) of Pub. L. 97–116, set out as a note under section 1101 of Title 8, Aliens and Nationality.","References in TextSubsection (d) of section 336 of the Immigration and Nationality Act, referred to in text, is classified to section 1447(d) of Title 8, Aliens and Nationality.Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".1990-Pub. L. 101–649 substituted ""an application"" for ""a petition"".1981-Pub. L. 97–116 substituted ""subsection (d)"" for ""subsection (e)"".Statutory Notes and Related SubsidiariesEffective Date of 1990 Amendment; Savings ProvisionsAmendment by Pub. L. 101–649 effective Nov. 29, 1990, with general savings provisions, see section 408(a)(3) and (d) of Pub. L. 101–649, set out as a note under section 1421 of Title 8, Aliens and Nationality.Effective Date of 1981 AmendmentAmendment by Pub. L. 97–116 effective Dec. 29, 1981, see section 21(a) of Pub. L. 97–116, set out as a note under section 1101 of Title 8, Aliens and Nationality."
