Section,Url,Content,Metadata
77. —Front Matter,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-chapter77-front&num=0&edition=prelim,"18 USC Ch. 77: Front Matter            Result 1 of 1                                      Current2018 Ed. and Supplement V (1/3/2024)2018 Ed. and Supplement IV (1/5/2023)2018 Ed. and Supplement III (1/3/2022)2018 Ed. and Supplement II (1/13/2021)2018 Ed. and Supplement I (1/24/2020)2018 Main Ed. (1/14/2019)2012 Ed. and Supplement V (1/12/2018)2012 Ed. and Supplement IV (1/6/2017)2012 Ed. and Supplement III (1/3/2016)2012 Ed. and Supplement II (1/5/2015)2012 Ed. and Supplement I (1/16/2014)2012 Main Ed. (1/15/2013)2006 Ed. and Supplement V (1/3/2012)2006 Ed. and Supplement IV (1/7/2011)2006 Ed. and Supplement III (2/1/2010)2006 Ed. and Supplement II (1/5/2009)2006 Ed. and Supplement I (1/8/2008)2006 Main Ed. (1/3/2007)2000 Ed. and Supplement V (1/2/2006)2000 Ed. and Supplement IV (1/3/2005)2000 Ed. and Supplement III (1/19/2004)2000 Ed. and Supplement II (1/6/2003)2000 Ed. and Supplement I (1/22/2002)2000 Main Ed. (1/2/2001)1994 Ed. and Supplement V (1/23/2000)1994 Ed. and Supplement IV (1/5/1999)1994 Ed. and Supplement III (1/26/1998)1994 Ed. and Supplement II (1/6/1997)1994 Ed. and Supplement I (1/16/1996)1994 Main Ed. (1/4/1995)                         Back to Original Document << Previous                                 TITLE 18 / PART I / CHAPTER 77 / Front Matter                                 Next >>[Print]                                  [Print selection][OLRC Home]Help 18 USC Ch. 77: Front MatterFrom Title 18-CRIMES AND CRIMINAL PROCEDUREPART I-CRIMESCHAPTER 77-PEONAGE, SLAVERY, AND TRAFFICKING IN PERSONSJump To: MiscellaneousAmendmentsCHAPTER 77-PEONAGE, SLAVERY, AND TRAFFICKING IN PERSONSSec.1581.Peonage; obstructing enforcement.1582.Vessels for slave trade.1583.Enticement into slavery.1584.Sale into involuntary servitude.1585.Seizure, detention, transportation or sale of slaves.1586.Service on vessels in slave trade.1587.Possession of slaves aboard vessel.1588.Transportation of slaves from United States.1589.Forced labor.1590.Trafficking with respect to peonage, slavery, involuntary servitude, or forced labor.1591.Sex trafficking of children or by force, fraud, or coercion.1592.Unlawful conduct with respect to documents in furtherance of trafficking, peonage, slavery, involuntary servitude, or forced labor.1593.Mandatory restitution.1593A.Benefitting financially from peonage, slavery, and trafficking in persons.1594.General provisions.1595.Civil remedy.1595A.Civil injunctions.1596.Additional jurisdiction in certain trafficking offenses.1597.Unlawful conduct with respect to immigration documents.        Historical and Revision NotesIt was felt that further revision of this chapter should be considered at an opportune time for the same reasons stated with respect to chapter 81, ""Piracy and Privateering"".Editorial NotesAmendments2018-Pub. L. 115–393, title II, §201(b), Dec. 21, 2018, 132 Stat. 5267, added item 1595A.2013-Pub. L. 113–4, title XII, §1211(c)(2), Mar. 7, 2013, 127 Stat. 143, added item 1597.2008-Pub. L. 110–457, title II, §§222(d)(2), 223(b), Dec. 23, 2008, 122 Stat. 5070, 5072, added items 1593A and 1596.2003-Pub. L. 108–193, §§4(a)(4)(B), 5(c)(1), Dec. 19, 2003, 117 Stat. 2878, 2879, substituted ""PEONAGE, SLAVERY, AND TRAFFICKING IN PERSONS"" for ""PEONAGE AND SLAVERY"" as chapter heading and added item 1595.2000-Pub. L. 106–386, div. A, §112(a)(3), Oct. 28, 2000, 114 Stat. 1489, added items 1589 to 1594.1949-Act May 24, 1949, ch. 139, §36, 63 Stat. 95, substituted a semicolon for comma after ""Peonage"" in item 1581.","Amendments2018-Pub. L. 115–393, title II, §201(b), Dec. 21, 2018, 132 Stat. 5267, added item 1595A.2013-Pub. L. 113–4, title XII, §1211(c)(2), Mar. 7, 2013, 127 Stat. 143, added item 1597.2008-Pub. L. 110–457, title II, §§222(d)(2), 223(b), Dec. 23, 2008, 122 Stat. 5070, 5072, added items 1593A and 1596.2003-Pub. L. 108–193, §§4(a)(4)(B), 5(c)(1), Dec. 19, 2003, 117 Stat. 2878, 2879, substituted ""PEONAGE, SLAVERY, AND TRAFFICKING IN PERSONS"" for ""PEONAGE AND SLAVERY"" as chapter heading and added item 1595.2000-Pub. L. 106–386, div. A, §112(a)(3), Oct. 28, 2000, 114 Stat. 1489, added items 1589 to 1594.1949-Act May 24, 1949, ch. 139, §36, 63 Stat. 95, substituted a semicolon for comma after ""Peonage"" in item 1581."
1581. Peonage; obstructing enforcement,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section1581&num=0&edition=prelim,"(a) Whoever holds or returns any person to a condition of peonage, or arrests any person with the intent of placing him in or returning him to a condition of peonage, shall be fined under this title or imprisoned not more than 20 years, or both. If death results from the violation of this section, or if the violation includes kidnapping or an attempt to kidnap, aggravated sexual abuse or the attempt to commit aggravated sexual abuse, or an attempt to kill, the defendant shall be fined under this title or imprisoned for any term of years or life, or both.(b) Whoever obstructs, or attempts to obstruct, or in any way interferes with or prevents the enforcement of this section, shall be liable to the penalties prescribed in subsection (a).(June 25, 1948, ch. 645, 62 Stat. 772; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147; Pub. L. 104–208, div. C, title II, §218(a), Sept. 30, 1996, 110 Stat. 3009–573; Pub. L. 106–386, div. A, §112(a)(1), Oct. 28, 2000, 114 Stat. 1486.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §§444, 445 (Mar. 4, 1909, ch. 321, §§269, 270, 35 Stat. 1142).Section consolidates sections 444 and 445 of said title 18, U.S.C., 1940 ed., with changes in phraseology to amplify and clarify their provisions.Reference to persons causing or procuring was omitted as unnecessary in view of definition of ""principal"" in section 2 of this title.Editorial NotesAmendments2000-Subsec. (a). Pub. L. 106–386 substituted ""20 years"" for ""10 years"" and inserted at end ""If death results from the violation of this section, or if the violation includes kidnapping or an attempt to kidnap, aggravated sexual abuse or the attempt to commit aggravated sexual abuse, or an attempt to kill, the defendant shall be fined under this title or imprisoned for any term of years or life, or both.""1996-Subsec. (a). Pub. L. 104–208 substituted ""10 years"" for ""five years"".1994-Subsec. (a). Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".Statutory Notes and Related SubsidiariesEffective Date of 1996 AmendmentPub. L. 104–208, div. C, title II, §218(d), Sept. 30, 1996, 110 Stat. 3009–574, provided that: ""This section [amending this section and sections 1583, 1584, and 1588 of this title and enacting provisions set out as notes under section 994 of Title 28, Judiciary and Judicial Procedure] and the amendments made by this section shall apply with respect to offenses occurring on or after the date of the enactment of this Act [Sept. 30, 1996].""","Amendments2000-Subsec. (a). Pub. L. 106–386 substituted ""20 years"" for ""10 years"" and inserted at end ""If death results from the violation of this section, or if the violation includes kidnapping or an attempt to kidnap, aggravated sexual abuse or the attempt to commit aggravated sexual abuse, or an attempt to kill, the defendant shall be fined under this title or imprisoned for any term of years or life, or both.""1996-Subsec. (a). Pub. L. 104–208 substituted ""10 years"" for ""five years"".1994-Subsec. (a). Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".Statutory Notes and Related SubsidiariesEffective Date of 1996 AmendmentPub. L. 104–208, div. C, title II, §218(d), Sept. 30, 1996, 110 Stat. 3009–574, provided that: ""This section [amending this section and sections 1583, 1584, and 1588 of this title and enacting provisions set out as notes under section 994 of Title 28, Judiciary and Judicial Procedure] and the amendments made by this section shall apply with respect to offenses occurring on or after the date of the enactment of this Act [Sept. 30, 1996]."""
1582. Vessels for slave trade,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section1582&num=0&edition=prelim,"Whoever, whether as master, factor, or owner, builds, fits out, equips, loads, or otherwise prepares or sends away any vessel, in any port or place within the United States, or causes such vessel to sail from any such port or place, for the purpose of procuring any person from any foreign kingdom or country to be transported and held, sold, or otherwise disposed of as a slave, or held to service or labor, shall be fined under this title or imprisoned not more than seven years, or both.(June 25, 1948, ch. 645, 62 Stat. 772; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §424 (Mar. 4, 1909, ch. 321, §249, 35 Stat. 1139).Words ""within the United States"" were substituted for ""within the jurisdiction of the United States"". See section 5 of this title defining ""United States"".Provision for division of the fine and its recovery by private person was omitted. (See reviser's note under section 1585 of this title.)Mandatory-punishment provisions were rephrased in the alternative.Minor changes were made in phraseology.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000""."
1583. Enticement into slavery,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section1583&num=0&edition=prelim,"(a) Whoever-(1) kidnaps or carries away any other person, with the intent that such other person be sold into involuntary servitude, or held as a slave;(2) entices, persuades, or induces any other person to go on board any vessel or to any other place with the intent that he or she may be made or held as a slave, or sent out of the country to be so made or held; or(3) obstructs, or attempts to obstruct, or in any way interferes with or prevents the enforcement of this section,shall be fined under this title, imprisoned not more than 30 years, or both.(b) Whoever violates this section shall be fined under this title, imprisoned for any term of years or for life, or both if-(1) the violation results in the death of the victim; or(2) the violation includes kidnaping, an attempt to kidnap, aggravated sexual abuse, an attempt to commit aggravated sexual abuse, or an attempt to kill.(June 25, 1948, ch. 645, 62 Stat. 772; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147; Pub. L. 104–208, div. C, title II, §218(a), Sept. 30, 1996, 110 Stat. 3009–573; Pub. L. 106–386, div. A, §112(a)(1), Oct. 28, 2000, 114 Stat. 1486; Pub. L. 110–457, title II, §222(b)(1), Dec. 23, 2008, 122 Stat. 5067; Pub. L. 115–392, §11(1)(A), Dec. 21, 2018, 132 Stat. 5255.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §443 (Mar. 4, 1909, ch. 321, §268, 35 Stat. 1141).Reference to persons causing or procuring was omitted as unnecessary in view of definition of ""principal"" in section 2 of this title.Minor changes were made in paragraphing of section.Editorial NotesAmendments2018-Subsec. (a). Pub. L. 115–392 substituted ""not more than 30 years"" for ""not more than 20 years"" in concluding provisions.2008-Pub. L. 110–457 amended section generally. Prior to amendment, section provided penalties for kidnapping or enticement of a person with intent to sell or hold such person as a slave.2000-Pub. L. 106–386, in last par., substituted ""20 years"" for ""10 years"" and inserted at end ""If death results from the violation of this section, or if the violation includes kidnapping or an attempt to kidnap, aggravated sexual abuse or the attempt to commit aggravated sexual abuse, or an attempt to kill, the defendant shall be fined under this title or imprisoned for any term of years or life, or both.""1996-Pub. L. 104–208 substituted ""10 years"" for ""five years"" in last par.1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"" in last par.Statutory Notes and Related SubsidiariesEffective Date of 1996 AmendmentAmendment by Pub. L. 104–208 applicable with respect to offenses occurring on or after Sept. 30, 1996, see section 218(d) of Pub. L. 104–208, set out as a note under section 1581 of this title.","Amendments2018-Subsec. (a). Pub. L. 115–392 substituted ""not more than 30 years"" for ""not more than 20 years"" in concluding provisions.2008-Pub. L. 110–457 amended section generally. Prior to amendment, section provided penalties for kidnapping or enticement of a person with intent to sell or hold such person as a slave.2000-Pub. L. 106–386, in last par., substituted ""20 years"" for ""10 years"" and inserted at end ""If death results from the violation of this section, or if the violation includes kidnapping or an attempt to kidnap, aggravated sexual abuse or the attempt to commit aggravated sexual abuse, or an attempt to kill, the defendant shall be fined under this title or imprisoned for any term of years or life, or both.""1996-Pub. L. 104–208 substituted ""10 years"" for ""five years"" in last par.1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"" in last par.Statutory Notes and Related SubsidiariesEffective Date of 1996 AmendmentAmendment by Pub. L. 104–208 applicable with respect to offenses occurring on or after Sept. 30, 1996, see section 218(d) of Pub. L. 104–208, set out as a note under section 1581 of this title."
1584. Sale into involuntary servitude,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section1584&num=0&edition=prelim,"(a) Whoever knowingly and willfully holds to involuntary servitude or sells into any condition of involuntary servitude, any other person for any term, or brings within the United States any person so held, shall be fined under this title or imprisoned not more than 20 years, or both. If death results from the violation of this section, or if the violation includes kidnapping or an attempt to kidnap, aggravated sexual abuse or the attempt to commit aggravated sexual abuse, or an attempt to kill, the defendant shall be fined under this title or imprisoned for any term of years or life, or both.(b) Whoever obstructs, attempts to obstruct, or in any way interferes with or prevents the enforcement of this section, shall be subject to the penalties described in subsection (a).(June 25, 1948, ch. 645, 62 Stat. 773; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147; Pub. L. 104–208, div. C, title II, §218(a), Sept. 30, 1996, 110 Stat. 3009–573; Pub. L. 106–386, div. A, §112(a)(1), Oct. 28, 2000, 114 Stat. 1486; Pub. L. 110–457, title II, §222(b)(2), Dec. 23, 2008, 122 Stat. 5068.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §§423, 446 (Mar. 4, 1909, ch. 321, §§248, 271, 35 Stat. 1139, 1142).Sections consolidated with changes of phraseology necessary to effect consolidation.Reference to persons causing or procuring was omitted as unnecessary in view of definition of ""principal"" in section 2 of this title.Provisions as to holding of kidnapped persons were omitted as superseded by section 1201 of this title and original text relating to sale or holding to involuntary servitude retained.Words ""within the United States"" were substituted for ""within the jurisdiction of the United States"". (See section 5 of this title defining ""United States"".)The punishment provisions were derived from section 446 of title 18, U.S.C., 1940 ed., as more consistent with other sections of this chapter.The requirement of section 423 of title 18, U.S.C., 1940 ed., for payment of one-half the fine ""for the use of the person prosecuting the indictment to effect"" was omitted as meaningless. (See also reviser's note under section 1585 of this title.)Mandatory-punishment provisions were rephrased in the alternative.Minor changes were made in phraseology.Editorial NotesAmendments2008-Pub. L. 110–457 designated existing provisions as subsec. (a) and added subsec. (b).2000-Pub. L. 106–386 substituted ""20 years"" for ""10 years"" and inserted at end ""If death results from the violation of this section, or if the violation includes kidnapping or an attempt to kidnap, aggravated sexual abuse or the attempt to commit aggravated sexual abuse, or an attempt to kill, the defendant shall be fined under this title or imprisoned for any term of years or life, or both.""1996-Pub. L. 104–208 substituted ""10 years"" for ""five years"".1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".Statutory Notes and Related SubsidiariesEffective Date of 1996 AmendmentAmendment by Pub. L. 104–208 applicable with respect to offenses occurring on or after Sept. 30, 1996, see section 218(d) of Pub. L. 104–208, set out as a note under section 1581 of this title.","Amendments2008-Pub. L. 110–457 designated existing provisions as subsec. (a) and added subsec. (b).2000-Pub. L. 106–386 substituted ""20 years"" for ""10 years"" and inserted at end ""If death results from the violation of this section, or if the violation includes kidnapping or an attempt to kidnap, aggravated sexual abuse or the attempt to commit aggravated sexual abuse, or an attempt to kill, the defendant shall be fined under this title or imprisoned for any term of years or life, or both.""1996-Pub. L. 104–208 substituted ""10 years"" for ""five years"".1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".Statutory Notes and Related SubsidiariesEffective Date of 1996 AmendmentAmendment by Pub. L. 104–208 applicable with respect to offenses occurring on or after Sept. 30, 1996, see section 218(d) of Pub. L. 104–208, set out as a note under section 1581 of this title."
"1585. Seizure, detention, transportation or sale of slaves",https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section1585&num=0&edition=prelim,"Whoever, being a citizen or resident of the United States and a member of the crew or ship's company of any foreign vessel engaged in the slave trade, or whoever, being of the crew or ship's company of any vessel owned in whole or in part, or navigated for, or in behalf of, any citizen of the United States, lands from such vessel, and on any foreign shore seizes any person with intent to make that person a slave, or decoys, or forcibly brings, carries, receives, confines, detains or transports any person as a slave on board such vessel, or, on board such vessel, offers or attempts to sell any such person as a slave, or on the high seas or anywhere on tide water, transfers or delivers to any other vessel any such person with intent to make such person a slave, or lands or delivers on shore from such vessel any person with intent to sell, or having previously sold, such person as a slave, shall be fined under this title or imprisoned not more than seven years, or both.(June 25, 1948, ch. 645, 62 Stat. 773; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §§421, 422, 425 (Mar. 4, 1909, ch. 321, §§246, 247, 250, 35 Stat. 1138, 1139).Section consolidates and restores three basic sections (act May 25, 1820, ch. 113, §§4, 5, 3 Stat. 600, 601; act Apr. 20, 1818, ch. 91, §4, 3 Stat. 451). As reenacted in the Revised Statutes, such sections were extended and broadened beyond such basic acts. The language at the beginning, ""being a citizen or resident of the United States"", was inserted from said section 425 of title 18, U.S.C., 1940 ed., as enacted originally. While the basic provisions of said sections 421 and 422 are thus broadened, their application as enacted in the 1909 Criminal Code is narrowed.Designation in said section 421 of title 18, U.S.C., 1940 ed., of offender as a ""pirate"" was omitted as unnecessary. The punishment provision of section 1582 of this title (incorporated by reference in said section 425) has been adopted as consistent with other slave-trade statutes rather than the life-imprisonment penalty contained in said sections 421 and 422 of title 18, U.S.C., 1940 ed. However, the requirement in section 1582 of this title that one-half the fine be for the ""use of the person prosecuting the indictment to effect"" was omitted as meaningless.Mandatory-punishment provisions were rephrased in the alternative.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000""."
1586. Service on vessels in slave trade,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section1586&num=0&edition=prelim,"Whoever, being a citizen or resident of the United States, voluntarily serves on board of any vessel employed or made use of in the transportation of slaves from any foreign country or place to another, shall be fined under this title or imprisoned not more than two years, or both.(June 25, 1948, ch. 645, 62 Stat. 773; Pub. L. 103–322, title XXXIII, §330016(1)(I), Sept. 13, 1994, 108 Stat. 2147.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §427 (Mar. 4, 1909, ch. 321, §252, 35 Stat. 1139).Mandatory-punishment provisions were rephrased in the alternative.Editorial NotesAmendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $2,000"".","Amendments1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $2,000""."
1587. Possession of slaves aboard vessel,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section1587&num=0&edition=prelim,"Whoever, being the captain, master, or commander of any vessel found in any river, port, bay, harbor, or on the high seas within the jurisdiction of the United States, or hovering off the coast thereof, and having on board any person for the purpose of selling such person as a slave, or with intent to land such person for such purpose, shall be fined under this title or imprisoned not more than 10 years, or both.(June 25, 1948, ch. 645, 62 Stat. 773; Pub. L. 103–322, title XXXIII, §330016(1)(L), Sept. 13, 1994, 108 Stat. 2147; Pub. L. 115–392, §11(1)(B), Dec. 21, 2018, 132 Stat. 5255.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §426 (Mar. 4, 1909, ch. 321, §251, 35 Stat. 1139).Mandatory-punishment provisions were rephrased in the alternative.Minor change was made in phraseology.Editorial NotesAmendments2018-Pub. L. 115–392 substituted ""10 years"" for ""four years"".1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $10,000"".","Amendments2018-Pub. L. 115–392 substituted ""10 years"" for ""four years"".1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $10,000""."
1588. Transportation of slaves from United States,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section1588&num=0&edition=prelim,"Whoever, being the master or owner or person having charge of any vessel, receives on board any other person with the knowledge or intent that such person is to be carried from any place within the United States to any other place to be held or sold as a slave, or carries away from any place within the United States any such person with the intent that he may be so held or sold as a slave, shall be fined under this title or imprisoned not more than 10 years, or both.(June 25, 1948, ch. 645, 62 Stat. 773; Pub. L. 103–322, title XXXIII, §330016(1)(K), Sept. 13, 1994, 108 Stat. 2147; Pub. L. 104–208, div. C, title II, §218(a), Sept. 30, 1996, 110 Stat. 3009–573.)Historical and Revision NotesBased on title 18, U.S.C., 1940 ed., §428 (Mar. 4, 1909, ch. 321, §253, 35 Stat. 1139).Words ""subject to the jurisdiction of"" which appeared twice in this section were omitted and ""within"" substituted, in view of section 5 of this title defining ""United States"".Editorial NotesAmendments1996-Pub. L. 104–208 substituted ""10 years"" for ""five years"".1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".Statutory Notes and Related SubsidiariesEffective Date of 1996 AmendmentAmendment by Pub. L. 104–208 applicable with respect to offenses occurring on or after Sept. 30, 1996, see section 218(d) of Pub. L. 104–208, set out as a note under section 1581 of this title.","Amendments1996-Pub. L. 104–208 substituted ""10 years"" for ""five years"".1994-Pub. L. 103–322 substituted ""fined under this title"" for ""fined not more than $5,000"".Statutory Notes and Related SubsidiariesEffective Date of 1996 AmendmentAmendment by Pub. L. 104–208 applicable with respect to offenses occurring on or after Sept. 30, 1996, see section 218(d) of Pub. L. 104–208, set out as a note under section 1581 of this title."
1589. Forced labor,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title18-section1589&num=0&edition=prelim,"(a) Whoever knowingly provides or obtains the labor or services of a person by any one of, or by any combination of, the following means-(1) by means of force, threats of force, physical restraint, or threats of physical restraint to that person or another person;(2) by means of serious harm or threats of serious harm to that person or another person;(3) by means of the abuse or threatened abuse of law or legal process; or(4) by means of any scheme, plan, or pattern intended to cause the person to believe that, if that person did not perform such labor or services, that person or another person would suffer serious harm or physical restraint,shall be punished as provided under subsection (d).(b) Whoever knowingly benefits, financially or by receiving anything of value, from participation in a venture which has engaged in the providing or obtaining of labor or services by any of the means described in subsection (a), knowing or in reckless disregard of the fact that the venture has engaged in the providing or obtaining of labor or services by any of such means, shall be punished as provided in subsection (d).(c) In this section:(1) The term ""abuse or threatened abuse of law or legal process"" means the use or threatened use of a law or legal process, whether administrative, civil, or criminal, in any manner or for any purpose for which the law was not designed, in order to exert pressure on another person to cause that person to take some action or refrain from taking some action.(2) The term ""serious harm"" means any harm, whether physical or nonphysical, including psychological, financial, or reputational harm, that is sufficiently serious, under all the surrounding circumstances, to compel a reasonable person of the same background and in the same circumstances to perform or to continue performing labor or services in order to avoid incurring that harm.(d) Whoever violates this section shall be fined under this title, imprisoned not more than 20 years, or both. If death results from a violation of this section, or if the violation includes kidnaping, an attempt to kidnap, aggravated sexual abuse, or an attempt to kill, the defendant shall be fined under this title, imprisoned for any term of years or life, or both.(Added Pub. L. 106–386, div. A, §112(a)(2), Oct. 28, 2000, 114 Stat. 1486; amended Pub. L. 110–457, title II, §222(b)(3), Dec. 23, 2008, 122 Stat. 5068.)Editorial NotesAmendments2008-Pub. L. 110–457 amended section generally. Prior to amendment, section provided penalties for knowingly providing or obtaining forced labor.","Amendments2008-Pub. L. 110–457 amended section generally. Prior to amendment, section provided penalties for knowingly providing or obtaining forced labor."
