sample,sample1,sample_most_similar_index,sample1_most_similar_index
"Whoever harbors or conceals any person who he knows, or has reasonable grounds to believe or suspect, has committed, or is about to commit, an offense under this section, shall be fined under this title or imprisoned not more than ten years, or both.","Anyone who hides or protects someone they know, or have reason to believe, has committed or will commit a crime under this law, faces a fine, up to ten years in prison, or both.
","[917, 146, 1092, 913, 147]","[917, 1092, 298, 147, 146]"
"Any property, real or personal, used or intended to be used to commit or to facilitate the commission of any violation of this chapter.","Any property, whether real estate or possessions, used or planned for use in breaking the law as defined in this chapter.
","[200, 1273, 82, 983, 83]","[983, 1435, 147, 1437, 200]"
"participates in a strike, or asserts the right to strike, against the Government of the United States or the government of the District of Columbia; or","Engages in, or advocates for, a strike against the U.S. federal government or the District of Columbia government; or
","[1414, 184, 182, 1467, 293]","[1414, 184, 182, 735, 1467]"
"Whoever, being an officer or other person charged by any Act of Congress with the safe-keeping of the public moneys, loans, uses, or converts to his own use, or deposits in any bank, including any branch","Any government official responsible for protecting public funds who misappropriates those funds, either by using them personally or depositing them in a bank (including any branch), is in violation.
","[863, 868, 859, 1324, 1055]","[863, 868, 864, 859, 1324]"
"evidence has been presented by the foreign government that indicates that had the offenses been committed in the United States, they would constitute crimes of violence as defined under section 16 of this title","A foreign government has provided evidence showing that the offenses, if committed in the United States, would be classified as crimes of violence under the law (section 16 of this title).
","[434, 1283, 438, 805, 311]","[434, 1283, 311, 438, 149]"
"forcibly thrusts any part of himself or any object within or upon that portion of any building or premises located within the United States, which portion is used or occupied for official business or for diplomatic, consular, or residential purposes","Illegally enters or forces entry into any part of a U.S. building or property used for official, diplomatic, consular, or residential purposes, using their body or an object.
","[1041, 1283, 1359, 1086, 1192]","[1041, 1359, 1086, 1283, 1192]"
Training conducted during regular employment.—An officer or employee of the Bureau of Prisons who completes a training course required under paragraph (1) shall do so during the course of that officer or employees regular employment,"Bureau of Prisons staff must complete mandatory training (as specified in paragraph 1) during their regular work hours.
","[790, 792, 783, 646, 44]","[790, 792, 646, 783, 654]"
"the court finds reasonable cause to believe that providing immediate notification of the execution of the warrant may have an adverse result (as defined in section 2705, except if the adverse results consist only of unduly delaying a trial);","The court believes that immediately notifying anyone about the warrant's execution could have negative consequences (as specified in section 2705), unless the only negative consequence is a trial delay.
","[262, 376, 1631, 214, 260]","[262, 376, 1631, 214, 378]"
"The Secretaries of the Army, Navy, and Air Force and the Federal Security Administrator shall take such steps as they deem necessary to suppress and prevent such violations thereof, and shall accept the cooperation of the authorities of States and their counties, districts, and other political subdivisions in carrying out the purpose of this section.","The Army, Navy, and Air Force Secretaries, along with the Federal Security Administrator, will take necessary action to stop and prevent violations.  They will also work with state and local governments to achieve this goal.
","[1194, 920, 187, 1192, 1467]","[1194, 212, 114, 1275, 471]"
"Whoever, having taken charge of any mail, voluntarily quits or deserts the same before he has delivered it into the post office at the termination of the route, or to some known mail carrier, messenger, agent, or other employee in the Postal Service authorized to receive the same","Any postal worker who abandons their mail delivery responsibilities before reaching the post office, or handing it off to an authorized postal employee, is in violation.
","[1313, 1322, 1316, 1321, 1315]","[1313, 708, 1316, 1325, 1322]"
