sample,sample1,sample_most_similar_index,sample1_most_similar_index
"Whoever harbors or conceals any person who he knows, or has reasonable grounds to believe or suspect, has committed, or is about to commit, an offense under this section, shall be fined under this title or imprisoned not more than ten years, or both.","Anyone who knowingly hides or protects someone they believe has committed, or is about to commit, a crime under this law, faces a fine, up to ten years in prison, or both.
","[np.int64(437), np.int64(767), np.int64(434), np.int64(37), np.int64(227)]","[np.int64(233), np.int64(37), np.int64(767), np.int64(911), np.int64(766)]"
"Any property, real or personal, used or intended to be used to commit or to facilitate the commission of any violation of this chapter.","Any property, whether real estate or possessions, used in or planned for use in breaking the law outlined in this chapter.
","[np.int64(1230), np.int64(964), np.int64(659), np.int64(1120), np.int64(1118)]","[np.int64(1230), np.int64(1120), np.int64(1470), np.int64(964), np.int64(1118)]"
"participates in a strike, or asserts the right to strike, against the Government of the United States or the government of the District of Columbia; or","Engages in, or advocates for, a strike against the U.S. federal government or the District of Columbia government.
","[np.int64(1073), np.int64(1415), np.int64(187), np.int64(1150), np.int64(189)]","[np.int64(1073), np.int64(1415), np.int64(1150), np.int64(1416), np.int64(1360)]"
"Whoever, being an officer or other person charged by any Act of Congress with the safe-keeping of the public moneys, loans, uses, or converts to his own use, or deposits in any bank, including any branch","Any government official responsible for safeguarding public funds who misappropriates those funds, uses them for personal gain, or deposits them in a bank (including any branch) is liable.
","[np.int64(364), np.int64(361), np.int64(363), np.int64(370), np.int64(373)]","[np.int64(364), np.int64(361), np.int64(366), np.int64(368), np.int64(363)]"
"evidence has been presented by the foreign government that indicates that had the offenses been committed in the United States, they would constitute crimes of violence as defined under section 16 of this title","A foreign government has provided evidence showing that the offenses, if committed in the U.S., would be classified as violent crimes under Section 16 of this law.
","[np.int64(1371), np.int64(1696), np.int64(793), np.int64(1651), np.int64(1784)]","[np.int64(1962), np.int64(1961), np.int64(1371), np.int64(1829), np.int64(585)]"
"forcibly thrusts any part of himself or any object within or upon that portion of any building or premises located within the United States, which portion is used or occupied for official business or for diplomatic, consular, or residential purposes","Illegally enters or forces entry into a U.S. building or property used for official, diplomatic, consular, or residential purposes, using any part of their body or an object.
","[np.int64(1019), np.int64(641), np.int64(87), np.int64(1018), np.int64(1371)]","[np.int64(1019), np.int64(1360), np.int64(641), np.int64(87), np.int64(1018)]"
Training conducted during regular employment.—An officer or employee of the Bureau of Prisons who completes a training course required under paragraph (1) shall do so during the course of that officer or employees regular employment,"Bureau of Prisons employees must complete mandatory training (as outlined in paragraph 1) during their regular work hours.
","[np.int64(2054), np.int64(2043), np.int64(2056), np.int64(2142), np.int64(2055)]","[np.int64(2054), np.int64(2056), np.int64(2142), np.int64(2043), np.int64(1967)]"
"the court finds reasonable cause to believe that providing immediate notification of the execution of the warrant may have an adverse result (as defined in section 2705, except if the adverse results consist only of unduly delaying a trial);","The court believes that immediately notifying anyone of the warrant's execution could have negative consequences (as defined in Section 2705), unless the only consequence is a trial delay.
","[np.int64(1629), np.int64(1525), np.int64(1526), np.int64(1628), np.int64(1490)]","[np.int64(1629), np.int64(1525), np.int64(1526), np.int64(1628), np.int64(1490)]"
"The Secretaries of the Army, Navy, and Air Force and the Federal Security Administrator shall take such steps as they deem necessary to suppress and prevent such violations thereof, and shall accept the cooperation of the authorities of States and their counties, districts, and other political subdivisions in carrying out the purpose of this section.","The Army, Navy, and Air Force Secretaries, along with the Federal Security Administrator, will take necessary action to stop and prevent violations.  They will also work with state and local authorities to achieve this goal.
","[np.int64(867), np.int64(866), np.int64(868), np.int64(1017), np.int64(1420)]","[np.int64(1017), np.int64(868), np.int64(867), np.int64(1421), np.int64(454)]"
"Whoever, having taken charge of any mail, voluntarily quits or deserts the same before he has delivered it into the post office at the termination of the route, or to some known mail carrier, messenger, agent, or other employee in the Postal Service authorized to receive the same","Postal workers who abandon their mail route before delivering the mail to the post office, another carrier, or an authorized postal employee are in violation.
","[np.int64(980), np.int64(979), np.int64(976), np.int64(986), np.int64(978)]","[np.int64(980), np.int64(973), np.int64(976), np.int64(979), np.int64(978)]"
