sample,sample1,sample_most_similar_index,sample1_most_similar_index
"Whoever harbors or conceals any person who he knows, or has reasonable grounds to believe or suspect, has committed, or is about to commit, an offense under this section, shall be fined under this title or imprisoned not more than ten years, or both.","Anyone who knowingly hides or shelters someone they believe has committed, or is about to commit, a crime under this law, faces a fine, up to ten years in prison, or both.
","[np.int64(917), np.int64(146), np.int64(1092), np.int64(913), np.int64(147)]","[np.int64(917), np.int64(1092), np.int64(146), np.int64(147), np.int64(298)]"
"Any property, real or personal, used or intended to be used to commit or to facilitate the commission of any violation of this chapter.","Any property, whether real estate or possessions, employed in or planned for use in breaking the rules of this chapter.
","[np.int64(200), np.int64(1273), np.int64(82), np.int64(983), np.int64(83)]","[np.int64(200), np.int64(1437), np.int64(1273), np.int64(147), np.int64(1435)]"
"participates in a strike, or asserts the right to strike, against the Government of the United States or the government of the District of Columbia; or","Engages in, or advocates for, a strike against the U.S. or D.C. government; or
","[np.int64(1414), np.int64(184), np.int64(182), np.int64(1467), np.int64(293)]","[np.int64(1414), np.int64(184), np.int64(182), np.int64(183), np.int64(18)]"
"Whoever, being an officer or other person charged by any Act of Congress with the safe-keeping of the public moneys, loans, uses, or converts to his own use, or deposits in any bank, including any branch","Any government official responsible for safeguarding public funds who misappropriates those funds, either by using them for personal gain or depositing them in a bank (including any branch), is in violation.
","[np.int64(863), np.int64(868), np.int64(859), np.int64(1324), np.int64(1055)]","[np.int64(863), np.int64(868), np.int64(864), np.int64(859), np.int64(1324)]"
"evidence has been presented by the foreign government that indicates that had the offenses been committed in the United States, they would constitute crimes of violence as defined under section 16 of this title","A foreign government has provided evidence showing that the offenses, if committed in the U.S., would be classified as violent crimes under Section 16 of this law.
","[np.int64(434), np.int64(1283), np.int64(438), np.int64(805), np.int64(311)]","[np.int64(595), np.int64(434), np.int64(438), np.int64(1283), np.int64(805)]"
"forcibly thrusts any part of himself or any object within or upon that portion of any building or premises located within the United States, which portion is used or occupied for official business or for diplomatic, consular, or residential purposes","Forcibly enters or places an object into a U.S. building or property used for official, diplomatic, consular, or residential purposes.
","[np.int64(1041), np.int64(1283), np.int64(1359), np.int64(1086), np.int64(1192)]","[np.int64(1041), np.int64(1359), np.int64(1283), np.int64(1086), np.int64(918)]"
Training conducted during regular employment.—An officer or employee of the Bureau of Prisons who completes a training course required under paragraph (1) shall do so during the course of that officer or employees regular employment,"Bureau of Prisons employees must complete mandatory training (as specified in paragraph 1) during their regular work hours.
","[np.int64(790), np.int64(792), np.int64(783), np.int64(646), np.int64(44)]","[np.int64(790), np.int64(792), np.int64(646), np.int64(783), np.int64(649)]"
"the court finds reasonable cause to believe that providing immediate notification of the execution of the warrant may have an adverse result (as defined in section 2705, except if the adverse results consist only of unduly delaying a trial);","The court believes that immediately notifying anyone of the warrant's execution could have negative consequences (as defined in section 2705), unless the only negative consequence is a trial delay.
","[np.int64(262), np.int64(376), np.int64(1631), np.int64(214), np.int64(260)]","[np.int64(262), np.int64(376), np.int64(1631), np.int64(214), np.int64(378)]"
"The Secretaries of the Army, Navy, and Air Force and the Federal Security Administrator shall take such steps as they deem necessary to suppress and prevent such violations thereof, and shall accept the cooperation of the authorities of States and their counties, districts, and other political subdivisions in carrying out the purpose of this section.","The Army, Navy, and Air Force Secretaries, along with the Federal Security Administrator, will take necessary action to stop and prevent violations.  They will also work with state and local governments to achieve this goal.
","[np.int64(1194), np.int64(920), np.int64(187), np.int64(1192), np.int64(1467)]","[np.int64(1194), np.int64(212), np.int64(114), np.int64(1275), np.int64(471)]"
"Whoever, having taken charge of any mail, voluntarily quits or deserts the same before he has delivered it into the post office at the termination of the route, or to some known mail carrier, messenger, agent, or other employee in the Postal Service authorized to receive the same","Postal workers who abandon their mail route before delivering the mail to the post office, another postal worker, or an authorized postal employee are in violation.
","[np.int64(1313), np.int64(1322), np.int64(1316), np.int64(1321), np.int64(1315)]","[np.int64(1313), np.int64(708), np.int64(1325), np.int64(1316), np.int64(1322)]"
